Stock_Ticker,Decision_Date,CAR,CAR/Sigma
ITGR,"February 9, 2017",0.01572810123031,0.6196673567043245
FB,"May 17, 2016",0.0025386649540290003,0.16581309118963763
FDX,"May 9, 2017",-0.006635924985005,-0.49174612239559723
ODP,"June 30, 2015",0.01210543391356,1.077583920441713
ADSK,"April 12, 2016",-0.0154695203241,-0.40494452245550094
EA,"December 7, 2016",-0.006481138689299,-0.4787363544727843
AAPL,"May 17, 2016",0.013005951151629998,1.0858065407845752
MMM,"January 13, 2016",0.00863666056548,0.7988249937435601
DD,"August 19, 2016",0.01571067742385,0.8482793936836387
AAPL,"August 1, 2016",0.00864354386391,0.6273942791402708
INTC,"January 14, 2014",0.03821881233743,1.9904614741652193
ALG,"May 26, 2016",-0.0034149991612499996,-0.1116628172491691
HPQ,"July 9, 2015",-0.01750212232017,-1.0377151751686455
LLY,"July 8, 2015",2.8722606692999997e-05,0.002945656567858407
UEIC,"October 17, 2016",-0.01199684102058,-0.5509256590301713
CSCO,"August 8, 2014",0.010843520080029999,0.6053990450001784
XLNX,"October 9, 2015",-0.015985016228539997,-0.9690136700870218
ATHX,"May 7, 2015",0.043709007162499994,0.9449958898533991
SUPN,"December 12, 2016",0.002093994311500001,0.05480517879435784
HPQ,"September 14, 2015",-0.0028283967579009997,-0.23753187726259875
NATI,"August 11, 2014",-0.01226728686768,-1.0329478558878495
AMZN,"November 26, 2014",0.012427623667939999,0.8536017283726646
MMM,"February 10, 2016",-0.007766404475949999,-0.3902328954361543
TWTR,"May 17, 2016",-0.0009223715004000009,-0.02130175591142279
MSFT,"November 6, 2014",0.00892869251862,0.8542738196890283
YHOO,"July 22, 2013",-0.06267138877049999,-3.180750078238982
YHOO,"May 17, 2016",0.0016813110907600006,0.0981935259698176
XRX,"February 13, 2017",0.02025763201203,1.3141982190414674
F,"April 21, 2017",-0.010427924213000001,-0.8206794740293826
TXN,"April 25, 2016",0.01032816894792,0.6835773707157954
PRSS,"November 10, 2016",-0.0490551362425,-1.8023317042632936
RTEC,"February 3, 2016",0.0020328269078999997,0.11106554467023767
NVS,"May 21, 2015",0.0007137925867299992,0.0707184219318671
GE,"December 17, 2015",0.02072964462988,1.3854240800090305
YHOO,"February 26, 2014",0.02106086490065,1.0920052724201483
PFE,"July 1, 2014",0.0222350741308,1.2575895684430174
AMZN,"November 9, 2015",0.004089128947402,0.2627119895185788
SYMC,"November 13, 2013",0.01380067170762,0.9476652385098445
CSCO,"May 31, 2016",-0.0001665862532299993,-0.017534715908027458
ILMN,"July 26, 2016",0.07354428321157999,4.798751248875628
NK,"May 3, 2017",-0.01199130237193,-0.2454665672432402
CNXN,"June 30, 2015",-0.01000958028608,-0.460316357869137
SBH,"April 25, 2016",0.01751018082829,0.48378880680708775
JAKK,"June 11, 2014",-0.0465076208163,-1.0373915192929162
CBS,"September 30, 2016",0.00725287321934,0.4074116478374486
XLNX,"April 12, 2017",0.0056615612329,0.3258536657804063
PHG,"May 10, 2013",0.03495253793242,2.100060529339323
MMM,"July 8, 2015",0.00768225968563,0.7085632744253905
MSI,"March 6, 2015",-0.01105257745179,-1.2244366889176261
TXN,"January 14, 2014",0.01674053770092149,1.4384930160964597
AVX,"February 9, 2017",0.00836816808141,0.5607235761196826
AAPL,"November 5, 2015",-0.00777919966447,-0.4471712676443818
AAPL,"May 26, 2016",-0.00098108740695,-0.0893462852651239
HPQ,"December 28, 2016",-0.010147304059194999,-0.4594922626721191
GE,"July 8, 2015",-0.004200951342759999,-0.3416472402075149
F,"March 27, 2017",-0.010354527420099098,-0.5375480361815774
DEPO,"February 21, 2017",0.035240786716099995,0.7528993082456671
ADBE,"April 8, 2016",-0.0042378487964,-0.16784790182797998
BAC,"January 27, 2014",0.01193451150564,0.9829124334861273
AAPL,"October 7, 2016",0.01012648192804,0.5140953789221441
BDC,"April 17, 2015",0.005095577721530001,0.4018128123895086
TXN,"January 8, 2015",-0.0025802285829400005,-0.16151230586290033
AAPL,"December 9, 2016",0.004203898900890001,0.32387523954343395
BDSI,"August 10, 2016",0.044537017516099994,0.7859024543796345
MSFT,"July 11, 2016",0.0059670895674,0.2617383591308995
MSFT,"February 17, 2016",0.00460940792513,0.5037015572198711
NVDA,"April 25, 2016",0.00510665827846,0.1670846786039205
HPE,"March 14, 2017",0.01575864301193,1.2107888668284488
MMM,"July 9, 2015",0.00309150106941,0.2841841681826959
ADBE,"March 14, 2016",0.014806653085902,1.2991743898385129
CBS,"February 1, 2016",1.335733439999584e-06,8.808827171027163e-05
ATHN,"April 12, 2017",-0.0624294631751,-1.4419499301373524
AET,"January 18, 2017",0.00533544560634,0.2698915517944133
XLNX,"February 1, 2016",-0.02325095335723,-2.3666754137883412
AMZN,"December 17, 2015",0.0280483527806,1.370728274001368
EBAY,"March 19, 2013",0.0360677097258,2.116024415990972
SNPS,"October 11, 2016",-0.004314649105178,-0.34536363133644393
OSTK,"May 10, 2013",0.031273428188848804,1.0509701891468788
DD,"May 9, 2014",-0.014546288517770001,-1.7981871025726575
HPQ,"April 25, 2016",0.0021878117828200002,0.06205616704117043
TGT,"February 10, 2016",-0.01867270322936,-0.8952556988606504
LLY,"July 1, 2014",0.0002820488389899999,0.019896562065387986
JBLU,"June 24, 2014",0.02363866213957,0.8046421178037396
NOK,"November 26, 2014",0.01229569837196,0.7012657525423165
TRIP,"May 17, 2016",0.0167349206634,0.5721630852389232
HPQ,"May 10, 2013",-0.0164983396273,-0.4900996861558117
TDA,"May 6, 2015",-0.01581842863066,-2.047124615292922
