Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootstrap
FDX,"May 9, 2017",-0.0051095598707900005,-0.3890726206344119,0.31518
ODP,"June 30, 2015",-0.00977095355521,-0.23294257220280157,0.44152
ADSK,"April 12, 2016",0.00958976216469,0.391327645597224,0.72966
EA,"December 7, 2016",0.004282755307399999,0.16756768809834094,0.62125
MMM,"January 13, 2016",-0.005026751567251,-0.5060103307476511,0.25038
DD,"August 19, 2016",0.01372697622844,0.5539097892802272,0.80908
AAPL,"August 1, 2016",0.01161113470037,0.6122159226632198,0.7437
INTC,"January 14, 2014",0.01615028990206,1.0734032133726288,0.87898
ALG,"May 26, 2016",0.04021821510612,1.385329360359832,0.93521
HPQ,"July 9, 2015",0.012157163451473,0.6079000943940093,0.8009
LLY,"July 8, 2015",0.02567380480678,1.9991072420732612,0.97545
CSCO,"August 8, 2014",-4.774273490000102e-06,-0.0002503572396446088,0.47682
ATHX,"May 7, 2015",-0.0201236384585,-0.3774735114433341,0.39137
SUPN,"December 12, 2016",0.007382970683300001,0.17997738640219862,0.60608
HPQ,"September 14, 2015",-0.01427936045717,-0.7721306344465715,0.14314
NATI,"August 11, 2014",0.011564228561052,0.6421818547696064,0.81691
AMZN,"November 26, 2014",0.0075189053541900005,0.29753063242487104,0.62535
MMM,"February 10, 2016",0.02052235221954,2.073113518654069,0.97491
MSFT,"November 6, 2014",0.00510773227987628,0.36221613373743544,0.68523
YHOO,"July 22, 2013",-0.02869422504583,-1.6162676390487372,0.04009
XRX,"February 13, 2017",-0.01961170502601,-0.9170452658149731,0.08153
F,"April 21, 2017",0.022539115241709998,1.2120078585481082,0.92103
TXN,"April 25, 2016",-0.0008650497829599999,-0.04546601038709096,0.51852
PRSS,"November 10, 2016",0.00836425666185,0.2100050628937973,0.63441
NVS,"May 21, 2015",-0.00552696102787,-0.4032307651192031,0.31713
GE,"December 17, 2015",-0.00584884687942,-0.3949527487646266,0.31871
YHOO,"February 26, 2014",-0.01154118065306,-0.5060022102338353,0.30561
PFE,"July 1, 2014",0.00232620983481,0.21075956705561974,0.60009
AMZN,"November 9, 2015",0.02377524066401,0.8760137567576111,0.93847
SYMC,"November 13, 2013",-0.005058086929543,-0.3215210513544348,0.37699
CSCO,"May 31, 2016",-0.0052643854865,-0.3011047233186252,0.35418
ILMN,"July 26, 2016",-0.0015548058059199994,-0.03405925158385725,0.42365
NK,"May 3, 2017",-0.03629832185416,-0.7237612253580865,0.20961
CNXN,"June 30, 2015",0.005712629077999999,0.2448275171641376,0.58648
SBH,"April 25, 2016",0.009811267189218001,0.3351451050930251,0.73299
JAKK,"June 11, 2014",0.040388493135319996,0.8734920578331227,0.91157
CBS,"September 30, 2016",0.0512035478404,2.7905774062591666,0.99732
XLNX,"April 12, 2017",-0.0104303105557738,-0.7083338522035951,0.1915
PHG,"May 10, 2013",0.00520412527035,0.2631547189391687,0.64459
MMM,"July 8, 2015",-0.0037416933294000003,-0.4012603313353387,0.30983
TXN,"January 14, 2014",-0.0082311156735,-0.6618624429749862,0.2157
AAPL,"May 26, 2016",0.011406706352699001,0.5936520144535925,0.72374
HPQ,"December 28, 2016",-0.00410314915221,-0.20110931981566096,0.38131
GE,"July 8, 2015",-0.0147045645768535,-1.041751162348895,0.0615
F,"March 27, 2017",-0.0082087980595,-0.45412840577114644,0.25866
DEPO,"February 21, 2017",-0.02070985972308,-0.4697527930088535,0.26402
BAC,"January 27, 2014",-0.00351075101262,-0.23682825111171507,0.4419
AAPL,"October 7, 2016",0.004202471581449999,0.2301250343290757,0.61668
BDC,"April 17, 2015",-0.009246100214327,-0.5249689281252944,0.29299
TXN,"January 8, 2015",-0.0024736837850500002,-0.17418727226597622,0.3701
AAPL,"December 9, 2016",0.00345867382428,0.18704129636483036,0.6153
BDSI,"August 10, 2016",0.027554500412799998,0.4208193986648763,0.65713
MSFT,"July 11, 2016",-0.00043436882999700003,-0.0247609950885481,0.48667
MSFT,"February 17, 2016",-0.01282541564219,-0.7008313289377509,0.1692
NVDA,"April 25, 2016",-0.0015725896544499995,-0.059273000284531294,0.49387
HPE,"March 14, 2017",-0.01209879046049,-0.6504330633594617,0.25811
MMM,"July 9, 2015",-0.00385073680288,-0.41292301159092,0.30557
ADBE,"March 14, 2016",-0.01134485778969,-0.706158587333928,0.19271
CBS,"February 1, 2016",-0.02507606038167,-1.5376095291022724,0.0505
ATHN,"April 12, 2017",0.01568873582778,0.47289680745649226,0.79459
