Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootstrap
FDX,"May 9, 2017",-0.0051095598707900005,-0.3890726206344119,0.31469
ODP,"June 30, 2015",-0.00977095355521,-0.23294257220280157,0.44163
ADSK,"April 12, 2016",0.00958976216469,0.391327645597224,0.7291
EA,"December 7, 2016",0.004282755307399999,0.16756768809834094,0.62249
MMM,"January 13, 2016",-0.005026751567251,-0.5060103307476511,0.24865
DD,"August 19, 2016",0.01372697622844,0.5539097892802272,0.81119
AAPL,"August 1, 2016",0.01161113470037,0.6122159226632198,0.74094
INTC,"January 14, 2014",0.01615028990206,1.0734032133726288,0.87989
ALG,"May 26, 2016",0.04021821510612,1.385329360359832,0.93525
HPQ,"July 9, 2015",0.012157163451473,0.6079000943940093,0.80272
LLY,"July 8, 2015",0.02567380480678,1.9991072420732612,0.97595
CSCO,"August 8, 2014",-4.774273490000102e-06,-0.0002503572396446088,0.47818
ATHX,"May 7, 2015",-0.0201236384585,-0.3774735114433341,0.39289
SUPN,"December 12, 2016",0.007382970683300001,0.17997738640219862,0.6079
HPQ,"September 14, 2015",-0.01427936045717,-0.7721306344465715,0.14478
NATI,"August 11, 2014",0.011564228561052,0.6421818547696064,0.8182
AMZN,"November 26, 2014",0.0075189053541900005,0.29753063242487104,0.62617
MMM,"February 10, 2016",0.02052235221954,2.073113518654069,0.97559
MSFT,"November 6, 2014",0.00510773227987628,0.36221613373743544,0.6861
YHOO,"July 22, 2013",-0.02869422504583,-1.6162676390487372,0.03869
XRX,"February 13, 2017",-0.01961170502601,-0.9170452658149731,0.081
F,"April 21, 2017",0.022539115241709998,1.2120078585481082,0.92312
TXN,"April 25, 2016",-0.0008650497829599999,-0.04546601038709096,0.51826
PRSS,"November 10, 2016",0.00836425666185,0.2100050628937973,0.63397
NVS,"May 21, 2015",-0.00552696102787,-0.4032307651192031,0.31918
GE,"December 17, 2015",-0.00584884687942,-0.3949527487646266,0.32253
YHOO,"February 26, 2014",-0.01154118065306,-0.5060022102338353,0.30082
PFE,"July 1, 2014",0.00232620983481,0.21075956705561974,0.60005
AMZN,"November 9, 2015",0.02377524066401,0.8760137567576111,0.93628
SYMC,"November 13, 2013",-0.005058086929543,-0.3215210513544348,0.37303
CSCO,"May 31, 2016",-0.0052643854865,-0.3011047233186252,0.35783
ILMN,"July 26, 2016",-0.0015548058059199994,-0.03405925158385725,0.42535
NK,"May 3, 2017",-0.03629832185416,-0.7237612253580865,0.21024
CNXN,"June 30, 2015",0.005712629077999999,0.2448275171641376,0.58596
SBH,"April 25, 2016",0.009811267189218001,0.3351451050930251,0.7317
JAKK,"June 11, 2014",0.040388493135319996,0.8734920578331227,0.90934
