Event_Window,Mean_CAR,Var(MCAR),z-stat,p-value
"[-20,0)",0.007730453481846196,0.0001563911041523514,0.6181572229718237,0.53647170486479667
"[-10,0)",0.004246998700278762,6.844286500046506e-05,0.513355285332965,0.60770281786635238
"[-5,0)",0.000473007561422523,3.2949128001577415e-05,0.08240358772381538,0.93432578316395976
"[-2,0)",-0.00048769288818657785,1.4219289318883277e-05,-0.12933244178046396,0.89709460216794823
"[-2,3)",0.0004978329347440197,3.554822329720819e-05,0.08349773114963381,0.93345578137452667
"[0,2)",0.001434183276769945,1.3706395789516311e-05,0.38738519585597103,0.69847106190132302
"[0,5)",0.0034934723399000964,3.426598947379078e-05,0.5967956795548461,0.55064380283646219
