Event_Window,Mean_CAR,Var(MCAR),z-stat,p-value
"[-5,0)",-0.0007831080029706172,1.4445835628679172e-06,-0.6515538686515088,0.5146890154772723
"[-2,0)",-0.0010880780004176786,5.778334251471671e-07,-1.4313923748351216,0.15231779253382399
"[-2,3)",-0.001589941833554696,1.4445835628679172e-06,-1.3228478685618854,0.18588597469799062
"[0,2)",0.00019591637638370515,5.778334251471671e-07,0.2577326323602847,0.79661325970265584
"[0,5)",0.00023608944297214403,1.4445835628679172e-06,0.19642883144185136,0.84427453157946486
