Event_Window,Mean_CAR,Var(MCAR),z-stat,p-value
"[-20,0)",0.017928185790821866,3.960084400505046e-05,2.8489453807721006,0.0043864410182928963
"[-10,0)",0.007003085216549001,1.6598346300356188e-05,1.7189252866749802,0.085627977108581485
"[-5,0)",0.002572586168439889,8.110498994579408e-06,0.9033293954069617,0.36635109986161374
"[-2,0)",0.00045286655585691346,3.3294708795581367e-06,0.2481890626784546,0.80398812838275213
"[-2,3)",-0.003510815192828735,8.323677198895339e-06,-1.2168872879808188,0.22364710286079725
"[0,2)",-0.004558212946410614,3.235346939889707e-06,-2.5341608713815234,0.011271697175417171
"[0,5)",-0.000792416657576933,8.088367349724264e-06,-0.2786269767617941,0.78053110777829249
