Event_Window,Mean_CAR,Var(MCAR),z-stat,p-value
"[-20,0)",0.021943840038900826,7.681299219814998e-05,2.5037749338442863,0.012287617105551723
"[-10,0)",0.009153916758032178,3.412018727629986e-05,1.567116400499016,0.11708748637017741
"[-5,0)",0.004146768299237148,1.8584413074306077e-05,0.9619120048848515,0.33609380771414543
"[-2,0)",0.0007733772351899028,7.588960259037405e-06,0.2807373815613233,0.77891183492444083
"[-2,3)",0.003051641717233416,1.897240064759352e-05,0.7006036565494037,0.48355039584391113
"[0,2)",0.002571950654094341,7.4889334971305916e-06,0.9398372300842086,0.34730105868646366
"[0,5)",0.004720166235664418,1.8722333742826484e-05,1.090880811523392,0.27532533148379301
