Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootstrap(CAR>%)
AAPL,"November 6, 2012",0.017119837460920002,0.7999556832503198,0.82424
AAPL,"October 1, 2010",-0.0113649687733,-0.603883182625964,0.26297
BKS,"November 4, 2014",0.00474004014412,0.12210627175738743,0.56212
OSTK,"January 16, 2015",-0.0094320339857,-0.24957918289670625,0.45229
VAR,"February 23, 2012",0.01163886977928,0.5640681108250278,0.76484
AAPL,"September 21, 2016",-0.0001887181937099999,-0.010614647832968789,0.49651
GILD,"December 15, 2016",-0.0027996542994200005,-0.14830837781696826,0.40679
MASI,"October 1, 2014",0.00834519701631,0.2878103795385558,0.61406
MSFT,"May 20, 2009",-0.004207705678299999,-0.13195027155989275,0.424
MSFT,"April 8, 2009",-0.0004950392081,-0.015304797091700595,0.46958
AAPL,"February 24, 2015",-0.013571506521829998,-0.9247512238647598,0.15193
TECD,"November 19, 2008",-0.02567345402369,-1.4763204141955837,0.06635
EXTR,"May 30, 2008",0.0047314227992,0.14401019810314578,0.61201
MSFT,"March 16, 2010",0.01362507675703,0.8842986910147398,0.85394
GILD,"January 26, 2017",0.01411791249369,0.7146661112143389,0.82124
IBM,"February 23, 2011",0.00351042179342,0.4300813442687085,0.67956
MGI,"September 24, 2009",0.005440095986000003,0.06414796027362038,0.5606
LLNW,"February 29, 2008",0.0776673773016,0.8731730017847374,0.87052
AAPL,"October 19, 2015",0.01816152389187,1.1402290684428986,0.89712
ILMN,"June 19, 2013",0.025881802961789997,0.959312024197319,0.90041
AVP,"November 18, 2011",-0.006683006267949999,-0.38142411026339734,0.31812
AAPL,"September 14, 2016",-0.009406422861230002,-0.5269926181235096,0.22843
TGT,"November 6, 2012",-0.014949641076260001,-1.2317168604421287,0.0862
WDC,"July 26, 2011",-0.016913277118140002,-0.5752063200959449,0.22774
MMM,"November 30, 2012",0.002717026246385,0.38069748190708413,0.66651
CSCO,"May 12, 2016",-0.00996858091931,-0.5382449385077668,0.19019
ENZ,"November 1, 2012",-0.1267012328777,-2.6159864748300037,0.00176
ELY,"March 5, 2010",-0.1272495331572,-3.801618353004885,0.0003
AAPL,"November 17, 2014",0.00679264536947,0.387611025124651,0.72426
ABT,"June 29, 2009",0.022789045041320004,0.8123322769017935,0.80303
ILMN,"March 14, 2013",-0.0303663127099,-1.1353985785209812,0.09645
HAE,"January 30, 2009",-0.063718907006,-2.210897117870822,0.01102
WHR,"March 10, 2017",0.01053187434538,0.5183050264096343,0.73804
AAPL,"December 15, 2016",0.006078156997375,0.390570059162512,0.73791
BDX,"November 9, 2009",0.005587957557799998,0.24225720067842557,0.58107
AKAM,"February 29, 2008",0.074088948618,1.5634308009518283,0.95304
NTGR,"June 13, 2013",-0.01748649146232,-0.5696866079568101,0.1584
POWI,"March 4, 2014",-0.007151184028600002,-0.28619322878164705,0.40173
SSNI,"June 6, 2014",-0.00200311152863,-0.036307772359494284,0.46909
SNPS,"March 10, 2016",0.003886756063775,0.20744960765623316,0.56855
LLY,"May 18, 2017",-0.00559976066878,-0.2572326775824294,0.33828
POWI,"December 18, 2015",-0.00407642573027,-0.16695733596292903,0.45273
VSAT,"April 24, 2014",0.0019479219598700004,0.08410620075066931,0.5595
BSX,"May 11, 2011",0.02778670834206,1.1403153562850163,0.89139
CBS,"September 15, 2014",-0.012527433171120001,-0.6921053319851203,0.23694
SYMC,"February 6, 2015",-0.006566594321889999,-0.4410652527752588,0.3167
SHLD,"May 12, 2017",-0.0004938073060999984,-0.006686336711189667,0.51526
JNJ,"January 28, 2011",0.002860055109997,0.3308494407494265,0.6491
LZB,"March 16, 2016",-0.02026903258434,-0.9550132432035745,0.14348
SYK,"February 5, 2013",0.0013201389001100002,0.12498389408875876,0.5332
CTXS,"June 18, 2012",-0.00870762856079,-0.3429512438828494,0.31931
AVX,"January 26, 2016",-0.00885683004545,-0.5884800401395973,0.25593
GMED,"June 14, 2013",0.01538002276388,0.45538525556583076,0.67693
BSX,"May 12, 2011",-0.0011811818593199996,-0.04862961315163437,0.52721
FFIV,"March 15, 2016",-0.001526489693799,-0.07035250251705696,0.42287
POWI,"December 17, 2015",0.0055106769102499994,0.22574247824323507,0.62094
MON,"September 21, 2010",-0.052341714202,-2.004195309623668,0.0221
YHOO,"May 15, 2009",-0.0565941364613,-1.0666275819589337,0.09524
AAPL,"February 3, 2016",0.01582207678106368,0.8180802777904502,0.79309
HAS,"March 24, 2008",0.0010226647530100002,0.03801878549106841,0.54785
HOLX,"October 17, 2011",-0.00791197544103,-0.5692456349934913,0.27039
MON,"August 1, 2012",0.01250909360772,0.7121720586067622,0.79531
CGNX,"May 1, 2015",0.002922955028316,0.14020608219692882,0.56103
CGNX,"May 1, 2014",-0.010715278136390002,-0.48038819678080136,0.24444
RDWR,"March 15, 2016",0.00771402543536,0.22030786558584775,0.58555
ROK,"October 16, 2012",-0.007967146669080001,-0.4352851539171891,0.30053
CSCO,"April 8, 2011",-0.005386664601915,-0.16756134794152516,0.20647
BSX,"May 27, 2008",0.01304434740923,0.4612567441996939,0.71247
BRCD,"August 6, 2012",0.005903130864199999,0.2018319756104747,0.58726
POWI,"June 5, 2015",0.013118056959049999,0.6147624798540532,0.75754
FOSL,"April 3, 2014",-0.00630017760153,-0.3432072347552581,0.3734
EA,"December 5, 2014",0.02743806562899,0.9086860431206668,0.93781
CSCO,"May 17, 2010",0.03797620266216,3.1793401010970785,0.98863
GILD,"March 24, 2016",0.008082685923789999,0.3569938687113735,0.64058
