Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootstrap
PKI,"July 31, 2015",0.0061659987337600005,0.5026696206774841,0.70872
WMT,"September 11, 2013",0.01137646743299,0.9663454796027949,0.85028
HLIT,"January 29, 2016",-0.082248227888,-3.2013830335806808,0.01485
BBBY,"January 25, 2013",0.04181308941366,1.5220967710648856,0.97329
RHT,"November 21, 2016",0.003442218145659999,0.19561714241433806,0.5605
EA,"September 13, 2016",-0.008322941786878,-0.27938490114702497,0.36311
HON,"February 5, 2013",0.00588881355344,0.48182918822045606,0.76544
MSFT,"May 1, 2013",0.0320385708508,2.661810052216215,0.99684
JCOM,"March 29, 2017",-0.00085821098276,-0.045046863004026154,0.47504
MU,"November 16, 2015",0.00887589319719,0.22547380788017152,0.60256
CRM,"July 10, 2014",-0.044475071054,-1.6662472000806519,0.04148
JKHY,"May 12, 2016",-0.011485871970830001,-1.0304488135171,0.1324
AAPL,"August 10, 2016",0.014406599282440001,0.7663141833919218,0.8006
CTXS,"October 14, 2014",-0.00758297763393,-0.3558453621609528,0.31797
AVP,"February 12, 2015",-0.022326709412410002,-0.8807206912852563,0.12601
INTC,"September 30, 2016",0.008640764861228,0.6326479203209587,0.76717
LLNW,"September 17, 2015",-0.0384314971701,-1.1164470798829658,0.11128
WMT,"August 5, 2016",-0.0005981201362100005,-0.028093422455836386,0.46965
TXN,"August 13, 2015",-0.009809395429089998,-0.619229569846081,0.16283
BWA,"December 12, 2016",-0.00769027070125,-0.31159025496097725,0.32694
NOK,"November 10, 2015",0.0030757055840599998,0.12698902239594176,0.56854
POWI,"December 12, 2016",0.0019880537094000006,0.09972471105587564,0.5511
CSCO,"September 23, 2016",-0.0016437504044000003,-0.09970607971715394,0.45037
NVS,"June 18, 2015",0.0043274729607300005,0.30467317732459587,0.68879
HPQ,"February 7, 2017",-0.0071215344145200005,-0.3999106513368857,0.29172
XLNX,"August 4, 2015",0.01077177341641,0.527723925515477,0.75225
ALGN,"November 10, 2015",0.01882166002407,0.8364686702479204,0.83765
NOK,"December 4, 2014",-0.02424738896634,-0.9981398689519664,0.12056
EBAY,"November 16, 2015",-0.00329165437576,-0.22010331927595664,0.44138
SHLD,"July 30, 2015",0.00142812647957,0.025012080686895755,0.55707
AKAM,"November 16, 2015",-0.02287038826804,-1.519190075089811,0.04786
HPQ,"August 4, 2015",-0.011188529821409,-0.5715868876365078,0.21024
INTC,"November 16, 2015",0.00459464222828,0.25440571954559676,0.61928
RHT,"December 16, 2015",-0.02479085165402,-1.4859074391993647,0.03337
AAPL,"March 1, 2017",0.0035046333355949998,0.20246902505685072,0.62019
IBM,"August 13, 2015",0.00518607950246,0.3382667085381508,0.6488
AAPL,"September 30, 2015",-0.022060695372990005,-1.3929176929794087,0.06589
AAPL,"November 16, 2015",-0.001998241416599999,-0.11155253129972753,0.45199
TESO,"October 30, 2015",0.03185215576060001,0.860759009252148,0.81907
XLNX,"May 1, 2013",0.0021348798500799996,0.16458216510714702,0.56409
IBM,"October 2, 2013",-0.00328164710237,-0.23097488013758846,0.31172
BSX,"May 13, 2013",0.0724537841774,3.5951960428944583,0.99963
CSCO,"November 16, 2015",-0.0319453431523,-2.175416607513713,0.00401
LLNW,"April 27, 2015",0.005760715452699999,0.16646844522568044,0.60691
ABBV,"July 21, 2015",0.00860963231981,0.41214006872418363,0.66848
NTGR,"December 4, 2014",0.00390211947483,0.21032064885575338,0.59697
WMT,"July 30, 2015",-0.0012676379843399998,-0.09609862024619306,0.4505
AAPL,"December 16, 2015",-0.0418594275601,-2.3191198009572367,0.01662
ABT,"April 21, 2014",0.012571075208289,0.9638472305423972,0.86738
DPS,"July 10, 2014",-0.00531575335019,-0.4067607021722558,0.33264
CSCO,"August 15, 2014",-0.03200607599891,-1.677467507012921,0.01917
MSFT,"November 17, 2016",0.0258390726709,1.71156792397686,0.96851
NTGR,"March 16, 2017",-0.008734348419820001,-0.37660554113044664,0.28018
INTC,"December 4, 2014",-0.00555949072081,-0.35445637031649424,0.354
DD,"November 16, 2012",-0.0016420869556387002,-0.16752189975416393,0.41964
AKRX,"March 17, 2017",0.01940074765557,0.43369023822525116,0.73127
SYMC,"September 30, 2016",-0.00447037713253,-0.2523754771399761,0.38481
AAPL,"March 3, 2014",0.01029405808698,0.47966037146976165,0.70651
NUVA,"November 9, 2016",0.0178734123415,0.8480003704023765,0.82647
PINC,"December 19, 2014",0.01526870179164,0.7826074173265731,0.82252
AAPL,"August 12, 2015",-0.0238152357202,-1.4373523230438565,0.06161
SYMC,"November 16, 2015",0.01942502631138,1.0869081582732179,0.904
NTAP,"May 9, 2014",-0.03648291001965,-2.2191290205175833,0.01725
TXN,"February 12, 2016",0.01122697156671,0.5715940905972219,0.79846
GRPN,"March 1, 2016",0.164112412544,3.3820871173570994,0.99988
GE,"February 21, 2017",0.0009500627907399997,0.10411495378500567,0.58177
ORCL,"November 17, 2016",0.0032164752569999993,0.29998872910554725,0.66386
ALLY,"February 21, 2017",-0.01212562044912,-0.5804920829893724,0.24616
AAPL,"November 18, 2013",0.00252506345856,0.0954023472325871,0.53473
XLNX,"February 12, 2016",0.01395364735173,0.8919079258306754,0.83925
AAPL,"February 14, 2017",-0.0011611718219000002,-0.06679548467974432,0.46708
SSNI,"February 29, 2016",0.008603740645699999,0.18330664829521176,0.656
FB,"February 7, 2017",0.004963532596509999,0.29714875576904726,0.66045
HPQ,"December 4, 2014",0.00015247273441999993,0.009013158885681615,0.57499
NKE,"February 11, 2016",0.0397897989006,2.5882947454932044,0.97274
