Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootstrap
PKI,"July 31, 2015",0.02469806751615,2.013456175693928,0.97227
WMT,"September 11, 2013",-2.1099729801999983e-05,-0.0017922636033639303,0.47544
HLIT,"January 29, 2016",0.031461115470085,1.224574484700207,0.93431
BBBY,"January 25, 2013",-0.01288158057279,-0.46892043785815946,0.18756
RHT,"November 21, 2016",-0.00908594370173,-0.5163433192957005,0.26424
EA,"September 13, 2016",0.011646195404880998,0.3909400348157582,0.70596
HON,"February 5, 2013",0.0062223470291110005,0.5091192632701285,0.77427
MSFT,"May 1, 2013",0.003811532691092,0.31666755919751244,0.62219
JCOM,"March 29, 2017",-0.006150625635720001,-0.3228418139211954,0.34859
MU,"November 16, 2015",0.0070113284416,0.1781083759014344,0.57574
CRM,"July 10, 2014",-0.00164334672407,-0.06156756611852741,0.46337
JKHY,"May 12, 2016",0.004577056911620001,0.41062819400713285,0.66226
AAPL,"August 10, 2016",-0.00834997220287,-0.444150767612927,0.27496
CTXS,"October 14, 2014",0.008491622650659999,0.39848522352718724,0.72346
AVP,"February 12, 2015",0.05354082514046,2.1120224955083957,0.99422
INTC,"September 30, 2016",0.00275834754533,0.20195698715350097,0.57789
LLNW,"September 17, 2015",0.006072426076800003,0.17640588736998444,0.59833
WMT,"August 5, 2016",-0.0042519311225799996,-0.19971121192585817,0.36871
TXN,"August 13, 2015",-0.01298273323162,-0.819550233503867,0.11125
BWA,"December 12, 2016",-0.035010065216,-1.418519005459812,0.08709
NOK,"November 10, 2015",-0.012133970134400002,-0.5009845588390204,0.25276
POWI,"December 12, 2016",-0.0287550153711,-1.4424085152888824,0.0713
CSCO,"September 23, 2016",-0.003634707139324,-0.2204728885917634,0.37376
NVS,"June 18, 2015",-0.013892290625720002,-0.9780785145658804,0.11637
HPQ,"February 7, 2017",0.01201392168634,0.6746432674535343,0.80881
XLNX,"August 4, 2015",0.02479431831224,1.2147075958989462,0.92413
ALGN,"November 10, 2015",-0.02135016725516,-0.9488401124372555,0.09834
NOK,"December 4, 2014",0.00805882304066,0.33174015498649495,0.67679
EBAY,"November 16, 2015",-0.0070094425638200005,-0.4687009626321235,0.31717
SHLD,"July 30, 2015",-0.016151850771799998,-0.2828820839934291,0.36853
AKAM,"November 16, 2015",-0.014454504508799999,-0.9601559681781383,0.14951
HPQ,"August 4, 2015",0.009655115406150001,0.4932495558274864,0.7458
INTC,"November 16, 2015",0.0038729029871,0.21444295816963063,0.60108
RHT,"December 16, 2015",0.00956137535989,0.5730871603168278,0.79415
AAPL,"March 1, 2017",0.008312930351781,0.4802530657332949,0.75411
IBM,"August 13, 2015",-0.0028474783639199997,-0.18572934204728692,0.34421
AAPL,"September 30, 2015",-0.022119098328599998,-1.3966052698583793,0.06614
AAPL,"November 16, 2015",-0.0066465099128099996,-0.3710437582382994,0.32177
TESO,"October 30, 2015",0.0590494733932,1.5957276674398146,0.95645
XLNX,"May 1, 2013",0.002541186274965,0.19590514148074104,0.57912
TG,"August 6, 2013",-0.0475250631833,-1.4804463155834822,0.06392
IBM,"October 2, 2013",-0.0038521518633299998,-0.27112918822437015,0.2899
BSX,"May 13, 2013",0.01572368191935,0.7802176195209852,0.81051
ABT,"April 4, 2013",-0.00051477136233,-0.04145477248878235,0.48994
CSCO,"November 16, 2015",0.00711866080261,0.4847671492969931,0.76328
LLNW,"April 27, 2015",0.019326156628200003,0.5584714732918393,0.74271
ABBV,"July 21, 2015",0.002900856257906,0.1388629680203046,0.54522
NTGR,"December 4, 2014",0.02252171449498,1.213899686178774,0.91537
WMT,"July 30, 2015",-0.00256826146021,-0.1946978441847139,0.40766
AAPL,"December 16, 2015",-0.01298436512187,-0.7193671775313524,0.19488
ABT,"April 21, 2014",-0.01646488074246,-1.2623923922089775,0.08179
DPS,"July 10, 2014",0.00818022695327523,0.6259498212654496,0.77079
CSCO,"August 15, 2014",-0.0014157536347400002,-0.0742009336068773,0.43105
MSFT,"November 17, 2016",0.00855279905188,0.5665333545001261,0.77316
NTGR,"March 16, 2017",0.01250857281825,0.539341643882317,0.81658
INTC,"December 4, 2014",0.003271112751846,0.20855628890165712,0.69191
DD,"November 16, 2012",-0.007491442383080001,-0.7642595634798708,0.19109
AKRX,"March 17, 2017",-0.0037199628614,-0.08315718590806305,0.46337
SYMC,"September 30, 2016",-0.00292355378231,-0.1650494485992713,0.43777
AAPL,"March 3, 2014",0.00320190204736,0.14919534283462138,0.56995
NUVA,"November 9, 2016",-0.0292714700436,-1.3887788724909873,0.06518
PINC,"December 19, 2014",0.004758527060330001,0.24390145434646504,0.63338
AAPL,"August 12, 2015",0.012386234823295001,0.7475627621829085,0.80312
SYMC,"November 16, 2015",-5.46841331999998e-06,-0.0003059796653575631,0.4742
NTAP,"May 9, 2014",-0.016062951115689998,-0.9770536658611899,0.12508
TXN,"February 12, 2016",-0.0039337260493700005,-0.20027614307988814,0.39256
GRPN,"March 1, 2016",-0.044775478325470006,-0.9227490234931084,0.08672
GE,"February 21, 2017",-0.00526130048509,-0.5765724773070102,0.25351
ORCL,"November 17, 2016",0.0003798855998999994,0.03543052229967745,0.53592
ALLY,"February 21, 2017",-0.009933498753873,-0.4755482333629002,0.27794
AAPL,"November 18, 2013",-0.004207266836449999,-0.15895962149800896,0.40407
XLNX,"February 12, 2016",-0.0263111584948,-1.6817918790523054,0.03354
AAPL,"February 14, 2017",0.00895456174814,0.5151040360960637,0.76855
SSNI,"February 29, 2016",0.004657295212909999,0.09922581476541109,0.61483
