Stock_Ticker,Decision_Date,Category,"SM_[-60,-30)_[-20,5)_NBS"
BBT,"March 26, 2010",TJ|T100,0.00582463308196|-0.0399401896166|-0.00642799132399|-0.0205767859384|0.00855046024728|0.00784913107042|0.00197998628529|-0.00190668627706|0.0193249801394|0.0181872419448|0.0049372779689|-0.0017875016133|0.0142467336073|0.00809013411143|-0.0114559012518|-0.00117179881221|-0.00454172726197|-0.0077232412029|0.00113414319435|0.00269272846673|-0.00480769020709|-0.0117436740479|-0.0119624771416|0.0121735285938|-0.00819110364498@0.0181489581179
BXS,"March 26, 2010",TJ|T100,-0.147129040419|0.0243750438197|-0.0410814747998|-8.98101266811e-05|-0.0105106713747|0.00937470019592|0.00607741123475|-0.00680341434882|0.00500809625477|0.00524237286458|0.00664429858596|0.0200922539016|-0.00222307743205|-0.00224360516937|0.00642990083973|0.0268774360202|0.0106814995652|-0.00788424507634|0.00271418677527|0.0113808614021|-0.00230721821731|0.00646442868266|-0.00512708581253|0.00357582588325|0.0107782900261@0.0146771515502
GILD,"December 15, 2016",TJ|T100|TVA|TVJ|TV100,-0.000304799130558|-0.00586765681683|-0.00825618795514|0.00290877226423|-0.00519341117132|0.0139112954988|0.00246596119106|-0.00585061772645|0.00618540001413|-0.011116835554|-0.00626080043143|-0.00306120794226|-0.00172349194311|0.00248726939715|-0.00124042270284|-0.00905712969123|0.00848207719396|0.0143437004205|0.0235629524869|0.0200687820401|-0.00177059743339|-0.0150383534264|0.00565923515107|-0.00420006194182|0.00367074553913@0.0100281512667
MASI,"October 1, 2014",TJ|T100|TVBF|TVJ|TV100,-0.0142268271723|-0.00184839661738|0.00410961025831|0.00432271621564|-0.00265554157722|0.00672307432245|0.0139627043385|-0.00479325501897|-0.0140880307116|-0.0125671616197|-0.00437412349618|0.00237356714738|-0.00575940685714|-0.00790765607518|-0.0028283361764|0.0247628687596|-0.00875395882302|0.0118272983993|0.0016813944752|0.0124152366442|0.121828227078|-0.0659823019837|0.00693258387823|0.00806204396642|-0.0156662167974@0.0241520569686
INTC,"April 9, 2008",TJ|T100,-0.00940248788318|0.0153821909378|0.00572851760559|0.000846697518798|0.02969859535|-0.0291903811897|0.016719935349|-0.000211017147672|-0.0163045950425|0.0067312151338|0.00585538499256|-0.0279775804285|0.0052250637238|0.0144392752757|-0.0237093879354|-0.00449793965756|0.00133059593195|0.00141105958269|-0.00425762644757|-0.0272691862497|0.0313051709763|0.0299881060129|-0.00116657429795|-0.0179527253345|0.00853305949325@0.0273035952489
AVT,"May 18, 2012",TJ|T100,-0.000855542028948|0.00670838413247|-0.00999062234687|-0.00796697105941|0.0289291820618|0.00355867651498|-0.00933125066986|-0.0141522759227|0.00677078517832|-0.00922470743962|0.0120122396233|-0.016727721083|0.00176585020546|0.00609672944116|-0.0108733862987|-0.00326345669478|0.00932216025394|0.00847721876978|-0.0280126180365|-0.0117833252374|-0.00477951667785|-0.00182548894111|-0.00289564145931|-0.00746743643885|0.000708373038471@0.00826423858907
MSFT,"May 2, 2014",TJ,-0.00756317898688|-0.0165662056339|0.0090618783403|-0.00443124959281|0.0044523001196|-0.0065261375438|0.00486585067181|-0.00956068592705|0.00666564656058|0.0047606462044|-0.0118217054736|-0.00602946689832|-0.00411647626923|-0.00578206763859|0.001502012371|0.00909324789484|0.0198208437851|-0.0143290748097|-0.00647710494862|-0.0107376665468|-0.00697295794434|-0.00922776181007|-0.00106154745256|0.00242253123954|0.00599029474793@0.00856918038442
MSFT,"May 20, 2009",TJ|T100|TVA|TVJ|TV100,-0.00383045331759|-0.000618131739711|0.0872680592296|-0.0154262190025|-0.0197518808764|-0.00224216664355|0.000913997995079|-0.0050745859304|-0.0317865701444|-0.0162141281405|-0.0147050891458|-0.010744772739|-0.0148210388201|0.0125296816689|0.0324659725491|0.016560783252|0.00863921414814|0.0160324467934|-0.00580730813598|-0.0060351721609|0.0102008341864|-0.0141424246976|-0.000894487941962|0.00745354592496|0.00652776962554@0.0233987704069
BWA,"February 27, 2015",TJ|T100,0.0145165130743|0.00776877290038|0.012241025993|0.00818669139057|0.014887046049|0.0027818942833|0.010494532611|-0.0183103864665|0.00261862379671|0.00345984297813|0.0447276557838|-0.0236053823402|0.00642079795672|-0.00221458613621|0.0080519919519|0.00525292241672|0.00112400268845|-0.00447996892492|0.015335249482|0.00214320343479|0.00567915886941|0.0180617454343|0.00751725599686|-0.00447213120829|-0.00144399170761@0.0123663622124
NOK,"November 21, 2013",TJ|TVJB,-0.0430784932797|-0.0526232083348|-0.0509714444123|0.0694305913206|0.0218780031563|-0.00530484878823|-0.0224185107277|-0.00731284927786|-0.0121688643344|-0.00296823145771|-0.025852880447|-0.0371628097589|-0.00326381194552|-0.0127399399665|-0.00725499333554|-0.034606727923|-0.0126828538679|0.00270036978842|-0.0412480443238|0.0119857122336|-0.0355137221866|-0.0108690262081|-0.0104935209165|-0.0364688849714|-0.0111968516136@0.0527474463242
