Stock_Ticker,Decision_Date,Category,"SM_[-60,-30)_[-20,5)_NBS"
MGI,"November 18, 2009",TB|T100,0.0284687241054|-0.0256258253367|0.00442258117129|0.0180708315028|0.0153524723291|-0.0112869211201|0.0112283759693|0.0405463032768|-0.0471717682069|0.00591726872753|-0.0576068837501|-0.0386110813897|-0.0199145783774|-0.149297447435|-0.0059720071843|-0.0168578423625|0.0135613278634|-0.0294507971562|0.059503021471|-0.019344530651|-0.0325259919753|0.0113413256104|-0.0218682023348|-0.00467646132213|-0.00999478772402@0.0264289353479
HON,"February 5, 2014",TB|T100|TVBF|TVB|TV100,-0.0041590248533|-0.00406457839477|-0.00036166346033|-0.0069765788027|0.00428523144508|-0.00891736346966|-0.00141027472723|0.00355976201217|0.00494788726477|0.00324583705349|0.00481404179064|-0.00269905771133|0.0150545879961|0.0273783780793|-0.00621527113423|0.00564954200645|0.00726094190286|0.0031796332253|0.00406576277446|0.00189069658075|4.51072148527e-05|-0.000720186011185|0.00512662963148|-0.00565695751078|-0.000804044354468@0.00414149450527
ALG,"March 8, 2013",TB|T100|TVBF|TVB|TV100,0.00342772327505|-0.00728618477332|0.00131882951997|-0.00127575609446|0.0025204550766|0.00855349818699|0.012471562121|0.00123693516912|0.0112849172282|0.00826503451842|0.0259517681838|-0.0115276609424|0.0251237190189|-0.0200162519155|-0.010423628533|0.00247517401741|-0.0128180662201|0.0159087714587|0.00686237138561|0.0159076046354|0.0427478486803|-0.0107995068512|0.0210547150072|-0.000109986422393|-0.000864162193381@0.0102236485144
ADBE,"December 29, 2011",TB,0.00372054396985|-0.0116095551289|-0.00164317468688|0.0154034084425|-9.06363445821e-05|-0.00927652947032|0.00598079962884|0.00344533931077|-0.00848104289296|-0.00570953265387|-0.00708414608669|-0.0078377954194|0.0605007831022|-0.0142373525352|-0.00172424331708|-0.0203597656814|-0.014284479546|0.00272906573882|0.00498325598349|-0.00368940679535|-0.00276289489968|0.00258996696881|-0.00870723162188|-0.0134858199257|0.00253926483661@0.0155221976875
ACOR,"December 22, 2015",TB|TVBF|TVB,0.00542981225821|-0.0116803111628|0.0157891790742|-0.00216935696459|0.0081701184034|-0.0358811341498|0.00960411477191|0.0147232009291|-0.0246494647184|-0.022551944044|0.0425499915541|0.0160201651973|0.0100971467742|0.0244175715902|-0.0148612783276|0.00497468479328|-0.00953447667683|0.0556622755902|0.0516115805516|0.00633766348589|-0.00223829431497|-0.0351996601395|0.00167010764319|-0.00181761624396|-0.0180214163212@0.0261451276662
JNPR,"March 18, 2008",TB|T100,0.0013889439743|-0.00299427486384|-0.000971486672551|0.0170398571197|0.040944292031|-0.00791992263672|0.0679390764402|-0.00830308136524|-0.0326422656374|-0.0291500795338|0.0247511860443|0.0311684722105|-0.0231078948806|-0.0181249348153|0.00593747679044|0.0077928823175|0.00758737576679|0.00291528123658|-0.0140883750343|-0.000862608572417|0.0038677091342|-0.00691812766296|0.0104522464626|-0.00648765247304|0.0443326531615@0.0361521367074
INTC,"October 31, 2016",TB|T100,-0.00293251204313|-0.000771456302719|0.00388639612247|-0.00184484458324|0.00136979874619|-0.0109861847311|-0.00916781564749|-0.00838763940393|-0.00390564152738|0.00914758902038|-0.00365225697531|0.00222648888366|-0.0672788225613|-0.0033918901119|-0.011632769462|-0.00471671253254|-0.00405254733211|-0.00612277914956|-0.00341179882082|-0.00195224927655|0.00049727632691|-0.00529754529785|0.00575062073109|-0.0101649354271|-0.0114529037112@0.00831353060986
NOK,"August 24, 2012",TB,0.0263349672573|0.0416292418895|0.130342973784|0.00253638943381|-0.0220307835096|0.0235344738009|0.0677138186266|0.0594214752455|0.0190640582639|0.105071799957|-0.0489421248912|-0.0414507754654|-0.0337171156327|0.0701673380548|0.001175079974|0.0485103349854|0.0171138492629|0.0223345652287|0.0554352162321|0.132820226863|-0.0348061183431|0.0669577809853|-0.0548312479009|-0.031575633297|-0.0273027364469@0.046586065245
WMT,"February 27, 2009",TB,-0.00331759252922|-0.00574150545649|-0.00871835055851|0.0226993492247|-0.0257487010085|0.0411713436218|0.0127126776313|-0.00576697996958|-0.0120817580593|0.010191090435|-0.000507995197516|-0.0277546434161|0.0549421641371|0.0386152269863|0.0150125843444|-0.00291329178924|-0.00703602498882|0.0102281898266|-0.0112050002296|-0.0114771994298|0.0309489225857|-0.00489879201078|-0.00905619005417|0.0158968398034|0.0437214945177@0.0205684230874
BAC,"August 2, 2011",TB|T100,-0.00410567966253|-0.0217326981865|0.0104107115614|-0.0105170180018|-0.0131830147281|-0.00634987557073|-0.000768282628881|-0.0031681314455|-0.009013486167|-0.0175364028868|-0.0270788759076|0.0326792493161|0.0284655704433|-0.00715176404572|-0.00348790570995|0.00573097453556|-0.0102022077476|0.0172671813581|0.00139148345354|0.0174537496002|-0.00606644325027|0.00356960607515|-0.0299129669703|-0.0730210254949|-0.161885913067@0.0132123278913
CAJ,"September 29, 2014",TB,-0.00958135208443|0.00425610280859|0.00427375106904|0.00554065782555|-0.00502530329828|-0.00327320610063|-0.00715683992983|0.0071181200518|-0.00401077316632|0.00223418289335|0.00017447726043|0.00146763546165|-0.00992479762818|-0.00353399904525|0.00150332828489|0.0190847161128|-0.00325093750809|-0.00754805418262|-0.00139271536082|-0.00306438879419|0.00190168860196|-0.00603429074506|0.00167632532061|-0.00516164263476|-0.0127768292829@0.00600785822329
AMZN,"May 8, 2013",TB,0.00298830764576|0.0172777284233|0.0152466736366|0.00649735918582|0.00376071006348|-0.00166433989624|-0.0222792504535|-0.00376048751157|0.00942363298859|0.0112382162278|0.000520136696527|0.0192691915358|-0.0717431184586|-0.0253007193737|0.0153463292934|-0.0116260132383|0.00942841968652|0.0128560620801|-0.0100475605397|0.00428083625284|0.000656763850388|0.0101972831215|0.0115464968646|0.00413387019809|0.00545539984088@0.0139135604293
IBM,"November 7, 2012",TB,-0.000111225334987|0.00125890423115|-0.00398178312368|-0.000700166893432|0.013274718024|-0.0026713348385|-1.22037674401e-05|-0.0547454338075|-0.0259356563153|0.00860312622595|0.00537140759802|-0.00230573551415|0.000185477424866|0.00186557097161|0.00938676867439|0.00664432712247|0.00317475045293|-0.0100281398695|0.00177649117622|-0.00281962776314|0.00704341088614|0.00660541953789|-0.00314019138721|-0.00270288475243|-0.00132481125117@0.00472137423815
IBM,"November 7, 2013",TB|T100,0.00287037062453|0.00257997460398|0.00123475688945|-0.00717639486045|0.000705845517283|-0.0709418782855|-0.0111679536464|-0.0054988989943|0.00769850427166|0.00797614828031|0.00887309849658|-0.00888796601726|0.00149522376346|0.0224438060633|-0.00732842923214|-0.00327176929451|-0.00180789953657|0.00303077895034|-0.0113095958233|0.0089345618315|0.0138051394291|-0.0101497030262|0.0156549486743|0.00239847450597|-0.00346126716318@0.0062564797351
KEY,"August 3, 2011",TB|T100,-0.00913939655037|0.00449689513923|-0.00677536509444|-0.0103232056898|0.00444996161805|0.0055909629457|-0.00877098836737|-0.0109268065594|-0.0166144799513|0.0228267345337|0.025898573558|-0.000714465636701|-9.08271788433e-05|0.00589499660079|-0.00818345835459|-0.00238437532026|-0.000882799160028|0.00362618717571|0.0130424760473|-0.00214677117816|0.000893451345702|1.36596438831e-05|-0.0326975044611|-0.0324883871007|0.00997832058127@0.0111959331738
IPGP,"December 14, 2012",TB|T100|TVBF|TVB|TV100,-0.000212254886485|0.00654442184399|0.00404678248676|-0.00526677603591|0.0179890668542|-0.000114203889365|0.0286399890605|0.0181096286513|-0.00760874083949|0.00410396998624|-0.0187889456929|0.0194671503614|0.0227345950853|-0.00987264949468|0.0129127802933|-0.0163650299118|0.0246095189366|-0.000881971574778|0.000319746397295|0.0144414252446|0.000716278626708|0.0229410561385|0.0153434958742|0.0367236861121|-0.000665105395433@0.0327362020882
SUPN,"May 25, 2012",TB,ERROR
BBBY,"March 24, 2011",TB,-0.00390004442105|-0.00226889860043|0.000327824491632|0.00944770812258|0.013967290605|-0.0021103048171|0.0033678994991|-0.00209392465928|-0.0160297718529|-0.00394874330793|0.00620466150553|-0.00284683597938|0.00132400732289|0.0366342961255|0.0093765486331|0.000201092126623|-0.00738087916353|0.00250636799826|0.00522757357968|0.0103671663512|0.00787033536518|-0.0136681089579|0.0077565663026|0.000884720886266|0.0109113697853@0.00840902077529
NVDA,"June 17, 2015",TB,-0.00414282163497|0.00279999987265|-0.0109808820826|0.00445779365845|0.0150845955199|0.036340682352|0.0172219016365|0.0124877757206|0.00900973329923|-0.0165263773511|-0.0143441276558|0.0348796169324|0.0123199024801|-0.0103548218012|0.00681663983022|-0.0383608626183|0.00626081377468|-0.0119625702909|0.00748924471467|0.00379968289232|0.0101970740477|-0.000923845118229|0.00647356375989|-0.0119887287534|-0.0258376478346@0.0137777529063
BRCD,"January 10, 2013",TB|TVBF|TVB,-0.00548945641199|-0.0219643170561|0.00755633334062|0.0121219015311|-0.0129199903528|-0.00673285068242|0.00540677181248|-0.00426470233356|-0.00559567840429|0.00589156726066|-0.0114630743056|-0.0150598055158|0.0244000113031|-0.00943034176965|0.040306406069|-0.0453484435297|0.00643220993501|0.00363658968403|-0.0219814753404|-0.00055612024111|0.00985398566252|0.0168925944973|0.00665635338467|0.0209533867464|-0.00814430549232@0.0147915736698
AAPL,"January 18, 2016",TB,ERROR
COST,"November 24, 2008",TB,0.0403696799763|0.0370816828333|-0.00602398766362|-0.0183118537152|-0.00236250633559|-0.0656356617467|0.0103037860285|0.000139961250354|0.0300799028929|-0.00858199980703|-0.0120297876835|0.0050015145597|-0.039502271192|-0.011406233876|-0.00859018923845|-0.00766800826027|-0.0225309539733|0.00686717160139|0.0394821009606|0.00669194077343|0.0176468081835|0.0201903593304|-0.00691952713732|-0.00681863782194|-0.0167737427986@0.0166599916214
AMRI,"June 14, 2010",TB|TVBF|TVB,-0.00745997826072|-0.00281689149644|0.00155702883553|0.0275153949511|-0.0316522791793|-0.0230760668188|-0.0123580943408|-0.036581102203|-0.00902686860151|0.0421261361731|-0.0207826225912|-0.0230476566624|-0.0214791923966|-0.00647297481988|-0.00156843612803|-0.00799201232138|-0.00293318511631|-0.0272968494146|-0.0208407414303|0.0182823100459|-0.0239591270609|-0.0224029704683|-0.0111801159059|-0.000153596737977|0.0366120713546@0.0173071151586
NVO,"September 25, 2009",TB|TVA|TVB,0.0137957098674|-0.0149705949334|-0.00107851280642|-0.00639647166193|-0.00575550224439|-0.0114024116097|0.0190952841494|0.0181374219172|0.000374117904497|0.00450784941071|-0.000389578933539|-0.00438605749363|0.00953460264624|0.0103899727917|-0.0217345307933|-0.000911333284204|0.00446916645997|0.0119920875968|-0.0269366634921|-0.0281549149691|0.00516651010247|0.0114877954608|-0.00903447431538|-0.00554931123389|-0.018203284111@0.0166302159619
THO,"February 29, 2008",TB,0.0296488507418|0.0158155421393|-0.0503932946037|-0.0159735243345|-0.00772870813955|-0.00464635924288|-0.0022201156821|0.00774772225946|-0.00674007276588|-0.0343264447805|0.00410537224625|-0.0092351424931|0.000497932212943|-0.0062150506939|0.0136346813091|-0.000285850670693|-0.0160304702395|-0.0120051982269|0.0512182971771|-0.00312752912379|-0.00970493001584|-0.000878579739499|0.00949718317141|-0.0040378971658|0.0255573261267@0.0244221768796
FITB,"November 22, 2010",TB,-0.0216584714115|0.0163261153735|0.0154649755185|-0.00877994024101|-0.010938295601|-0.0118405183787|-0.00822377354752|0.0428635690362|-0.00972667449041|-0.0324805448984|0.00871041242839|0.00432887710902|0.0233128302094|0.0111067489762|-0.0003986067242|0.0178106639909|0.0093361451563|-0.0208940131632|-0.0522908443538|0.0123969668054|-0.00647032657818|0.00502655715397|-0.00357513482033|0.0108221672357|0.0112611388247@0.0137351579344
FB,"August 7, 2013",TB|T100,0.0147389043839|-0.00917078777522|0.00607637004178|0.0133409599587|0.00747412477894|0.0127433263919|-0.02011204268|-0.0105342955667|0.00738263611415|0.00755882265831|0.0203181807245|0.259774427537|-0.00861024904544|0.046252703264|0.0628269603709|-0.020358352544|0.0108465215241|0.0158872918395|0.0334181387531|-0.0087663879746|0.0137639137224|-0.00922508451419|0.00413975724553|-0.00365430817037|-0.0319662072774@0.0183784208246
VRX,"November 14, 2013",TB|TVBF|TVB,0.00174588453183|-0.00159210942025|-0.00787132902058|-0.0072962473542|0.0214187486546|-0.00666243439001|-0.0228319849209|-0.0228717154898|-0.00293775049513|-0.0127263308646|-0.028599987233|0.045853253354|-0.014085941141|-0.00504779015665|-0.036196961498|-0.0164624489158|0.00319529403329|-0.00429316072597|0.00689315735877|0.00085469492763|-0.0203575371968|0.0044605246334|-0.000134864577078|-0.00612135516049|0.0089311199475@0.0130833398412
MON,"February 9, 2009",TB|TVBF|TVB,0.00584447293677|-0.00714447565849|0.00857663442086|0.013537942424|0.0342797927778|0.0140423458263|0.0135343325495|-0.00383592497998|0.0265594623925|0.00678518995273|0.00450134016281|-0.0105771779354|-0.0277916458756|0.0351373670253|0.000901190258897|0.0073994540113|0.00610949970077|0.040294855526|0.0328356315041|-0.00168267711842|0.00213560508774|0.0203343391028|-0.00777683853853|0.0140912353763|0.0013073341403@0.0323214078829
TMO,"July 27, 2012",TB,-0.00208861121296|0.00271214863545|-0.0117210601259|0.0221144682793|0.00235296056578|-0.0107618201682|0.0058685164992|0.00293874834545|0.0119973086287|0.00145021055604|-0.00416915359184|0.00140596173606|0.00263004761911|0.0112587569854|-0.00481839703341|-0.00748179059147|-0.0140998904284|-0.00772742666316|0.0853838178327|-0.0051782919347|0.0081996195988|0.000942949537506|0.00194191342307|0.0023789623904|-0.014252156838@0.00774355885551
CSCO,"May 12, 2014",TB,0.00165384748115|0.0118106953398|-0.00275450217155|-0.00166673185517|0.00829234687325|0.00674908260785|0.00274635439462|0.00308350392207|-0.00733005675692|-0.00491598095239|-0.000242518556954|0.00359364787221|-0.00310426245586|-0.00264764327806|5.36026648778e-05|0.000905125799603|-0.000711577431784|0.00298604528033|0.00929922450563|0.000419949232068|0.00026602618242|-0.0133667984842|0.00394784759424|0.0681936096406|0.00644015824771@0.00978040292076
SHLD,"January 3, 2017",TB|TVA|TVB,-0.055352960776|-0.060323160222|-0.00849712408707|0.0185638539541|0.048513449224|-0.0725582263256|-0.0364187593604|-0.0153165136587|-0.0752635569829|-0.0251536126068|0.00960653530058|-0.0399528687904|0.000110757336904|-0.0175369886895|-0.0510111046964|-0.0693929530392|-0.0615307952378|-0.00922946574068|0.0943442476008|0.0327897053408|0.0388954643604|0.0585270625219|0.00207997324784|-0.0869418955535|-0.048471564158@0.0295527163858
T,"November 22, 2013",TB|T100,0.0128591839752|0.00949141150341|0.015809146518|0.00275396828299|-1.96035253399e-05|-0.000663941009897|0.00327590975447|-0.0237115366334|0.00459782705706|-0.0119459408979|-0.00723555176557|-0.00431251719186|0.00509837058177|-0.00826700501492|-0.000892644222992|0.00460805208128|0.00685618183856|0.00456867706757|-0.00717188162265|-0.00827732703827|-7.05177520435e-05|-0.000977616043086|-0.00294185022|0.00188014972325|-0.00544631911084@0.00748570787314
IPXL,"June 23, 2014",TB|TVA|TVB,0.017842334681|0.00421968422806|-0.00828820676965|-0.0191468109981|-0.000736219491234|-0.0160540664966|0.0101298962791|0.00159833974547|0.00447150851592|0.0121822320235|-0.00664598740109|-0.00648542463964|-0.0159488731366|0.0166470572823|0.0145539290421|-0.0102542927583|-0.00130116036511|-0.00704742790849|0.0202219072216|0.0215155384418|0.0115993170578|0.00538612929884|0.00567446125395|-0.0132334965741|-0.00400673099403@0.0265646334198
BBBY,"December 7, 2010",TB,-0.00428564190064|-0.0132792348116|0.00835861713098|0.0041748543498|-0.0136730840713|-0.00623935851708|-0.00450089411615|0.00429128999531|-0.0187686832647|-0.00671702784736|0.000958102000925|-0.00348316669194|0.0262540850336|-0.00194690780454|-0.00477109151265|-0.00285119239807|0.00542280337194|0.0150097605107|0.00246699416306|-0.00448241174809|-0.000646690677706|0.00490724387747|0.00190647749981|0.000100367888532|0.0164361025067@0.0100034497726
INTC,"October 8, 2009",TB|TVBF|TVB,-0.018611625236|-0.0128766932117|-0.01268694684|0.0054529951174|-0.00958258585351|-0.0111895476515|0.00676176389719|0.00107142410513|-0.00638959063225|0.0254127274995|-0.006985991899|-0.00395419138221|0.00163293240917|-0.0107044102791|0.00798710694174|-0.0111471388782|0.007835794301|-0.00766096294417|0.0134494769372|0.00314380228923|-0.00105680057072|0.00834556774242|0.0072767187877|0.00602943776272|-0.000185415963561@0.013464957043
WFC,"May 20, 2016",TB|T100,0.0147844235519|0.00388494898095|0.00930547667158|0.000555569264542|0.00694756249939|0.0030577305166|0.00365134932286|0.00491240941122|-0.00190251300474|0.00416290662179|-0.000822998140909|-0.000645623014448|-0.00459372920725|0.0111360056408|0.00546401385083|-0.00304512340294|-0.0107232461961|0.004045225582|0.0244175256114|0.00312939436347|0.00158185482635|0.00449026725829|-0.00574814615144|0.0193447373059|0.00401743602636@0.00911021510746
WMT,"July 6, 2009",TB|T100,0.00658906960371|-0.00166643497278|-0.00214633094163|-0.00777272547286|-0.0129803716444|0.012703607729|-0.021250265327|0.000789943125234|0.00928132597757|0.00387320055782|-0.00848406722387|0.0168006520784|-0.00238901785449|0.00447999885685|0.0119812066315|-0.00746939555921|0.00371341760147|-0.00243644111257|0.00052235737501|-0.00443719960395|0.00146585593648|0.00848579000437|0.0138411202358|-0.003654224188|-0.00753759563628@0.0168022717205
MSFT,"December 26, 2012",TB|TVBF|TVB,-0.00581927643124|0.00221926391336|-0.019674046787|-0.012285870298|-0.00178831625201|-0.000550636432326|0.0097308398257|-0.00101231222314|-0.0130359743172|0.0177947473362|0.00722092616178|-0.0031851394047|0.00185073648553|-0.00701173074963|-0.00110910554151|0.0056034552113|-0.00112231822494|0.00776010278095|0.00136950251226|-0.0108539975961|-0.00278256069709|0.00536117451613|-0.0037967281699|-0.0112229104977|0.00750061583825@0.00959356961234
BMY,"January 30, 2012",TB|T100,-0.00328353215293|6.41421789181e-07|-0.0194779157896|-0.013028956056|-0.00944550583647|0.00104619403628|-0.0131347162081|0.0125611700432|-0.0179178104818|-0.00342911002098|-0.00839979167598|-0.00736680089176|-0.00943374521853|-0.0366274450648|-0.00673113181268|-0.00623753418207|-0.00846402414837|0.00589638338167|-0.00575639326468|-0.00798784744202|-0.00139035921114|-0.00248051152244|-0.0023414348263|-0.00718304278396|-0.0132231244386@0.00749203703561
BMY,"November 5, 2013",TB|TVBF|TVB,0.00404659926185|-0.00675500962765|0.00169165616738|-0.013205555073|-0.00699280640369|0.00153557398154|0.0100723176526|0.00751405361231|-0.00923900315891|-0.010919702302|0.000254446404572|-0.0113059549477|0.00240029973814|-0.0197306360947|0.0607524055275|0.016218174878|0.000954980584857|-0.00972131451928|-0.00552714895539|0.00442880955882|-0.00760739621282|-0.0173598801059|-3.01264212714e-05|0.00160446569158|0.00241499546526@0.0100537742967
NTRA,"July 19, 2016",TB|TVBF|TVB,0.0171076655487|-0.0128426428049|0.0366161865742|0.143568448595|-0.0740474210411|-0.0831991242662|-0.0598371942763|0.0686781660868|-0.00872603020025|0.0157993692106|-0.0280549289582|0.014106972503|-0.0127070229018|0.0457113272317|-0.00121435729852|0.0221308028213|-0.0496732095577|-0.00464486089549|0.0269591407|0.013393043451|0.00812085855166|0.0137696287752|-0.0204341445809|-0.00277670126666|-0.0126028465197@0.0493980523303
ZBH,"December 30, 2011",TB|TVA|TVB,0.00921999466872|-0.0351462159998|0.00737219762215|0.00429506508264|-0.012680036629|0.00203124434191|0.0123248710819|-0.00430894550309|-0.000181988975537|0.00719495669971|0.00543913242805|-0.002967331868|0.016269098649|0.0375457217975|0.0232933139668|0.0182269681806|-0.00172194512082|0.00357829035653|0.0124139859857|-0.000891521738849|0.00695618233991|-0.00135667903312|-0.0120504592508|0.0123789922067|0.00784751908419@0.0112438365244
SHLD,"January 9, 2015",TB|T100,-0.0864606549913|-0.0186511671605|-0.0270808794849|-0.0606356757658|-0.0337158835792|0.0339915353286|0.0404040114139|-0.0225060840536|0.0127767985573|-0.0481324714829|-0.0296552503402|-0.0167278183578|-0.0164164940739|-0.0327032883209|-0.00388211148232|-0.0261750707319|-0.0558616212504|-0.0540362885596|0.0192396094733|0.0949217933806|-0.0545898163807|0.00473266047319|-0.0367112621004|-0.0233776591028|-0.048929997871@0.0769732931574
TGT,"May 15, 2013",TB,0.0080203238456|-0.00763392837851|0.00439739134734|-0.00402799802029|0.0013600244054|-0.00314864201332|0.0089282655882|-0.0046351855555|-0.00406257735042|-0.00524246980318|-8.25861811063e-05|-0.0260755822255|0.0116786550443|-0.0108575342116|0.00225938156585|-0.0156280446701|-0.00670023378019|-0.000707341582781|-0.00263314897864|-0.00715119226665|0.00832786405192|-0.00693462638498|0.00812860869613|-0.00895449061005|0.00485213875538@0.0113807394122
EGRX,"July 30, 2013",TB,ERROR
POWI,"January 19, 2011",TB|T100|TVBF|TVB|TV100,-0.00687912050649|-0.00935850205393|-0.0135232032081|0.000384279579491|-0.0137972265816|-0.0122268391854|-0.00851518254389|-0.00408550279138|-0.0228346899605|-0.0125473306408|-0.022370997761|-0.003545180319|-0.00490636961072|-0.00988429020784|-0.00865269956248|-0.0188184721563|-0.0155983291918|0.00126946855785|0.012364933852|-0.0198250614795|-0.0324311365777|-0.0386295731337|-0.0519988574525|0.00382508582012|-0.0180623050205@0.0166966946388
T,"October 7, 2013",TB|T100|TVA|TVB|TV100,0.00210928397426|0.00701867757515|-0.000269050795756|0.015518751302|-0.00143530788179|0.00526365754176|0.0040615480382|-8.74913199992e-06|-0.00113538716274|-0.00809662036457|0.00218909892253|-0.000483327710426|0.00250100041849|0.00454262759506|-0.00253505189874|0.000556518234864|0.00369386494414|-0.00112985664332|-0.00103658783183|0.000107481893007|0.0148416337509|-0.00375651831369|0.0204523603067|-0.000390770027694|-0.00095780370405@0.00682617810826
NVS,"September 14, 2015",TB|TVBF|TVB,-0.000842909158376|0.00189609336046|0.00169893277329|0.00520861203762|-0.00275633662036|-0.00152823246287|0.0133408345101|0.0146629850788|-0.0169304029712|-0.00914891650495|-0.00347736395793|-0.00404109019903|0.0029208730107|-0.00935343741918|-0.00370313623877|0.00602501525695|-0.00724007604983|0.00831201615297|-0.00104483155432|-0.00204964129248|-0.00649729717654|-0.00481467073134|0.00491790585713|0.00408594379314|0.00229947481094@0.0109580142412
SUPN,"April 4, 2017",TB|T100|TVBF|TVB|TV100,-0.103874950664|0.0634369999143|-0.0151061098853|-0.0435658072541|0.0483221043709|0.0111490488868|0.0175914847747|-0.00734821447254|0.0448501221105|0.0432136322805|-0.000592553512733|-0.00244297994619|0.00733720780248|0.0610851646454|0.0369433445507|-0.0173631978374|-0.000909453063877|0.0108885647609|0.0149574099676|0.0097697743184|-0.0079224041771|-0.00902919417803|-0.00232813804294|0.0415111715365|0.00668271816457@0.0250352374626
USB,"August 2, 2011",TB|T100,-0.0180980632438|-0.0137756676354|-0.00103601299852|-0.0027488600684|0.00241724427413|0.00802763077903|0.00136943928268|-0.00965612258275|-0.00600403398951|-0.00338941193804|0.00354993774951|0.0432247649209|0.0148874003669|-0.00544069015556|0.00819199469468|-0.00486942142606|0.00489964960793|-0.00191141818901|0.00599249361359|0.0012586297555|-0.00154585980305|-0.00438011207111|0.0143497507011|-0.0170322641929|-0.0121680689496@0.00830872443837
HUM,"October 22, 2015",TB|T100,-0.0136491250772|-0.0280046079461|-0.0203220827603|0.00675720998453|0.00223674412669|0.0020319840295|0.005682326212|-0.0162010423259|-0.0239511804506|0.00306974331073|-0.0122228377333|0.00169928274407|-6.82491369889e-05|0.0189431125721|-0.00879898706965|-0.00956249259098|-0.000228142672647|0.011003196279|-0.00499328856972|-0.0455198792289|-0.0850931034335|0.00829178240388|0.0119884436144|0.0280223059953|0.00552253748068@0.00550185627667
ROK,"June 14, 2017",TB|TVBF|TVB,ERROR
AMRI,"June 2, 2010",TB|TVBF|TVB,0.0030492835839|-0.0116539021742|-0.0781810847741|0.0207439174724|0.00694804736584|0.0537412860045|-0.0146312704261|-0.0159748570046|-0.0190854538863|-0.00247794799895|-0.00715635223743|0.0238843665451|-0.056147446033|-0.0138474190964|-0.0205739270551|-0.035927780196|-0.012871770211|0.0631017030227|-0.0288172826675|-0.0338430621913|-0.00511391769811|-0.00428093341362|-0.0243312415679|-0.0159628764701|0.00385234648284@0.0147019468122
MTB,"September 27, 2010",TB|T100,-0.00582923097143|-0.00254808501484|0.0103245879714|-0.0166990985646|-0.0128450926062|0.00333723634531|-0.0309954880004|0.00159678760455|0.0162024114226|-0.0120176765927|0.00791247805877|-0.00247458749133|-0.00868035373254|-0.00291003819669|-0.000809486746263|0.0298883986319|-0.0207211748087|0.0117849742594|0.00467753104194|0.00172757375589|-0.0642039287548|-0.0234156445587|-0.00377672485214|0.00630301359094|-0.00228355297092@0.0141579091756
YHOO,"May 20, 2016",TB|T100|TVBF|TVB,-0.00744630985145|-0.00663510209653|-0.00772577327326|-0.00962918874943|0.000760721267149|0.00556742175088|-0.0155419328336|-0.00431921214602|0.00527266481848|0.0236629779403|0.000245992927734|-0.00490622158505|-0.012961258681|0.00907979089841|-0.0119421292817|-0.0049305880422|0.0107190540267|0.00530222952544|-0.00361081686478|-0.00338829103056|-0.0254744858481|0.00391944856695|0.00278376055491|-0.0650613712236|0.0295488459134@0.0121085434054
IPXL,"July 26, 2011",TB,0.0162783699318|-0.0226646597345|0.0359696532557|0.0165681027037|-0.0106371633765|-0.0139324910989|0.0101135791524|-0.0110319778088|0.00769503927181|0.00349795106899|0.0213863298719|0.0243062594821|0.0130396217557|0.014461768886|-0.000564606175301|-0.000372278007743|-0.0174750495965|-0.00688872914794|0.00286891993873|-0.0243380646016|0.018293836863|0.0182175530681|0.0699383162113|0.0143512610853|0.00882578629126@0.0278007379881
BAC,"August 3, 2011",TB|T100,-0.0213620477852|0.0110246174168|-0.0103679113762|-0.013330518344|-0.00612643820413|-0.000340392721521|-0.00301392148283|-0.00852043605022|-0.0174170826575|-0.0263109391557|0.033001978405|0.0291715300233|-0.00679513414858|-0.00329805269398|0.00597001365475|-0.010414800906|0.0175283163476|0.0015475062425|0.0176789619987|-0.00641740048879|0.00405244219454|-0.0308527969163|-0.072722151962|-0.163341908452|0.11782910255@0.0133138772371
AAPL,"September 19, 2014",TB,-0.00513408457738|0.00680772534838|-0.00532764798737|-0.00926941631516|0.0104741287225|-0.000409114331222|-0.00272008299974|0.00613750999909|-0.044708015169|-0.00895892957315|0.00173249052107|-0.00561451427267|0.000766757053282|0.0241315294348|0.000873981527166|0.0062805177708|-0.00166316682789|-0.0176885708116|0.00353094804412|-0.00570382721808|-0.00939958186365|0.00700392930592|0.0194048993934|-0.0190950564738|-0.023885480052@0.00893262656875
BAX,"August 19, 2009",TB|T100,0.00141217271035|-0.0126909352908|0.00841235502559|-0.00426762102349|0.00997951168523|0.00983169360219|0.00146314883307|0.000547066569297|-0.00468556210273|-0.0163990360742|-0.00514975245931|-0.0129135627862|0.00249793830648|0.000513270782772|-0.00299177900962|-0.00631918947666|-0.00691865535609|0.00351332940246|0.0105765132009|-0.0108078652336|0.0135611711161|-0.00652421062097|-0.00588168826905|0.0038823160271|0.00175289018479@0.019865910275
CAJ,"November 22, 2013",TB,-0.0132010057133|0.0180646534278|-0.0147143960413|-0.00872496117904|-0.00731026588509|0.000965529784608|-0.00193653944912|-0.0130829818751|0.00786745758167|-0.00881359106847|0.00873186560738|-0.00463792207053|0.00309245746321|0.0110851145768|0.00362841902504|0.0135167317766|-0.0028011046452|-0.00163655491532|-0.00777930557222|0.00251098722364|0.00510621322929|0.00474673153555|-0.00942547123878|0.0213181965495|0.0037263707495@0.0165371511588
