Stock_Ticker,Decision_Date,Category,"MM_[-60,-30)_[-20,5)_NBS"
NOK,"September 19, 2014",TB,0.0103961678704|-0.00856831237069|-0.000575828914307|-0.0088142940421|-0.0112792789301|-9.4088377849e-05|0.0219831354593|-0.0052092188425|0.00643386316199|-0.00884195257728|-0.00857385435795|0.0225388378073|-0.0164459482708|0.00124690611008|0.00534728873318|0.000639937777277|0.0252328913981|-0.0132672832661|-0.00814498114292|0.000726830955273|0.000824446518594|0.0106577349096|-0.00342671726722|0.00010561741252|0.0149896736291@0.0175750383241
AAPL,"September 24, 2015",TB|T100|TVBF|TVB|TV100,-0.021977114345|-0.0133334468088|0.0212281600819|0.0308993335143|0.0127858941282|0.0124191024148|-0.0168894260724|0.0317984341554|-0.0159287147115|0.0124973559081|0.0171218068154|0.00817375138759|0.0234673831898|-0.00775630373794|-0.00476015947464|-0.00323526754275|0.0333329761453|0.00520407842668|0.00843456681283|0.0158619822368|0.0239746580833|-0.0122191739103|0.0301832497968|-0.0320139782322|-0.0220547534334@0.0148540005441
KMB,"June 16, 2017",TB,ERROR
JCOM,"December 15, 2016",TB|T100|TVBF|TVB|TV100,0.0024712750452|-0.00764989352357|-0.00339994282941|-0.0133888770324|0.00297390775441|-0.00289539333517|-0.00261400298737|0.00570903826855|-0.00115193892315|-0.0257495399846|0.0229087460601|0.00455590501823|0.00312408453041|0.0185037792251|-0.0260088464814|0.0172085471468|-0.00599605356003|-0.0136245973607|-0.00158537310082|0.0113813414501|-0.00190939766341|-0.0158987657735|0.010433830517|0.00729346570899|-0.0111563112721@0.0189533279777
TGT,"August 14, 2013",TB|TVA|TVB,0.0067994473414|-0.00475535719396|0.00271342474632|0.00576978335044|0.00454364525846|0.00518448266362|-0.0249338082021|-0.00151445306794|0.00502201306178|-0.00208954772194|-0.00276181582843|-0.00285589784874|-0.000589831217628|0.00588210877941|0.00342747815486|0.00320024197205|-0.00831010148618|-0.00503194297062|-0.00102661544565|0.00695567039326|-0.0130648136956|-0.00273397172505|-0.00509263909793|0.00637320736986|-0.0100488272243@0.0105892212151
RCII,"September 4, 2015",TB|T100,0.0102998727517|-0.0193037885226|0.0202238668702|0.00220917927179|0.00325738662947|0.00948040055852|0.00708116719242|-0.00667552877627|0.00684400473217|0.0153268660165|0.0175085487007|0.00683140246348|0.0164426942695|-0.0111184099564|-0.0172857368217|0.0142155517664|0.00677599903615|-5.69246291239e-05|-0.00643956092691|-0.00455977364919|0.0172109175486|0.0233530420353|0.0122240313479|-0.0253760976437|0.00631574245151@0.0138647609696
POWI,"December 12, 2008",TB|T100|TVBF|TVB|TV100,-0.00839051121498|-0.0202722798501|-0.0359076047064|-0.0099897184356|0.0208038863974|0.00945244323905|0.0302153003376|0.0314138954554|-0.0169678008455|-0.0215049018149|-0.0229163739291|0.0515799590533|-0.0587308604757|-0.0127908783695|-0.0660718945385|-0.0117809213268|-0.00641313636409|0.0486414880968|0.00514752207286|0.0283205988394|0.000806205931558|0.0208010681701|0.0137459816857|-0.019849212599|0.00293211555091@0.0389911767858
FOSL,"March 28, 2016",TB|T100|TVA|TVB|TV100,-0.0185824578509|-0.0263632998737|0.0117726637858|0.00571021461337|-0.00396478402453|-0.00189353723248|-0.0534865279757|0.0080973107399|-0.0141548759081|0.0123116691762|-0.00831121507084|0.00355296375124|-0.0210383207214|-0.0594460733962|-0.0238457489253|-0.0160176741387|0.0153661536263|-0.0152059395654|0.00196400881314|-0.00997565275445|-0.000926885101374|-0.0648183785379|0.00971610651981|-0.00456532902001|-0.0380893539901@0.0225824169482
DEPO,"May 18, 2016",TB|TVBF|TVB,0.0501081123981|0.0663456807143|-0.000956909571572|0.0254193235576|0.0135987616208|0.0182006120617|0.0908995294769|-0.00820960665572|-0.0209822112729|0.00711046522323|0.0175720568089|0.000537517084923|-0.0298729278551|0.108266840532|0.0226169233977|0.0335388686336|0.0160734369567|0.0294598352043|0.00751204943259|0.0878263692503|0.0488285728004|0.0154758222653|0.0171154321897|0.00024917601465|-0.022642899907@0.0342840272584
LLNW,"July 1, 2016",TB|T100|TVA|TVB|TV100,0.0138864735982|-0.0236313973965|-0.00964735644455|-0.0295637701186|-0.0296401403589|0.0199765375997|0.0823270852015|0.0124257487191|0.0440122742394|0.0580526088824|-0.0784731258163|-0.014500022687|0.113332987426|-0.067295912206|0.0275501758892|0.00786215257625|0.0504033305927|0.0500769635379|-0.0113331900467|-0.00964895315327|0.0302438623327|-0.0469931961594|0.0299886237292|0.00216484533132|-0.00658146665846@0.0233110367519
MSFT,"August 20, 2015",TB,0.0167827150426|0.00610037961693|-0.0050008350824|-0.0126098241432|0.0158953690633|0.0119003201477|-0.00340617806993|0.00507260273628|0.0172837680046|-0.0035515152488|-0.00367533742242|0.0044451117074|0.00415789756115|-0.00741281496938|0.00608768299294|0.00100476851135|0.00492389293422|-0.00043699015313|0.0096760447991|-0.00599535378286|0.00411326254591|-0.022873179129|0.00539320351444|-0.0176710518|0.0138543016443@0.00645489998753
MGI,"November 18, 2009",TB|T100,0.0271649040849|-0.0208519172628|0.0219366418895|0.00935381512418|0.03027106696|0.0288037893213|0.0319396373738|0.0231970975113|-0.0210986213527|-0.0200374754026|-0.0244130588624|-0.0740384156386|-0.0161180277292|-0.121526804165|0.0195624066715|-0.021906201718|0.0366227999622|-0.0417539956252|0.0204681432128|-0.0130521656003|-0.010638710449|0.0329040525552|-0.0318939497393|-0.0182424805164|-0.0026412280851@0.0248731722302
HON,"February 5, 2014",TB|T100|TVBF|TVB|TV100,-0.00119257629501|-0.00325515290936|0.00335312671125|-0.000279094934401|0.00261061549924|-0.00594309738709|-0.00251019447651|0.00836639701254|0.00409769725965|0.00363494333742|0.00223497552834|0.00153620839072|0.0126035121615|0.0256497153107|-0.00742393744488|0.00481396246427|0.00916322544031|0.0072549350419|0.00299941547286|0.00211783657461|-0.000197294061585|-0.000437699440252|0.00987757193118|-0.0016084580959|-0.0021052126469@0.00388667858212
ALG,"March 8, 2013",TB|T100|TVBF|TVB|TV100,0.00503441617925|-0.0023852759461|-0.000985028303731|-0.00907402877894|0.00341370636618|0.00707157335704|0.0152872693295|0.000864415613292|0.023035727474|0.0120684685681|0.0293614954119|-0.00283312635084|0.0292726009574|-0.0176152816592|-0.00853886431884|0.00961628356355|-0.0093674658285|0.0188781099092|0.0021899404036|0.0107113308788|0.0444579858724|-0.00914848523243|0.0240806501137|-0.000272020579713|-0.00549238226694@0.00984604299573
ADBE,"December 29, 2011",TB,0.00379662020933|-0.0138401489797|0.00428039242544|0.0179522684727|0.00207370322538|0.00182917229835|0.00162696107593|0.000314244074559|-0.00885851782145|0.000486813738293|0.00713403914405|-0.00641203901617|0.0566532231014|-0.0147861071513|-0.00391694572823|-0.00602322843252|-0.00670953063087|0.0021410509325|0.00127733734556|8.51914578901e-05|-0.00152551879877|0.00219087984702|6.36690568889e-06|-0.00905468173294|0.00333153521713@0.0148512983321
ACOR,"December 22, 2015",TB|TVBF|TVB,0.00963739275344|-0.00285322013127|0.0216482186552|-0.000206194153951|0.0156492610268|-0.0452743047921|0.00993484255675|0.0180831993614|-0.042106630756|-0.0312573491419|0.0409911418557|0.0157563136115|0.00886542190645|0.0253258805166|-0.0252644864209|0.0068295706396|-0.015147566295|0.0588351064384|0.059253215609|0.00472456866718|-0.000879536616538|-0.033691827349|0.00418514510187|-0.00847383173742|-0.0194920881492@0.0261438245688
JNPR,"March 18, 2008",TB|T100,-0.00706600852881|-0.0153028317096|0.00692243098059|0.0388397853418|0.0271880897647|-0.0166207195379|0.0618197089497|-0.0160188127306|-0.0221520211221|-0.0416857353372|0.0223605847972|0.0183631295665|-0.017402642365|-0.00303665018682|0.0360254530448|-0.00629083734887|-0.0187565686921|-0.0231992929392|-0.00696292392949|0.024790445102|-0.024971072992|0.00542583826949|0.0152584622227|-0.0392129004116|0.0291125207932@0.0308778899298
INTC,"October 31, 2016",TB|T100,-0.00377606115449|-0.00084092737868|0.00571909597367|0.00269272872433|0.00475106337977|-0.0126301149017|-0.00570367888909|-0.0042405348217|-0.0026152637143|0.0142782088356|-0.00361093045247|0.00488661980699|-0.062428937451|-0.00394601362569|-0.0116130820137|-0.00555794808798|0.00071029294321|0.00154329888605|0.00442986790783|-0.00125590271014|0.00120486303133|-0.00425278620682|0.0111853833003|-0.00441983288688|-0.0175421957293@0.00822081249407
NOK,"August 24, 2012",TB,0.0225885344138|0.0446764781926|0.123737024569|0.0183926559205|-0.020855870288|0.0175140721268|0.0612082650705|0.0553671489226|0.0166504587771|0.101242728154|-0.0457274786987|-0.0383587329843|-0.0288315978397|0.0635334250061|0.000702615952908|0.0417196450221|0.0166593721065|0.0181035788599|0.063119128969|0.134668116947|-0.0310938299684|0.0689262102464|-0.059752252503|-0.034945817254|-0.0232331530596@0.0481189060398
WMT,"February 27, 2009",TB,0.00131322354938|-0.00278639980283|-0.00370773976481|0.0363511363412|-0.0267645367508|0.0440715024331|0.0035666134252|-0.0120424734122|-0.00358089966164|-0.000815792765374|0.00205324339238|-0.0202056425386|0.0611879536008|0.0369576708451|0.0224249497676|-0.00067757947974|-0.0237636935161|-0.00507160275868|-0.0209123242851|-0.0261778321585|0.0432459794935|-0.0153002166846|-0.00125524936972|0.0264066293003|0.048835768723@0.020622617581
BAC,"August 2, 2011",TB|T100,0.020033209959|-0.00589741825101|0.0063710629015|0.000676234764146|-0.00602322609933|-0.0205354728155|0.00159744488862|-0.00837985838011|0.00558028640891|-0.00712233533833|-0.00941303379968|0.00971737512531|-0.00461959321788|0.0135502949908|-0.0068761236409|0.000924465569315|-0.0234833999602|0.0207379450706|-0.00353532509817|0.0103913573953|-0.0103079179478|0.0127673146401|-0.0376179903243|-0.061387795121|-0.113082010651@0.00965015152225
CAJ,"September 29, 2014",TB,-0.00819997693355|0.00671866868335|0.00257358176876|0.00552411425845|-0.00608653871408|-5.66749758043e-05|-0.00811491021867|0.00808540838516|-0.00106975481652|0.00148527447836|-0.00340121558|5.50225372105e-06|-0.0092462674357|-0.00274261736849|-0.00268338504733|0.0182954118013|-0.00396893357401|-0.00729976719025|0.000207303085886|-0.00349708309831|0.00366520774503|-0.00999022347255|0.00220164382443|0.000144005965926|-0.0148184170327@0.00586322267391
AMZN,"May 8, 2013",TB,0.00390135051387|0.0121484592114|0.010449496343|-0.00309794106274|0.00155747872311|-0.00569427716545|-0.0173256070194|-0.00636744040312|0.00486703623968|0.0177134340614|0.0162733933973|0.018670615909|-0.0768177149203|-0.0268941557731|0.017315234192|-0.0241030436475|0.0124590171868|0.0166021394724|0.000461051594061|0.00467427497374|-0.00190857260978|0.00942382494851|0.0101615436757|0.00214400886935|0.00521634403934@0.0137017206034
IBM,"November 7, 2012",TB,0.000472017355176|0.00244552811306|-0.00402296288638|-2.21418887652e-05|0.0119387355573|-0.00203483275336|-0.000312114486559|-0.053198913264|-0.0250333154456|0.00941711541192|0.00576840893014|-0.00398246705764|0.000903470979552|0.00199777955758|0.00894147563515|0.00593131945528|0.00210437883749|-0.00812622775104|0.000779227105779|-0.00208322411518|0.00506525376118|0.00764366233008|-0.00391860448138|-0.0017540100945|-0.00124766046578@0.00488106176501
IBM,"November 7, 2013",TB|T100,0.00103650761959|0.00503929401041|0.00138198381148|-0.0076304418875|-0.00169023908673|-0.071154489387|-0.0107086269207|-0.00590082746948|0.00658566530614|0.00887666652434|0.00927139823483|-0.00970515762002|0.00160375173077|0.0210675663289|-0.0092169152267|-0.00353951800871|-0.00470019308115|0.0051347007233|-0.0121081193947|0.00699298536841|0.0147124075429|-0.00935781530236|0.0146385179432|0.00334015648211|-0.0047059230681@0.00628527527374
KEY,"August 3, 2011",TB|T100,0.00117825961034|0.00217086742286|0.000325163201534|-0.00319073834127|-0.00244322154589|0.00829521994618|-0.0140052548816|-0.00340229221047|-0.0116664864837|0.0316591008806|0.0116209059172|-0.0234626292257|0.0103843221331|0.0026562087726|-0.0116199487385|-0.00967950865218|0.00232865744759|0.00226156205959|0.00849507705417|-0.00159396722585|0.00598258114724|0.00227207046669|-0.0312000822715|0.0019485574934|-0.0114328560945@0.00943522663852
IPGP,"December 14, 2012",TB|T100|TVBF|TVB|TV100,0.00510651937046|0.00260856290871|-0.00199879003138|-0.00593379305116|0.00961844017531|0.000147789991357|0.0188886536688|0.00866416072588|-0.0143782224377|-0.00594297439207|-0.0157516490172|0.016749387623|0.0161858338176|0.00570257546778|0.00998007032177|-0.0108176098246|0.0167840062133|-0.00946558169414|0.0117810758425|0.0118540987575|-0.00180154402353|0.0274997238767|0.00769082374668|0.0302495853879|0.00815036346088@0.0334048631462
SUPN,"May 25, 2012",TB,ERROR
BBBY,"March 24, 2011",TB,-0.00821873588807|-0.00532383415104|0.00390470378567|0.00341702521244|0.0129842899092|0.00115454934146|-0.000282388362641|-0.00125382083537|-0.0173149353922|-0.00438716667123|0.00307077483613|-0.000420097088752|-0.00080902661767|0.0308026697225|0.00025218018072|0.00748786040822|-0.0101640114828|0.00423054450725|0.00397614242286|0.0108312081947|0.0114068436848|-0.0154953907535|0.00802742005035|0.00138535764653|0.0101227306965@0.00837636676433
NVDA,"June 17, 2015",TB,-0.00219305388945|0.00319168162493|-0.0121865037596|0.00154484053673|0.0115801921293|0.0385123797124|0.0191895758178|0.0115251816739|0.00778932409477|-0.012658857531|-0.0103788633583|0.0327174658431|0.0156265930995|-0.0103765238372|0.00655135606252|-0.0336300502229|0.00710974726366|-0.0117556044727|0.00721740342509|0.00539909689386|0.00290475819271|-0.000132218254326|0.00864878287446|-0.0128211410962|-0.0221874130506@0.0138401648921
BRCD,"January 10, 2013",TB|TVBF|TVB,-0.010089679444|-0.0157997295194|0.0052755049636|0.00757664201964|-0.0122897159022|-0.0107333623905|-0.00330550083041|-0.00227956328405|-0.0116786125944|0.00583849638293|-0.0101069867523|-0.0163761183373|0.017229189567|-0.0129552072265|0.0403202544533|-0.0475486690302|0.0044193931247|0.00484960743159|-0.0227202664859|-0.00368380896357|0.0179220749138|0.016042068598|0.0062533823431|0.0174583111281|-0.00566060805546@0.0149333174456
AAPL,"January 18, 2016",TB,ERROR
COST,"November 24, 2008",TB,0.0468280884335|0.0445637644736|-0.0157571297949|-0.0250570585778|-0.0145896909088|-0.0590132376192|0.0160129133259|0.0118834042639|0.029881993772|-0.00209705578962|-0.00774809225282|0.0060900024976|-0.0258184702044|-0.022096412797|0.00149357780072|-0.00172769379836|-0.0100942551846|0.0118041831672|0.0364868135949|-0.00151158404074|0.0273192691669|0.025151581101|-0.0122764223167|0.0017249536351|-0.00637106594526@0.0159437893471
AMRI,"June 14, 2010",TB|TVBF|TVB,-0.00517884739324|-0.00431360618667|0.00253857190319|0.0340092186269|-0.0251407467676|-0.0178463784151|-0.0156488305438|-0.0313671405968|-0.0141414636274|0.0389153107022|-0.0219025594412|-0.0172008162279|-0.023240885929|-0.0123232757834|0.00644827912907|-0.000743627228537|0.00635112648309|-0.0314353645132|-0.0230373456296|0.0124534869286|-0.0277104463832|-0.0229606340552|-0.00958074447546|0.000900916705758|0.0373208811943@0.0175954614402
NVO,"September 25, 2009",TB|TVA|TVB,0.012711414283|-0.0163269845534|0.00225408495612|0.0031008765608|-0.000348871951304|-0.0136259561887|0.0222297726389|0.0212251548855|2.56437627262e-05|0.00333386782018|0.00238500397885|-0.00487017314068|0.00935348644136|0.00807998070436|-0.0177573955995|0.00238751235138|0.00993992667418|0.00720360841631|-0.0210229656847|-0.0204857572473|0.00943075633888|0.0110021360599|-0.00919162919836|-0.000390127336484|-0.0122657541983@0.0164864877804
THO,"February 29, 2008",TB,0.0189660640808|0.0134773340714|-0.0568692310968|-0.0305463539548|-0.0034793342715|-0.0080441029191|0.000370681953234|0.0230194345701|0.0085988469365|-0.0451543593133|0.0240815426169|0.00860304174946|0.00726678185283|-0.0107279542983|0.0279205552494|0.019168921197|-0.0173386189859|-0.0116310705051|0.0581009665641|0.00871245933787|-0.0124852833011|0.00611040254857|0.0100738399163|0.00924263737703|0.0313010613862@0.0217863869086
FITB,"November 22, 2010",TB,-0.0122972994903|0.0171655691081|0.0143440183149|-0.0129770385709|-0.0100378824477|-0.0120486661671|-0.00127224299704|0.0391137416834|-0.0216629694477|-0.045972833227|0.0145768777094|0.00719690602359|0.0129132943463|0.00788723597596|-0.00666804098551|0.00906412907191|0.00212589837506|-0.0170719273561|-0.0442935038843|0.0144568244718|0.00818703550367|0.00193579828858|-0.000210647881003|0.00249803890214|0.00995716650052@0.0127671062422
FB,"August 7, 2013",TB|T100,0.0121602426417|-0.0021096543404|0.00440492508753|0.00719550498136|0.00792933961839|0.0136416000396|-0.0227979832034|-0.00771274949172|0.00559894863045|0.00604043739297|0.0268250079319|0.251904127389|0.0043697215685|0.054027876098|0.0622178310702|-0.0222423882391|0.00986182546232|0.021659596567|0.0270107127333|-0.0013955835873|0.0205812206048|-0.00855246478459|0.0044311820652|-0.0113306086547|-0.0251480000371@0.0180767378347
VRX,"November 14, 2013",TB|TVBF|TVB,0.00252812246113|-0.00233444717989|-0.00559318918883|-0.00352399653559|0.0204275768419|-0.00956829975853|-0.0180527822851|-0.0204770935631|-0.00192977644218|-0.0049773090223|-0.029021446731|0.0508959376212|-0.0167428543775|-0.00671466582839|-0.0269933034895|-0.0108583810668|0.00449454976402|-0.00537752650966|0.00252215115238|-6.71094378573e-05|-0.014707756482|0.00402197730084|0.00705512780909|-0.0017138423464|0.00972613870376@0.0131812643028
MON,"February 9, 2009",TB|TVBF|TVB,0.0128543252191|-0.00395586428904|0.00751065898081|0.0185861882352|0.0357970855755|0.019628357948|0.0220183266431|-0.00349432867435|0.0353871945779|0.0064260931124|0.00852854120139|-0.00866062589395|-0.0308902133625|0.0407672681776|0.0047176682443|0.00292561424133|0.0174787929299|0.0432668808342|0.0345591641109|-0.00606464449264|0.00519980809281|0.022126694762|-0.0109845912212|0.0141011042271|0.00141782757542@0.033161121202
TMO,"July 27, 2012",TB,-0.00195895637896|0.00222009958287|-0.0104437681346|0.0227066500099|0.00208736098506|-0.0112461090268|0.00610600367658|0.00181486839058|0.012520314613|0.00148243183199|-0.0042690166419|0.000991392337645|0.00165139618548|0.0116611820455|-0.0064016300814|-0.00682051772181|-0.0156049049118|-0.00761799700124|0.0862461883216|-0.00576984394247|0.0082042566903|0.00150027523034|-0.000341623639471|0.00309463001063|-0.0141009759333@0.00832981826258
CSCO,"May 12, 2014",TB,0.00168387653806|0.00670026665286|-0.0064345885708|-0.00521517919608|0.0104208121024|0.00685552362483|0.00656890519333|-0.000214688836314|-0.0105713720221|-0.00900597526779|-0.00574069602756|-0.00108655859399|-0.00235476897802|-0.00502212241536|0.0021372613486|-0.00275282926313|-0.00231008851498|-0.00293657953153|0.00200405943411|0.00492775159456|0.00866182838951|-0.0220238127199|-0.00531747614822|0.0724886402233|0.00723328582371@0.00969239575894
SHLD,"January 3, 2017",TB|TVA|TVB,-0.056230995167|-0.0735500072118|-0.0156758475783|0.0366490256322|0.0329878720768|-0.0642256157383|-0.022770150463|-0.00315059247385|-0.0751983500286|-0.0283218159817|0.00747010656665|-0.0429662475852|-0.0040819308845|-0.0132032643985|-0.0401312277622|-0.0772515257588|-0.0631247770264|-0.00971449623542|0.0922388238994|0.0326476970521|0.0437741932689|0.0460253961212|0.0137534449106|-0.0761689701381|-0.0473235507827@0.0282959572369
T,"November 22, 2013",TB|T100,0.011307823302|0.00936775508209|0.0138874076723|-0.00114818397835|-0.00241474174108|-0.00536353516478|0.00852255617036|-0.0255231505424|0.000724200854397|-0.0132519388018|-0.00185139881661|-0.005606227479|0.00490445405913|-0.00880928128494|-0.00404770589995|0.0038242399505|0.00573889935504|0.00303454394104|-0.0050149295893|-0.00321390053972|-0.000356840705806|0.000668202071791|0.000907254805571|0.00398314649754|-0.00422465914766@0.00723087241361
IPXL,"June 23, 2014",TB|TVA|TVB,-0.00169059388737|-0.0146720862483|-0.00594181290875|-0.0150489669344|0.0135555574266|-0.00177567017213|0.0104704872403|-0.00924937578819|-0.0303085618445|-0.00206277863636|-0.0400260521397|-0.00771745606501|-0.0235870807489|-0.000263590704813|0.0129185831934|-0.0294381582272|-0.018570507233|0.00206323241669|0.0191829117321|0.0125597238741|0.0113781903028|0.000617306309029|-0.00545466011603|-0.0179079296555|-0.0223030030199@0.0236579711341
BBBY,"December 7, 2010",TB,-0.00544926637443|-0.0148583331309|0.0141731865245|0.00554222970829|-0.0101952912392|-0.0013681685065|-0.000924332480374|0.00423615201775|-0.0238621621346|-0.00714032275078|-0.00363550547662|0.000891858457886|0.0250302434222|-0.003393769447|0.00323123327613|-0.000556867728186|0.000420721626528|0.0175420373086|0.00427867146429|-0.00106649054694|0.00158056394865|0.00911346603665|0.00749396200814|0.00273337618279|0.0175253205232@0.00962725498123
INTC,"October 8, 2009",TB|TVBF|TVB,-0.0178297184328|-0.0121797364749|-0.0124347521211|0.00596322334634|-0.00785991843141|-0.0100469904105|0.00412609864456|-0.000293750868211|-0.00123680981443|0.0250238346071|-0.00906366591772|-0.00399164337599|0.00223886603182|-0.0101268872319|0.00789805135245|-0.0092772446337|0.00950523554307|-0.00291407625078|0.0110881815803|0.00632085924677|-0.00195575464544|0.00545055041104|0.010036029081|0.00589500758526|0.00160597524111@0.0131675504656
WFC,"May 20, 2016",TB|T100,0.0155637253065|0.00360553053781|0.00787225591085|-0.00128687646125|0.00740617406976|0.00066706510262|0.00496237564079|0.00609620261329|-0.00175301065099|0.00204717158458|-0.0022140007886|0.00761655852586|-0.00923852749001|0.0050406259704|0.00379344952156|0.00043277862481|-0.0088138024016|-0.00236773309401|0.0200492209313|0.00211954703208|0.00503428483056|0.00756649881491|-0.00358905833421|0.0149698811918|0.00639945639864@0.00851169159155
WMT,"July 6, 2009",TB|T100,0.00749288701828|-0.00125396385137|-0.00212761508085|-0.00742186924039|-0.0135854046155|0.0137165018433|-0.0162355828563|0.00389144278705|0.0101427171075|0.00288209288478|-0.00749489929733|0.0223755747412|-0.00336843195412|0.00399051578436|0.00971460515003|-0.0039225648317|0.00181447790527|0.000115431212072|0.00220910036961|-0.0012058528373|-0.00212779749906|0.012345906336|0.0112035837123|-0.00332440356097|-0.00588368540059@0.0172384288299
MSFT,"December 26, 2012",TB|TVBF|TVB,-0.00938132032136|9.15989018603e-05|-0.0239406702071|-0.0112723158749|-0.00379953893013|-0.00335054010602|0.01398861459|-0.00207444085499|-0.0115073221105|0.013841902323|0.00341135308072|0.000599106079087|0.000228466808227|-0.0090059572405|-0.000774761962194|0.00147107281845|-0.00530490393231|0.0098397669122|-0.0028927084906|-0.0122092256978|-0.000968189428612|0.00303833533724|-0.00750599915677|-0.0156495660954|0.00547707550265@0.00950146994567
BMY,"January 30, 2012",TB|T100,-0.00422509941541|-0.000517621082173|-0.0213840334946|-0.0169027342566|-0.0093131075839|0.000550812571263|-0.0123602492476|0.013823841742|-0.0164734588174|-0.00207624815632|-0.0102568223812|-0.0106271566509|-0.00816979461238|-0.0392494824957|-0.000873962294193|-0.009850527769|-0.00350989839577|0.00244590393416|-0.00316209067491|-0.00195410177988|-0.00519439618439|-0.00259032893351|0.00349555558699|-0.00439235125542|-0.0125852869782@0.00703260990225
BMY,"November 5, 2013",TB|TVBF|TVB,0.0133090908265|-0.0034095287886|-0.00340421025515|-0.00474636346153|-0.00646544240034|0.00124459676949|0.00401722309047|0.00804874809141|-0.00735715733005|-0.0109224844991|-0.00244127496631|-0.0105675025332|0.00239050500575|-0.0215507798179|0.0613585189201|0.0117754367094|-0.000305422313589|-0.0136473520265|-0.0119625017454|0.0122836114144|-0.0103962414255|-0.0215184476586|0.00434956545463|0.00896996515076|-3.02923743693e-05@0.00848056713891
NTRA,"July 19, 2016",TB|TVBF|TVB,0.0162246476678|-0.0156042992504|0.0360730136879|0.141576231482|-0.0635279879422|-0.0818046757309|-0.0659592235556|0.065182070087|-0.0121752095277|0.0158923617868|-0.0273881336207|0.0125679461281|-0.0114316374923|0.0430205439443|-0.00132523105482|0.0198073496222|-0.0510344939583|-0.00771021003345|0.0283159169909|0.0121551674876|0.00617898986126|0.0139955855372|-0.019679702749|-0.00373602513364|-0.0119342647432@0.0514340985521
ZBH,"December 30, 2011",TB|TVA|TVB,0.00913984966821|-0.0348455205047|0.00733807863279|0.00292666858917|-0.0173937035762|0.00164803100391|0.0214554879604|-0.000260031785608|-0.00887178841735|0.00321922356544|0.0103423488266|-0.00352715954675|0.0186330189231|0.0392445970133|0.0167878823893|0.0126500073102|-0.00743740388506|0.0107575375865|0.00705882205376|-0.00223522344567|0.00648317346376|-0.0078256520273|-0.0176711711643|0.0118638609221|0.00861957730593@0.0103585180955
SHLD,"January 9, 2015",TB|T100,-0.0700145678217|-0.0152008762033|-0.0294202042941|-0.053682987448|-0.0498229032027|0.016694578028|0.0585606002827|-0.0184590926179|0.00894963610088|-0.0492924224498|-0.0346565034335|-0.0211036490034|-0.0234482309838|-0.0342634951819|-0.00871747787363|-0.0130799645821|-0.0548393072932|-0.0332914740475|0.019689230805|0.0988072046986|-0.0491553070287|0.00139767971193|-0.0410368013471|-0.023788126874|-0.03211400265@0.0782517447206
TGT,"May 15, 2013",TB,0.00543261662299|-0.0055557947721|0.0048588112183|-0.0050271297402|0.0061899961471|0.00637205097006|0.00938321162827|-0.00610495591491|-0.00400147833559|-0.0042593289096|-0.0037264843691|-0.0241209717325|0.0140299881877|-0.00409505106882|0.00357485851156|-0.0151521433712|-0.00738168306419|-0.00128374730797|-0.00255735189294|-0.00539091045546|0.0100764330646|-0.00711398888815|0.0100836910041|-0.00369977466962|0.00449619341339@0.0117096731036
EGRX,"July 30, 2013",TB,ERROR
POWI,"January 19, 2011",TB|T100|TVBF|TVB|TV100,-0.00814809163003|-0.0198632173826|-0.0132765516729|0.003471056754|-0.0213332066511|-0.00362218040251|-0.00740885812702|-0.00591646943752|-0.0120978404825|-0.0242806427616|0.00382123049083|-0.0113136991654|0.000948351829296|-0.000287487950366|-0.0157577766435|-0.0196694094347|-0.0109615568764|0.00477867379726|0.0121935060076|-0.0131440575674|-0.00293167831756|-0.0265332555005|-0.0387684253516|0.0056231902756|-0.0160806986464@0.0154330921425
T,"October 7, 2013",TB|T100|TVA|TVB|TV100,0.00286624454254|0.00652385975009|-0.000258278258971|0.0161722994123|-0.00128304948001|0.00454288102443|0.00469521061896|0.00153182229589|0.000185802438378|-0.00832408954684|0.00347172515513|-0.000470139513499|0.000913704472374|0.00639481064886|-0.0029112526718|0.000843077626458|0.0042337725776|-0.00151174374306|-0.0023312721944|0.000266506262664|0.0146827809677|-0.00537557953506|0.019294734662|0.000106104178972|0.000183882589003@0.00703741017215
NVS,"September 14, 2015",TB|TVBF|TVB,0.00191347940302|-0.00020804861105|0.00272529407561|0.00498923179824|0.000744076836899|0.00354651035356|0.0082197784679|0.0142749597709|-0.0198409991652|-0.00640873909568|-0.00158936030013|0.0047309320818|0.000318792692711|-0.0120988449627|-0.00140869732151|0.00511126504507|-0.00970961071615|0.00970749455254|-0.00136323971222|-0.00473796011325|-0.00533244809049|-0.00274462414907|0.00830327172713|1.70201784705e-05|-0.000667218512131@0.0110010361601
SUPN,"April 4, 2017",TB|T100|TVBF|TVB|TV100,-0.0979537307744|0.0510596490741|-0.00553239314293|-0.0503984232237|0.0390021706191|0.0143209143901|0.000501983991127|-0.0183892284005|0.0230908607775|0.0358653430828|0.0169530866373|4.24586555041e-05|-0.00285938134514|0.0532271650457|0.0135584093778|0.00453318212384|-0.0123662494601|0.0207140647065|-0.00661605356285|0.0340253292219|0.00240157802763|0.00486163965423|-0.010660162769|0.0307444990816|0.00439882534819@0.0227454474848
