Stock_Ticker,Decision_Date,Category,"MM_[-60,-30)_[-20,5)_NBS"
BBT,"March 26, 2010",TJ|T100,0.00589469287112|-0.0430211019795|-0.00922902484368|-0.0208815721843|0.00772050357235|0.00642093492022|0.000410106587356|-0.00117676866245|0.0154496468898|0.0215750164688|0.00807941014216|0.00458749466729|0.013581560891|0.00783494810924|-0.00522103529138|0.00649222886266|-0.00686975275942|-0.00968392680465|-0.00228122233551|0.00779879129261|-0.00693269619649|-0.00983203874328|-0.00848595450127|0.0131034990289|-0.0127843200898@0.0183007352537
BXS,"March 26, 2010",TJ|T100,-0.144469444716|0.0164487580554|-0.0444355714014|-0.000902667554042|-0.0113925466442|0.00725342806974|0.00593832286558|-0.0085960396017|0.00466508892731|0.00513363962784|0.006301027204|0.0212855164834|-0.0011126702186|-0.00227107167413|0.00687503393614|0.0301512474007|0.00488380619251|-0.0103161805354|0.00818061944014|0.014138855987|-0.0024326116365|0.00699514050269|-0.00703161118407|0.00654396381846|0.00992343259952@0.0149851161417
GILD,"December 15, 2016",TJ|T100|TVA|TVJ|TV100,0.00303030719221|-0.00568864392561|-0.00408867032491|3.23644268977e-05|-0.00275021115623|0.0169230605008|0.00193634810967|-0.00716396204237|0.00512905695292|-0.0142650527132|-0.0109094986932|-0.000942798935828|0.00318328579405|0.00472684801239|-0.00819088150991|-0.00315156624499|0.0071351380406|0.0114115629639|0.0202206393993|0.0212309677016|-0.000209575162722|-0.0124755091546|0.00782094387611|-0.00262199508562|0.00220746955042@0.0101122144367
MASI,"October 1, 2014",TJ|T100|TVBF|TVJ|TV100,-0.00712632750073|-8.88631188841e-05|0.00825637043737|-0.00524475673958|0.00322352304711|0.00358962433183|0.00158074157051|-0.00329156827131|0.000481477203884|-0.0055654743465|-0.00632944869691|0.000576783953382|0.0107957984099|-0.000561553298652|0.00140633153906|0.0274319579855|-0.0143743540647|0.0132712143239|-0.00104490504555|0.0289551862912|0.119798014512|-0.0852512873407|0.0162021507673|0.01891716981|-0.0172635608279@0.0239221281403
INTC,"April 9, 2008",TJ|T100,-0.00917774516395|-0.00428640998701|-0.00376831653717|0.00122577705214|0.0347664958219|-0.037477105362|0.0137931317006|5.10966319285e-05|-0.0206627010248|-0.0028876496722|-0.0109655090707|-0.0175515866358|0.00204138040805|0.0172528228526|-0.0269044432254|-0.00469230321863|-0.000571118211885|-0.0135333288324|-0.00175636805416|-0.0251335311403|0.0261296975048|0.0141206713549|0.00401346680418|-0.0246370385582|0.00778268561032@0.0272894504336
AVT,"May 18, 2012",TJ|T100,0.00157336779716|0.00834936434857|-0.00201336384779|-0.015300007522|0.0272312493799|0.0024175484959|-0.0085797084935|-0.0132306244069|0.00426387778456|-0.00754013030762|0.0140626509825|-0.0125633766522|0.00612210703912|0.00661049747365|-0.00846627177814|-0.00768525966741|0.0103031904507|0.00919593842779|-0.0297091091872|-0.00703910726416|-0.00408043693194|-0.00804067429191|-0.00171013055123|-0.0101720090699|0.00251852071622@0.00819325026326
MSFT,"May 2, 2014",TJ,-0.0010110971479|-0.0106606701984|0.00846888178373|-0.00665379223722|-0.00226292827644|-0.00238032802362|0.0068672936686|-0.00681364167343|0.00924921225977|0.00172642459466|-0.011091811586|-0.00903533524133|-0.00756899724592|0.000546498608825|0.00132727170605|0.0138971988474|0.0178159802916|-0.0163809037659|-0.0070270327923|-0.0126156683673|-0.00608498745321|-0.0125132643059|-1.48816031791e-05|0.0122485767271|0.00919350296914@0.00839389941772
MSFT,"May 20, 2009",TJ|T100|TVA|TVJ|TV100,-6.29582591708e-06|-0.00525064220372|0.0855430238312|-0.0210569130294|-0.0160407994572|-0.00197385849319|-0.00198693896415|-0.00654987654185|-0.0281412170902|-0.014800192018|-0.0129970099327|-0.0123998208266|-0.00897055653749|0.0151434913097|0.02566068561|0.015193458738|0.0110355621379|0.019473519964|-0.00516656179936|-0.00872020925954|0.00684700911504|-0.00687571057725|-0.00328628428113|0.0097470411298|0.00770164044486@0.0235499802462
BWA,"February 27, 2015",TJ|T100,0.014067950487|0.00662320239744|0.00272563547295|0.00338060272028|0.0159412154735|0.00352893726037|0.00566287082299|-0.0196074090117|0.00902544827161|0.00654001051677|0.0451822113932|-0.0216406735793|0.00614608682841|0.00504933321628|0.0104711602078|0.0071757435553|0.00531645558691|-0.0113066555905|0.018609646196|0.00616716621236|0.00361487291236|0.0223737224737|0.00443853127859|-0.00119650859651|0.00210533215942@0.012077695359
NOK,"November 21, 2013",TJ|TVJB,-0.0428252130824|-0.0512266658115|-0.0493434607421|0.0683114630128|0.0197387484888|-0.00465090610239|-0.0258557730494|-0.00519729302659|-0.0146833040015|-0.00171198217119|-0.0234611543688|-0.035937027411|-0.00598598946709|-0.010915313625|-0.00918363812814|-0.0363011672196|-0.0121238866533|0.00382861345577|-0.0420028681761|0.0141881386361|-0.0344381519455|-0.0111474212284|-0.00917055193101|-0.0349668103771|-0.0102615242738@0.0547295336251
