Stock_Ticker,Decision_Date,Last_Filing_Days,Category,"SM_[-60,-30)_[-20,5)_NBS"
HPQ,"September 14, 2015",33,A1,0.00882818428207|-0.00486002519789|-0.0042678828001|-0.0168440173574|-0.000347693398751|0.023574897199|-0.00589753976475|-0.0262715384627|0.0337881620832|0.0130355581765|0.0103708554974|0.00748696219208|0.0100983023502|-0.00209336807943|0.00602474150497|-0.0246121247203|0.00966001689557|-0.0025704895139|0.00127590188571|-0.00738834444117|-0.000143816755721|-0.00268458000218|0.0458368485024|-0.0290413917032|-0.0268970640006@0.00841983211031
NATI,"August 11, 2014",6,A1,-0.00536180105974|-0.00490192020898|-0.0130064251759|-0.00770229013825|0.00550917859524|-0.00209676041508|0.00512248220757|-0.00520863000839|-0.00309094790467|-0.0212198715909|-0.00714639697743|0.00966686055616|0.0117015047998|-0.00875725704305|-0.00236080609848|0.00282529678476|-0.00707313818289|0.00762200483464|0.00336122960995|0.00061444558411|-0.00608329846265|-0.00618398840503|-0.00592580872767|-0.00943930800278|-0.00687422805382@0.00839759885405
AMZN,"November 26, 2014",20,A1,-0.00212324728181|0.0104525819899|0.0091696108373|0.00134286702952|-0.0044426583981|-0.0271202940195|-0.00307514208574|0.0108401018891|0.0148586108245|0.0223544909919|0.0007574599743|0.0156510729936|0.0360424516257|-0.0142699139228|0.00029391051365|0.00791251215177|0.011277330916|0.00127899990417|0.00690203957839|0.000164084177233|-0.00621959640396|0.0186472200719|-0.0288907199361|-0.00534768057207|-0.0338438852331@0.0102947975356
MMM,"February 10, 2016",217,A1,-0.000906222889369|0.00221579001883|0.00855787137939|-0.00254256445903|-0.0016303206337|-0.00075983089427|0.00363955762866|0.00110331952961|-0.00295642230735|0.043808488204|0.0136820217191|0.0101525378608|0.0106673112454|-0.0135309980661|0.0072076201042|0.028527982107|0.00639752175313|0.0138715681875|0.0128433965811|0.00679404735537|-0.00577357547798|-0.00199282899797|0.00994554346155|0.000835477340728|-0.00198474159435@0.0140728199355
TWTR,"May 17, 2016",1|13|418,A1,-0.0206990753784|0.0308413304179|0.0114184274578|-0.0129150320788|-0.00434241484912|0.0405708239542|-0.17523616916|-0.00847908493757|0.0037566843232|-0.0147632190594|-0.0211535981441|0.0627425716726|-0.0464598340395|0.021546572031|-0.0110739523235|0.0286576037608|0.00379841776375|-0.0324789435912|0.0077265988816|0.0131108710265|0.0100215662363|-0.0109439377367|0.00514221095552|0.0205678609576|0.00230133078346@0.030617905182
MSFT,"November 6, 2014",29,A1,-0.00310677675343|-0.0315146552143|0.00506728116926|-0.00134093622976|-0.00712129465552|-0.01209505955|0.00791948147304|-0.000489074718916|-0.00205718193534|-0.00626913465144|0.00179908304518|0.0154714107784|-0.00522473620088|0.000177897645475|0.00247667445143|-0.0199963270694|0.00701152562842|0.00814475713519|0.00425273745759|-0.00152910277703|0.011940652664|-0.00301196014538|-0.000357782900765|-0.0030528176129|-0.00256518107859@0.00739053320087
YHOO,"July 22, 2013",14,A1,-0.0113943013956|-0.0276959885261|0.0221147410529|-0.00146654129175|-0.00176980584035|-0.00801006505067|-0.00447961437852|-0.00908296286614|0.0226399425136|-0.0123511933954|-0.0144844970551|0.0333056443716|-0.0054923505322|-0.0019661459006|0.00593936894997|-0.00190376587517|-0.0120451404692|0.0942747514593|-0.00830216031802|-0.0217280761931|-0.0471492520231|-0.0155221367474|0.0221981266565|0.0113771521034|-0.00766734306747@0.0139323627748
YHOO,"May 17, 2016",1|435,A1,-0.0130979359041|0.0362496298932|0.000869805759486|-0.00805183088928|-0.00701270303163|-0.00852757941267|-0.0105065229382|0.00136044850323|0.00567753243282|-0.0171940551995|-0.00376916530277|0.0054066298609|0.0230832329452|-0.000842341050051|-0.00562094214697|-0.0152003340627|0.00971675088241|-0.0125860658029|-0.00437908502451|0.00881578321864|0.00593637451728|-0.00425506342652|-0.00353497536529|-0.0269124852119|0.00349416371042@0.012107381437
XRX,"February 13, 2017",195,A1,0.0169688982633|-0.00798353955546|0.0142628293115|-0.00202935370407|-0.000631536234482|0.000693045048445|0.00288403142907|0.00122413336875|6.62217287789e-05|0.00938233146808|0.00854764601338|0.00160827300091|0.0238315842544|0.0175167603486|-0.00779190357179|-0.00444114904062|0.00431048380555|0.0427836071232|-0.0173774083991|0.00449315659172|-0.00852724009717|0.0287848721092|-0.00406917294462|-0.00388309145195|0.0076127596295@0.0108996563524
F,"April 21, 2017",25|305,A1,-0.00496977433467|-0.00121624970117|-0.0103605809156|0.0081704572368|0.00328574649127|-0.00248002994687|0.00192867379251|-0.0128111480067|-0.00500076701555|-0.00344214798598|-0.00106319422847|-6.08347992255e-05|0.00297609986309|0.00640048148102|0.00384958035115|0.000571756181365|0.00467821502988|0.00719414217773|0.00914024027263|0.0152238467022|-0.0048133465598|-0.0056145776532|-0.00184675722914|0.0133372011973|-0.0104199056529@0.00898481826103
TXN,"April 25, 2016",45,A1,-0.00491361231543|0.0041807738963|0.010582017567|-0.0147398090086|0.000297509444252|-0.00121827308258|0.0100688530137|-0.00210710847656|-0.00845575904648|0.00876243185864|0.000369348191072|-0.000847109684763|2.14487962956e-05|-0.00027775271471|-0.00473100499934|-0.00861867234902|-0.0136481669112|0.00858463176257|0.00178538107592|-0.00413123021472|0.00665170807522|0.0036764608727|0.00533090293569|-0.00517455142692|-0.0234853782289@0.0106836747575
PRSS,"November 10, 2016",6,A1,0.00558389085012|-0.00441067400549|-0.0109056872531|0.0249060718522|-0.00120097200543|-0.0239582621312|0.00218088436879|-0.0045614934499|-0.000992471465136|-0.00768365252325|0.025301081378|-0.00752088492025|-0.00766774886202|0.0154567158455|-0.0172132035654|-0.010867260021|-0.0043983298487|0.00146342018878|-0.00126436127365|0.0150008464467|-0.0143531291536|-0.0347020070889|-0.0218979038634|-0.0225801284753|0.00607386910404@0.0192457467219
RTEC,"February 3, 2016",2,A1,-0.041973971131|0.0412062390859|-0.00968308643013|-0.0406839186763|0.00356795085081|-0.0120533233094|-0.030567205227|0.0752097493659|0.00397387554604|-0.0169799088497|0.0331154632626|-0.0154727986936|0.00756137432246|-0.00769160106817|0.00738007922886|-0.0201578583553|0.0120850037225|0.0167623431585|0.0315310125679|-0.0665509564122|0.0245157759647|-0.0224829490568|-0.0405003476096|0.014418372671|-0.0318814796159@0.0129421387688
NVS,"May 21, 2015",45|192,A1,0.0157905002125|-0.0152468263693|2.24127900464e-05|-0.00417998921704|-0.00817983137608|0.000934578040867|0.0021061915591|-0.00168594168105|-0.00226467271831|-0.00176817763129|-0.0060514820756|-0.00234940243106|-0.000607932766426|0.0020830717806|0.00137729005983|-0.000641833347585|-0.0036908232969|-0.00150198124962|-0.00318160282461|-0.00315774209472|0.00811648736852|-0.00740269478179|-0.00889369332876|0.00522971091225|0.00713809807204@0.00713714424968
GE,"December 17, 2015",7,A1,-0.0145160669964|-0.00925298456597|0.0063359970955|-0.00297007539627|-0.00140189161808|-0.0117303128816|-0.00345491817994|-0.0109743532812|-0.00588496185001|0.00367224565395|0.0169682665076|-0.0102068487314|0.00132883671858|0.00013158361767|0.0165979734333|0.000704831425837|0.0087712697055|-0.00815964029216|-0.0127078704367|0.00191222649081|0.00995786871308|0.0107717759168|-0.00804173286672|-0.0100291129901|-0.00196673312899@0.0105802060906
YHOO,"February 26, 2014",50,A1,0.0337729362375|-0.0864378757948|-1.72124818796e-05|0.0212280101359|-0.0157448837421|0.0125074964667|-0.00700256843721|0.00681494351868|0.013499939793|0.00935575053271|0.00714357138149|-0.013852515103|0.00317985692915|-0.0153710036547|-0.00215964138628|-0.0109043790529|-0.00865733466418|-0.0156372784441|-0.00435686323792|-0.00723375243381|0.00630879310685|0.0147520717938|-0.000165990420324|-0.00834553443051|0.0206365987684@0.0136375535586
PFE,"July 1, 2014",117,A1,-0.000401937818286|0.00299383851774|0.00121748101768|-0.0127196068108|-0.00015771036732|0.008170968065|0.00400072507652|0.0103937147001|0.0030752063624|0.00511381422505|-0.00379013122179|0.00420065332743|-0.00191225588971|0.00769912716394|-0.00769340278246|0.00362852688564|0.0159330019516|-0.00324460363219|0.00407732137291|0.00397505809458|0.010407568926|0.0118275052048|0.00390130771391|0.00506968993881|-0.00210256944893@0.0125021486283
AMZN,"November 9, 2015",5,A1,0.0148005090028|0.00324112384877|-0.00391053953087|0.00815979543871|0.00554718398995|0.000526272685503|-0.0228908520046|-0.00369845873816|-0.0111648200815|0.0426463541|0.0162178078171|0.0035736959189|-0.00840683088517|0.0129913387841|0.00183421223457|-0.0150293377696|-0.0117615568447|0.0258384968942|0.0210450213342|0.00338227479595|0.00382755937695|0.000261569570452|0.0227191780124|0.00465239552312|-0.0232270913141@0.0110061623497
SYMC,"November 13, 2013",7,A1,-0.00174657249187|-0.00429052531746|0.00913195869287|0.00343800450219|-0.00988139252189|-0.017096649937|-0.135960351353|0.0238241792534|0.00186341127886|0.00246397810807|0.0308381280371|0.00895940340359|0.00120394066821|0.00598215601561|-0.00482379653582|0.0182200492954|-5.33914106731e-05|0.00619561221974|0.00471697623165|-0.00257474343833|0.00141747527332|0.0123831964343|0.00300510249712|0.00850031159174|0.000646940825582@0.0102974638647
CSCO,"May 31, 2016",210,A1,-0.0142467115746|-0.00716324627882|-0.00817969710226|-0.00813051240082|0.00777217673613|-0.00146638532426|0.00381822954158|0.000211467276871|-0.00114478942429|0.00639704484415|0.00412306930733|0.00053185923935|0.00259954306431|0.0361540449494|0.00662465919627|0.00104278495545|0.00251022445589|0.00730489968676|-0.000707385229767|-0.00449497533593|0.00729983671469|-0.00746642296792|0.00263825024219|0.00593680973255|-0.0072318563818@0.00671777460948
ILMN,"July 26, 2016",83,A1,0.00088212191681|-0.030655855251|-0.00686094054096|-0.000653203491356|-0.00140078231031|-0.00488279655375|0.00555127532386|-0.00507607743998|-0.014152094333|-0.0174545465082|0.0533347932592|-0.0218194228568|0.000335849605149|0.0111909319775|0.001011129571|-0.00526031260085|0.019032209242|-0.00363094152123|-0.011041190337|0.00242492802417|-0.00506592215642|0.078610205368|0.0228794361876|-0.00359553963662|0.0259512424655@0.0108369154139
NK,"May 3, 2017",83,A1,-0.0136719816812|-0.0178736120967|0.0297429429164|-0.0132914616542|-0.0131378264997|0.0545974041482|0.100925483472|0.0883623205854|-0.0320727465562|0.00783940033366|0.0226307503211|-0.00452604881612|0.0206407803382|-0.0678033691678|0.0526912923312|0.0681581582281|-0.0367087250347|-0.0459412616423|-0.0293089606141|0.0172554484264|-0.0182493132612|0.00625801088927|0.012709602164|-0.0146696910839|0.111820370699@0.0345429168529
CNXN,"June 30, 2015",110,A1,-0.00915132123561|0.014580479153|-0.0120387018184|0.0137980111937|-0.00646908846617|-0.0079758848168|-0.00200888948908|0.00321721798049|0.000905629004981|-0.00855099182004|0.0328879795386|-0.0135041925083|0.0160313393965|0.0577814761753|-0.0461092510972|-0.00148615484417|-0.00162565049868|0.00366882973178|-0.0210332796698|0.0390489271221|-0.00558986733828|-0.0044197129478|-0.0200523812417|0.00420699075942|-0.0139260620529@0.0153760386224
SBH,"April 25, 2016",334|21,A1,0.000660461127218|0.00500456803199|0.00178001042665|-0.0136728733442|0.0013518286134|-0.00552722620421|-0.00568543992102|-0.0123653070533|-0.0277236989844|-0.0119751333249|-0.00720231141389|-0.0109228939266|0.0104942825001|-0.0324393726957|-0.00503109143154|-0.00670236898768|6.44403878082e-05|-0.0236501354572|0.00533990100684|-0.00270543078323|0.00876809073323|0.00874209009506|0.00697093486655|-0.010660337999|0.0102763771575@0.025592918706
JAKK,"June 11, 2014",6,A1,-0.0232451488751|-0.0446408236289|-0.0246267032085|-0.0153117641568|-0.0165866495649|-0.0310398704573|0.0338137994829|0.0182727982262|0.0167735598138|-0.0179510016314|-0.00400499292907|-0.0123263307413|0.0298136932114|-0.0359039123022|-0.114393719175|-0.0266733900907|-0.0398574307854|0.0204551010091|0.0408886405202|-0.0150109335372|-0.0326019038736|-0.0139057169427|-0.0254619211327|0.00873977219232|0.0204711541984@0.0317005233265
CBS,"September 30, 2016",179,A1,0.0235934614621|0.000961893635149|-0.00937620265085|0.0243505729153|0.0213559055842|0.011802221701|-0.0004485587423|0.00756328992576|0.0103782437603|-0.00850749511623|0.00105195285787|-0.0100157255097|-0.01797728303|-0.0100302775189|-0.00528913655408|0.0287024984497|0.0202241933316|0.0128790953989|0.0364017255379|0.0250271570279|-0.00377990129006|0.0110327745094|0.0227301132934|0.0129919867082|-0.000503359885105@0.0125881423953
XLNX,"April 12, 2017",5,A1,0.00354759657137|-0.00206696927554|0.00274176526362|0.00567578224634|-0.0123961034645|0.00185234601764|-0.0022370941595|-0.00219695795766|-0.00573128090646|-0.00926453428327|0.00084891961341|-0.00430972558881|0.0028947249428|-0.0101124448198|-0.00063898465804|-0.00517355070169|-0.00706946532314|0.00410597318099|-0.00844239755351|0.00123104253313|-0.0110386188586|0.0167001800915|-0.00249826850358|0.0135940266142|0.00655093141577@0.0122856630454
PHG,"May 10, 2013",46,A1,-0.0171450251981|0.0220908807939|-0.00603700415061|-0.0171813839068|0.0115818238216|-0.0165184780956|-0.0560058952136|-0.0046301384898|0.0175279670874|0.00153792302978|0.00473453089534|-0.00467445602548|-0.00797195057332|0.00883332571496|0.00194711943309|0.00387327502375|-0.00137007476473|-0.0251204898022|0.00976023247907|0.00351189238112|0.0319856155098|0.00296692242262|0.00863598040828|0.00327161167982|0.0103769186669@0.0117687924926
MMM,"July 8, 2015",75,A1,0.00414098150235|0.00228487894084|0.00333943180723|-0.0020437456546|-0.00790431728301|-0.00011479409091|0.00277968415217|0.00773642041448|0.00187420118449|0.00083364847776|0.00177947458124|-0.00549313243231|-0.00569976358091|0.00917753798066|0.0031059307905|0.00162662590334|0.00200777528586|0.000711605671749|0.00250349885355|-0.00268582338871|0.00124787584525|0.00643438384038|-0.00358576924754|-1.9164849846e-05|-0.000965510482842@0.00766646835168
MSI,"March 6, 2015",2,A1,-0.00956621988313|0.0125958608062|0.0511804541782|-0.00458719968767|0.00409717372555|0.010610318387|-0.00584149057217|-0.00373203300284|-0.0101811570925|-0.00102610297612|0.00508846681215|-0.0176305198394|-0.00473958442513|-0.00705677567037|0.00733950800513|-0.00479073783267|0.0071404401893|-0.00726439674693|-0.00357058314354|0.00274358809131|-0.00272048918736|-0.00833208826443|-0.00285246880202|0.00682177203518|-0.0184721006821@0.00638281467428
TXN,"January 14, 2014",4,A1,-0.0113452383486|0.00280344057685|0.00556205275411|0.00181801413153|-0.0143284857066|0.00397156125606|0.00750454268197|-0.000433774481707|-0.000677168750452|0.00158335773324|0.00509013212011|-0.00384729108417|-0.0112017643912|0.00423622082231|-0.00632085529007|-0.0105687397153|0.0132544928087|-0.006144487485|-0.00131072651515|-0.00995529019972|0.0167351888307|5.34887022149e-06|-0.00316427249915|0.00494309033184|0.00651852106254@0.00822899214426
AVX,"February 9, 2017",3,A1,0.00297500113863|-0.00784091187622|0.00630561589195|-0.0278190034654|-0.00222351245939|-0.012454554781|-0.0029536622348|-0.00102669978668|0.0256028773048|0.00547216116766|-0.0128102407473|-0.000326852625921|-0.0115227447179|0.00326162390576|-0.00564702614029|-0.0120211970885|0.0114945286291|-0.00760401202265|-0.0116904476273|-0.0124229651585|0.0145827775496|-0.00621460946819|-0.00635735815002|-0.00624507663496|0.00486950040324@0.0105527726111
ORCL,"June 6, 2017",91|260|385,A1,ERROR
AAPL,"November 5, 2015",2,A1,-0.0257094367481|0.019825994117|-0.00889256899072|0.00634916491424|-0.0114424420876|-0.0068786207622|-0.0159989636642|0.00250317424893|0.0165699711369|0.00443878498392|-0.00841325701624|0.0140922793097|-0.0325093308438|-0.00707462145149|0.0234458820169|0.00812261063035|-0.00638562026373|-0.0035236735734|0.00477241962543|-0.00403275052905|-0.00648747948053|-0.00129172018394|0.0043292542238|-0.0379339213983|-0.00393608039386@0.0123011589361
AAPL,"May 26, 2016",175,A1,-0.0229754338993|-0.00745744717175|-0.0112337225792|0.0239777400826|-0.00615937244229|-0.00555007820633|-0.011193703926|-0.00182106170173|-0.00815257904451|-0.00141924019968|-0.0257391099376|0.00966789466611|0.024246622063|0.00418363844959|0.00937498590055|-0.0017905570173|0.0023374969349|0.0123951137681|-0.000348360076741|0.00848839425719|0.0059006058608|-0.00688169326775|-0.00454768844115|-0.0180015618809|-0.0124889175694@0.00776454842339
HPQ,"December 28, 2016",23,A1,0.00198556225138|0.0182949062618|-0.0190517719509|0.00285242796614|0.0211474178363|-0.000711612443667|0.0203901322278|-0.00254944247687|-0.0307238138674|0.0122378346289|-0.00822176137516|-0.00524738960151|-0.0113432486058|-0.0286463300552|0.00175664647327|-0.00729365839014|0.00630289437851|0.00122022683592|-0.00478089909922|0.00405611897976|-0.00978415625404|-0.000363147805155|-0.00346378975007|-0.00793492972256|0.00853667336132@0.0156155567654
GE,"July 8, 2015",75,A1,0.00469969990722|0.0040633553564|-0.00525176454911|0.00218889447612|-0.00235199969205|-0.00204962885365|0.00203270313639|0.00635466740261|-0.000414085313305|0.00439289152722|0.00554849260975|-0.0042917308247|-0.00471699110511|0.00328084503185|-0.000947563139403|-0.00275882418387|-0.000778021688332|0.00642079207522|-0.0144533634478|0.00307665597005|-0.0092761009529|0.00507514961014|0.00230362361786|0.00137703205552|0.00549368754699@0.00869470270006
F,"March 27, 2017",14,A1,0.0123810433547|-0.00281313098107|-0.0197075573042|0.0138289096103|-0.00129027171045|-0.00214917727134|0.00339808643432|0.0110809457612|-0.004430526545|-0.00499757849962|0.00059731954329|0.0110243819114|-0.0117592968297|0.00968945689615|-0.0122375018371|-0.0125051308131|-0.0146039226051|-0.000379322877117|-0.00495372211591|-0.00153459764382|-0.0103846731525|3.01457324009e-05|0.00133864140953|-0.00662822103875|0.00318276996615@0.0136206553869
DEPO,"February 21, 2017",75,A1,0.0512293384978|-0.0478562138497|-0.0197785700275|0.00950180505147|-0.00142833139783|0.0121814382327|0.0229900573158|-0.00932406725601|0.00535111296764|-0.00881150237858|-0.000101392238552|-0.0517763991334|0.000999032214309|-0.024201080498|-0.0330159850617|0.00893148117305|-0.0295398556638|-0.0105353797611|0.0120270972266|-0.0250662688824|-0.0606626754269|0.095903462143|-0.0238222927569|-0.0319734623677|0.0135960237628@0.033097386315
