Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootstrap(CAR>%)
ITGR,"February 9, 2017",0.019510625184209998,0.20367813555167655,0.59479
FDX,"May 9, 2017",-0.0038603093070299997,-0.2006429864673191,0.40222
ODP,"June 30, 2015",0.0023121577447159994,0.04226656835907501,0.62381
ADSK,"April 12, 2016",-0.00019985035080999618,-0.004163629630859962,0.52713
EA,"December 7, 2016",-0.001765297953764,-0.050143441893738226,0.55297
MMM,"January 13, 2016",0.005148073203003,0.3193254343576414,0.64709
DD,"August 19, 2016",0.03056765927747,0.9830607609068,0.86395
AAPL,"August 1, 2016",0.03385905000911,1.151920497203989,0.89927
INTC,"January 14, 2014",0.04865013932207,1.8892189021462957,0.98317
ALG,"May 26, 2016",0.041069502959862,0.9325880349183483,0.85449
HPQ,"July 9, 2015",-0.006535859029282,-0.2023233516713125,0.35081
LLY,"July 8, 2015",0.021126086251246,1.0048536359715758,0.84492
CSCO,"August 8, 2014",-0.0017092546298249998,-0.07771860683222694,0.52092
ATHX,"May 7, 2015",0.08944197382079999,0.9724789568644683,0.83694
SUPN,"December 12, 2016",-0.00138028132103,-0.027745255835645043,0.47299
HPQ,"September 14, 2015",0.026095205154991995,0.8481763154758934,0.84528
NATI,"August 11, 2014",0.0006231492151259994,0.02498049399206403,0.47804
AMZN,"November 26, 2014",-0.007779123170842998,-0.2009100326810028,0.34673
MMM,"February 10, 2016",0.01649612503779,0.7587298904531727,0.82319
MSFT,"November 6, 2014",0.016752828515824002,0.8866724498642922,0.82021
YHOO,"July 22, 2013",-0.07380865709585,-2.4903937338510502,0.00526
XRX,"February 13, 2017",-0.00878206758001,-0.36289182150589705,0.35909
F,"April 21, 2017",0.008725465925029997,0.33680077301235856,0.66543
TXN,"April 25, 2016",0.012512092061230001,0.39948426980506435,0.73253
PRSS,"November 10, 2016",-0.046927598629619996,-0.9031806638720888,0.1734
NVS,"May 21, 2015",-0.02103204991992,-0.8743668753256439,0.17414
GE,"December 17, 2015",0.00851726656323,0.488880245774135,0.71584
YHOO,"February 26, 2014",0.007608300407751001,0.24383384600475697,0.61384
PFE,"July 1, 2014",0.02285540571793,1.0718496350725244,0.86947
AMZN,"November 9, 2015",0.0473950317267772,1.1755762223333126,0.91596
SYMC,"November 13, 2013",0.006718422961851,0.2492538485245891,0.67422
CSCO,"May 31, 2016",-0.000886908177608,-0.030118502602541466,0.53038
ILMN,"July 26, 2016",0.10422756772453999,1.4782617720330904,0.98609
NK,"May 3, 2017",-0.046371316383510004,-0.5862616204032876,0.26856
CNXN,"June 30, 2015",-0.02985786657944,-0.8625740107122917,0.19189
SBH,"April 25, 2016",0.038944023186247,0.8109829216219488,0.84881
JAKK,"June 11, 2014",-0.01777379872487,-0.2548519123520127,0.41435
CBS,"September 30, 2016",0.07258164027245001,2.8926355920034137,0.99882
XLNX,"April 12, 2017",-0.007535019777263001,-0.2965811104085942,0.37757
PHG,"May 10, 2013",0.045187078771809996,1.5843032428247568,0.93557
MMM,"July 8, 2015",-0.002744049961868001,-0.20158596905955853,0.39465
TXN,"January 14, 2014",0.00046695020464999947,0.02604307380303139,0.51639
AVX,"February 9, 2017",-0.02637767931913,-1.5351045379997728,0.04805
