Event_Window,Mean_CAR,Var(MCAR),z-stat,p-value
"[-5,0)",-0.0014915622197983914,5.705403128870648e-06,-0.6244507714679758,0.53233159068940639
"[-2,0)",-0.0020524295757982916,2.28216125154826e-06,-1.3586109189677058,0.17426991333523978
"[-2,3)",-0.0024032830538947675,5.705403128870648e-06,-1.006147740362684,0.31434450663969082
"[0,2)",0.0024843091067602956,2.28216125154826e-06,1.644494660540379,0.10007406632374743
"[0,5)",0.002625814108936289,5.705403128870648e-06,1.09931159712425,0.27163217559185393
