Stock_Ticker,Decision_Date,Last_Filing_Days,Category
XRX,"February 13, 2017",195,A1
AAPL,"July 11, 2016",287,A1
PLT,"July 31, 2013",120,A1
TGT,"March 19, 2013",13,A1
AAPL,"July 17, 2014",6,A1
WILN,"January 8, 2016",599|157,A1
GWRE,"September 5, 2013",70,A1
AMZN,"January 10, 2014",66,A1
EA,"March 17, 2015",231|14,A1
PANW,"May 4, 2017",2,A1
TWTR,"February 26, 2014",50,A1
EA,"April 6, 2017",3,A1
LH,"July 26, 2016",83,A1
NUVA,"May 31, 2017",23,A1
SQ,"April 14, 2016",195|6,A1
CTXS,"April 7, 2017",2,A1
FUN,"April 17, 2015",7,A1
YHOO,"February 26, 2014",50,A1
EBAY,"January 18, 2017",371|5,A1
COF,"May 17, 2016",1|435,A1
BKS,"May 13, 2013",5,A1
ODP,"March 19, 2013",13,A1
IBM,"May 26, 2017",18,A1
BKS,"December 30, 2014",81,A1
TWX,"February 1, 2016",27,A1
TWTR,"May 12, 2017",37,A1
AAPL,"November 9, 2015",5,A1
HSNI,"January 6, 2017",242,A1
ADBE,"April 7, 2017",2,A1
NTAP,"October 9, 2015",2,A1
BIG,"January 17, 2014",7,A1
AMZN,"May 23, 2017",29,A1
AXP,"February 12, 2013",6,A1
BKS,"December 17, 2015",6,A1
SYMC,"August 30, 2016",29,A1
INTC,"March 9, 2015",5,A1
F,"February 8, 2016",4,A1
NVDA,"February 8, 2013",4,A1
F,"March 27, 2017",14,A1
GRPN,"February 26, 2014",50,A1
MYGN,"December 17, 2014",35,A1
SYMC,"November 13, 2013",7,A1
WTW,"November 9, 2015",5,A1
AVID,"January 29, 2016",49,A1
SFLY,"May 17, 2016",1|435,A1
KODK,"December 21, 2016",5,A1
NVDA,"January 14, 2014",4,A1
NTGR,"December 28, 2016",23,A1
AAPL,"April 25, 2016",21,A1
MSFT,"December 7, 2016",33,A1
AKAM,"November 16, 2015",39|95,A1
SBH,"April 25, 2016",334|21,A1
JAKK,"June 11, 2014",6,A1
CBS,"September 30, 2016",179,A1
XLNX,"April 12, 2017",5,A1
V,"August 13, 2014",5,A1
COST,"March 19, 2013",13,A1
AAPL,"November 8, 2016",4,A1
RF,"September 25, 2014",49,A1
SEAC,"October 10, 2013",65,A1
MSI,"March 6, 2015",2,A1
CTXS,"July 15, 2015",5,A1
NOK,"July 18, 2013",6,A1
HPQ,"May 26, 2016",175|583,A1
TEX,"December 3, 2014",2,A1
SNA,"October 14, 2014",33,A1
TWTR,"August 30, 2013",51,A1
TXN,"January 14, 2014",4,A1
RCII,"April 25, 2016",334|21,A1
INTC,"April 25, 2016",21,A1
IBM,"April 7, 2017",2,A1
MDRX,"April 12, 2017",5,A1
BKS,"April 25, 2016",334|21,A1
NUVA,"November 9, 2016",63|36,A1
AAPL,"August 23, 2013",150,A1
CSCO,"March 6, 2015",2,A1
AVX,"February 9, 2017",3,A1
AAPL,"May 9, 2017",4,A1
ORCL,"June 6, 2017",91|260|385,A1
ADBE,"February 9, 2016",61,A1
BBBY,"December 16, 2015",181,A1
NVO,"June 18, 2013",131,A1
AAPL,"May 26, 2016",175,A1
HPQ,"December 28, 2016",23,A1
FB,"November 13, 2015",11,A1
MU,"March 12, 2015",8,A1
ENR,"January 12, 2015",4,A1
WDC,"January 10, 2014",66,A1
AMTD,"October 11, 2016",7,A1
BAX,"May 9, 2016",5,A1
CTXS,"March 19, 2013",6,A1
TMUS,"September 23, 2016",378|16,A1
HPQ,"February 9, 2016",6,A1
PRKR,"July 31, 2015",373|78,A1
HPQ,"July 18, 2013",6,A1
BDC,"November 5, 2015",57|38,A1
MMM,"August 6, 2013",-37,A1
T,"March 19, 2015",106,A1
FB,"September 9, 2016",128|471,A1
LMT,"August 6, 2014",1,A1
AAPL,"April 14, 2017",63,A1
AMZN,"March 19, 2013",13,A1
MSFT,"October 3, 2013",17,A1
BAC,"January 27, 2014",54,A1
DAL,"June 24, 2014",14,A1
KYO,"February 9, 2015",3,A1
AAPL,"November 5, 2015",2,A1
INTC,"August 22, 2014",42,A1
TXN,"January 8, 2015",10,A1
WILN,"January 17, 2017",561|148,A1
AMZN,"November 9, 2015",5,A1
XRX,"July 11, 2014",10,A1
USB,"August 7, 2015",2,A1
BDSI,"August 10, 2016",7,A1
COF,"September 4, 2015",122,A1
FLIR,"January 10, 2017",1|396,A1
MSFT,"January 18, 2017",5,A1
CELG,"July 14, 2016",6,A1
NUVA,"December 7, 2016",64,A1
MSFT,"July 11, 2016",3,A1
MSFT,"February 17, 2016",42,A1
CSCO,"August 22, 2014",42,A1
ALGN,"July 18, 2014",99,A1
SNPS,"April 24, 2017",19|354,A1
NTAP,"June 6, 2017",91|385,A1
HPE,"March 14, 2017",4,A1
NFLX,"February 26, 2014",50,A1
WILN,"August 1, 2014",22,A1
HON,"February 12, 2014",156,A1
TIME,"December 16, 2015",181,A1
BMY,"April 8, 2016",123|457,A1
CBS,"February 1, 2016",27,A1
TWTR,"February 17, 2017",11|249,A1
FB,"March 28, 2016",5,A1
TWTR,"September 9, 2016",128|471,A1
IMMR,"June 21, 2016",46,A1
BELFA,"December 16, 2015",22,A1
AET,"January 18, 2017",5,A1
COST,"January 20, 2016",77,A1
HPQ,"March 19, 2013",13,A1
AMZN,"December 17, 2015",6,A1
ADSK,"March 15, 2017",6,A1
LKQ,"February 18, 2015",15,A1
AMD,"January 18, 2017",271|6,A1
SYMC,"September 15, 2014",6,A1
JBLU,"April 26, 2013",44,A1
USB,"September 25, 2014",49,A1
HOG,"April 25, 2016",334,A1
HPQ,"April 25, 2016",21,A1
TGT,"February 10, 2016",8,A1
CTXS,"April 11, 2013",7,A1
AMGN,"July 21, 2015",27,A1
DEPO,"March 24, 2016",185|49,A1
JBLU,"June 24, 2014",14,A1
AAPL,"December 9, 2016",32|310|368|462,A1
GRMN,"August 8, 2016",33,A1
FDS,"January 27, 2014",54,A1
EW,"January 22, 2014",105,A1
CBSH,"December 9, 2016",2,A1
NOK,"November 26, 2014",20,A1
MSTR,"March 12, 2015",6,A1
TRIP,"May 17, 2016",1|435,A1
AAPL,"May 4, 2016",386,A1
SBUX,"January 5, 2015",63,A1
CSCO,"June 15, 2015",12,A1
FB,"February 17, 2017",11|249,A1
PRGO,"August 15, 2014",129,A1
TDA,"May 6, 2015",93,A1
JNPR,"October 6, 2016",2,A1
CME,"January 27, 2014",54,A1
FB,"February 25, 2016",72,A1
HPQ,"March 14, 2017",4,A1
BBRY,"January 10, 2017",1|207,A1
HPQ,"August 9, 2016",4,A2
LPL,"September 15, 2015",5,A2
ITGR,"February 9, 2017",3,A2
ERIE,"March 7, 2017",35,A2
HLIT,"January 29, 2016",49,A2
BBBY,"January 25, 2013",443,A2
EA,"September 13, 2016",578|130,A2
CSCO,"October 2, 2013",209,A2
INTU,"May 12, 2016",97,A2
JKHY,"May 12, 2016",97,A2
AAPL,"August 10, 2016",34,A2
USB,"August 8, 2016",4,A2
JCOM,"March 29, 2017",19,A2
