Stock_Ticker,Decision_Date,Last_Filing_Days,Category,"SM_[-150,-30)_[-20,5)_BS"
CDW,"June 30, 2015",110,A1,-0.00335586896741|-0.000449386780927|-0.00772991744936|0.00318150541887|-0.0010874344447|0.00417696784487|0.00414412452269|-0.00954231180692|0.000926555716555|-0.00113216139561|-0.00940096239184|0.00528443348045|0.0111955572489|-0.0147095779717|-0.000159622972449|0.00210389846633|-0.0113292555247|0.000363784512772|-0.0333275274519|-0.00528652381795|-0.0111760438174|0.00377219221288|-0.00595490844344|-0.00831434808202|0.00222865574422@0.0110270991557@0.0151941514003|0.0379234348763|-2.65482753584e-05|0.00175386808724|0.000754388880898|-0.0142422911642|-0.00694895466369|-0.027645655718|0.0165185749836|0.00430828613269|-0.00774885573027|0.00552554817057|0.00707538039463|-0.00149802001128|0.0180074789593|-0.0287697687933|0.0067885126744|0.00277508421393|0.00323880360363|0.00164523681541|0.00192002121745|0.0130996005268|0.00298446232183|0.00141910417916|-0.00719442366337|-0.00773169799044|0.00192860056692|-0.00930997941722|0.00238298133843|-0.00824104040434|0.0103490910791|0.010463175994|0.00920717970262|0.00514075127636|0.0171212280514|-0.0176932628513|0.0024954960132|0.00014641990394|-0.00978841776312|-0.00640253906771|-0.00399261100099|0.00333325203943|-0.00405226418495|-0.0214521339497|0.00783582673705|-0.0024123877546|-0.00568939755802|-0.00997406243619|0.0169308661815|-0.00192909614436|0.000812285503277|0.0158073341371|0.00450388707716|0.000702471694412|-0.0126363327238|0.00315196450456|0.0131565223901|0.0156002816681|0.00567273714247|-0.00428190681739|-0.00649421405476|0.00711994579861|-0.000140429113139|-0.00179257764008|0.00371155629387|-0.0125082365137|0.0041120304331|0.00700077300362|-0.00157573732387|-0.00909087899324|0.000370275161914|-0.00616660913138|-0.0136167329396|-0.00680178474192|-0.0253051086107|0.0144589821042|-0.000212521590748|-0.000795934869|0.00315837267935|0.018289470319|0.0044078269965|0.00616842328989|-0.000519311752302|-0.00182517931636|-0.00980622691928|0.0201186825907|-0.0119797503657|-0.00776341497602|-0.0116774521092|-0.00551584359388|0.000803484338699|0.00817570491356|0.0170578226655|0.00676979745527|-0.00372016349407|0.00389714446551|-0.0138289476626|0.00695802721272|-0.00769280150201|-0.00150021567381|0.00479622580205|0.0106898401764|0.000799229492154|-0.000475855863004|-0.00648794453643|-0.0012916924124|-0.00328967967141|-0.00133802795671|-0.000195372946145|-9.12803243587e-06|0.000833987376095|0.00921827069792|-0.00364958665797|-0.0480879851135|-0.0181859114887|0.0030603636026|0.00739740864368|0.000612234941675|0.00143202188427|0.00391071287142
INTC,"December 28, 2016",343|23,A1,-0.00848107361069|-0.0151168090696|-0.0236400082462|0.0106568338862|-0.000901234833191|0.00528178468143|0.00632369602576|0.00219703669198|-0.00596976469015|0.00668324689518|0.0144193578058|0.00245161480656|0.00115796773465|-0.0113483449552|0.0127463331975|0.00355570105723|-0.00343607501978|0.000161064741297|-0.00117687178394|-0.00075796114396|-0.00265958511481|0.000552017499144|-0.0068963534188|-0.000481677783759|-0.0127465313292@0.00956470500648@0.00204718047433|0.00231192220506|-0.00306400204854|0.0023547978957|-0.000736311035181|-0.000968811520006|-0.0014111821883|-0.00463424646628|0.00391917838861|-0.00406325875932|0.00265224072004|0.0138532880431|0.0126711743492|0.000864710292722|-0.015508675687|-0.00152478821934|0.00608744971928|0.00470799520551|0.000771281438235|0.000471597367132|0.00562190630516|-0.00193020160733|-0.00582542742919|-0.00647734406377|0.00295890800839|0.0103306679356|-0.00453586415205|0.00586467473131|0.00123588318167|0.00715531910508|0.00580782074953|0.00642262366585|0.00707202652753|0.00163668301702|-0.0016994878129|-0.00264249621067|-0.00427304822088|0.00352165940367|0.00980504521833|-0.0366562884163|0.00549595246057|0.00355017779181|0.0103894938697|-0.00671199066613|-0.00361788431946|0.00014808965844|0.000163492405317|-0.00128719741165|-0.0054385700387|0.00780204028686|0.00134178179851|0.00188855657287|-0.00466488464673|-0.00883164287843|-0.00166851643485|-0.00267908687959|0.00585316153765|0.0141398948441|-0.00816217748285|-0.00460830896759|0.00889133798305|0.0029235257422|-0.00177706185466|-0.00155483466164|-0.00142407361505|0.00653169772727|0.00185407988952|0.00563130554325|0.00814496347716|0.00303164444372|-0.00418254988456|0.00939203074116|-0.0034342928918|0.00162338521496|0.000282941564596|0.000527778484946|0.00347509761596|0.000194511834747|0.0137631978331|0.033957972901|-0.0143824577994|-0.00112345073131|-0.00543752627768|-0.00528892236578|-0.00366833677768|-0.00553912782865|0.00651158062324|0.00058556859663|0.0070039845033|0.0020390989616|-7.11582417081e-05|0.00232037235396|0.00616616503|0.000752058155955|0.00431880572375|-0.00877285160475|-0.00542819990217|-0.00584324079775|-0.000969794335239|0.011759746846|-0.000699600856334|0.00435049481811|-0.0648497097373|-0.000576449106401|-0.00901643986024|-0.00242230762282|-0.00111027948519|-0.00329529612818|-0.000527997205703|0.000956220732567|0.00314942934755|-0.00202151387397|0.00892139183518|-0.00711770340382|-0.00870277510546|0.00530666446421|-0.00440173977209|-0.0127092789804|-0.0106965145987|0.00538145070672
IBM,"March 7, 2017",53,A1,0.00171883693023|0.0144190342035|-0.00650376708313|2.83666506725e-05|0.00428869861745|-0.0015943897428|0.000265011617899|0.00338584939653|-0.0007799512447|-0.00591566807458|-0.00815106373367|0.00555720047315|0.00189511652039|-0.00307776656892|-0.0125159406256|0.00470111373487|-0.0016992985424|-0.00202441109311|-0.00347817001621|0.00495945074586|0.00213911086148|-0.00361203218393|-0.0141548053274|0.000109731462565|-0.00843062148006@0.00749912543175@0.00572976787842|0.000512957020247|-0.0024390395681|0.00423236140039|0.0040129683013|-1.73793598041e-05|-0.00245137225776|0.00406288436823|0.00427442504465|-0.00909497174125|-0.00339468070641|-0.00259882658799|-0.00362730865321|0.00336435253857|-0.00703380226327|-0.000421707283804|-0.000510590731264|-0.00290266566901|-0.0022025006146|-0.000373339696151|0.00390267048274|-0.000647009891471|-0.000766283795972|0.00388630175828|-0.00444321213914|0.0019074138339|0.0078844877579|-0.0145027701985|0.00185606765954|0.00275804699131|-0.00219491991954|-0.0112175585795|0.000696811176836|-0.00828211841574|0.00627870403464|-0.00297573798081|-0.00391421744383|-0.00248515287751|-0.00223928232406|0.00107125606158|0.0118381743441|0.00471060497314|0.00731622611861|-0.00271725048029|-0.00575617455643|-0.00266347188166|-0.000472571193201|-0.00215266778329|-0.00468133387374|0.00346414521613|-0.00239545875256|-0.00470153820972|-0.000786967482736|0.00402974335704|0.00517209671233|-0.0326866533837|0.000820268922067|0.00328421642326|-0.0132132275693|0.00199893184495|0.00504276053994|0.00784654053537|0.0124250421535|-0.00222944836266|0.00679169826241|0.000847600565233|3.00990205993e-05|0.00692099881544|0.0012295298788|0.000327547288157|0.00099096672966|-0.0125980978194|0.0317564503348|0.00851783727532|-0.0201211013581|-0.00472614190416|0.00547780468393|-0.00190985004043|0.00560656904746|0.00733828724906|-0.00269139838595|-0.004984907523|0.00338292069592|0.0126968401529|-0.00810968710525|-0.00596705477374|-0.0116082766856|0.000557454082647|-0.00705549697831|-4.64314373189e-05|0.0147008980061|0.000904658380301|0.00103063186396|-0.00526415163797|0.0101570222783|0.00899717904313|-0.00704675181668|-0.0060553111672|-0.00259009086431|0.00161649200686|0.000830146766315|-0.000181105320452|-0.00370830556177|-3.13137197491e-06|0.00200081128223|0.00246103148062|-0.00039084156788|-0.000281472712243|0.00643150174742|-0.00277121716833|0.00128580404587|-0.00821304928993|-0.0130017961198|0.0104753818326|0.00337321923608|-0.00604120881941|0.00643292512014|-0.00883464432818|0.00338472449073|0.0184594748736
BBRY,"February 27, 2017",19|382,A1,-0.0145034099972|-0.0119984965806|0.00167475040966|-0.00886142592617|-0.000644623820678|-0.00814579004744|0.00373995031185|0.0184733129697|0.0110957349821|0.00264194900225|0.00629341348567|-0.00505067719991|-0.0100923529598|0.000641797357197|-0.00559983495171|0.0171171517693|-0.0299789211515|-0.00976492915527|-0.0117778281933|-0.0126164538946|0.00108584116904|-0.0164996707048|-0.0267467810654|0.00778143033796|-0.0020615002067@0.0150736816774@0.000576803597707|0.0320912889059|0.0205587982383|0.0487075589134|0.00402054914231|-0.0044254688021|0.0411322909602|-0.0176946187639|0.00566431951441|-0.00370733599541|-0.0109769134592|0.0085830582939|-0.0069913117169|0.0121243953063|0.000924267072358|0.0262651429639|0.00774991739311|0.0137140662774|-0.00211873472188|-0.0110980383714|-0.0141411091248|-0.00103972980984|-0.00477537487073|-0.00118328662821|0.00600832357433|0.00117414935988|-0.012075518897|-0.00418897813228|-0.0326353873613|0.0027273434143|0.00647545550049|-0.004793550906|-0.00103969319945|-0.00362003085749|0.0215173998244|-0.0130997103869|-0.0281280407423|-0.00492054084845|-0.00909251355301|0.000676873430718|0.0191560986631|0.0269418298457|0.0153666825161|0.00788987582736|0.00931907978728|-0.00146606829141|0.000319326934754|0.0497062808404|-0.036821570679|-0.00390409199718|-0.0133664030233|-0.0181774128654|-0.00518215190036|0.0352126918512|-0.00582621138499|-0.00231396945109|-0.0127767195371|-0.0106009125416|-0.0131392551577|0.00220135204076|-0.0117989282554|-0.000627847246431|0.00231029816821|0.00508530399533|-0.0152284211419|-0.00769216353206|-0.00673905275182|0.00120208999008|-0.013290506895|-0.00330135728768|-0.00556346768019|0.0117670154694|0.000345429499889|0.00283916482555|-0.0028124265404|-0.0133708703116|0.00178056300146|-0.00697691377386|-6.60540486084e-05|0.0167890024763|0.00332081723781|0.0204550045655|0.00772706515371|-0.0153445113453|0.0134810256344|-0.0062970877822|-0.000889115278237|-0.0177589767523|-0.00165441764001|0.00182168732455|-0.00488681233903|0.0386998323421|-0.0203535006482|0.00881172207071|-0.00313991983366|-0.0102519930265|-0.00765104686988|0.0230716757346|-0.00968025998084|-0.00488430630602|0.00109700951353|-0.00657992067894|-0.0139440895153|-0.00405893305599|0.0145290693545|-0.0321144228542|-0.0235118558094|-0.015729299328|-0.0227585469278|0.00566879453456|-0.00118887384189|-0.00674835102019|-0.00409662715412|0.00105470643284|0.0143094620482|0.002516574683|0.00143973950224|-0.00145761435369|0.000151127873567|0.0106897443624
AAPL,"August 16, 2016",14,A1,0.00252128690537|-0.00256538928534|-0.00020608695609|-0.0115870315472|-0.00950975385981|-0.0063835828869|0.0651089972685|0.0131864490393|-0.00196755402438|0.019420303999|-0.00694901452105|0.0103293486928|0.00603151379439|0.00731475443714|0.00991220849358|0.00442997515009|-0.00377312280841|-0.00462842751676|0.00427468505816|0.0098561295242|0.00569437276588|-0.00247211968173|-0.00268232244596|0.00516621151085|-0.00673162007604@0.0127518509661@0.00674946172552|0.00226077857624|0.00506538097253|0.000156362902752|-0.00526582534053|0.0162995664589|-0.0100885067967|0.0308850361894|-0.00223874994368|-0.00810160906911|-0.0551211198845|0.00255514205849|0.0089605727464|-0.00798028967609|0.000239968955695|0.0141639756675|0.00733169990642|-0.00527060112376|0.0261374340777|0.000752993404633|-0.00565416380385|0.00910202668352|-0.0179343278511|0.0107443652713|-0.001283936185|-0.0136824319924|-0.000760043508717|-0.0057999097982|-0.00811184943977|0.0108707473632|-0.00513969698157|0.00505974926772|0.00725502922496|0.0148667495543|-0.00163435816765|0.00421209396432|0.0122800754558|-0.0109689399164|0.00460144106152|-0.00341103200147|0.000649725399813|-0.00555601979426|0.00494729064663|0.0226782984955|0.00799163526926|-0.00741587832847|-0.00208142943542|-0.0006043352779|0.00922128138648|0.00263142394413|-0.00284339460667|-0.00416905378922|0.0144702675439|0.0136005261525|-0.00156928412675|0.00282087066091|0.014746950217|7.00188471786e-06|-0.000294474005133|-0.00802409678325|-0.000782752661231|0.00686803721333|0.003948742127|0.00454782541263|0.00150518905381|-0.0180585366158|-0.0283536501577|-0.00769768271708|0.0020483962511|-0.0040389305549|-0.00171863561056|-0.00280924290371|-0.00755369433404|-0.0658209489693|-0.0201720343169|-0.00469063010207|-0.00859857367383|0.0267774277121|-0.00339077305451|-0.00283480484747|-0.00851643063636|0.000884126733838|-0.00556128530697|0.00138694128922|-0.023028632755|0.0124676910961|0.0268630059961|0.00698960961168|0.0120854399179|0.000957073186895|0.00498864439546|0.0151219278724|0.00223777958466|0.0111349696361|0.00861112189168|-0.00421071949297|-0.00181553036141|-0.0153084336708|-0.0098055878213|0.00629812439047|0.00276323307162|0.00338375933138|-0.00340300489522|0.00964841209821|0.00304634859177|-0.0058057846542|0.00438086579252|-0.000760053198623|0.00201440434991|-0.0179678925182|-0.00832880342658|0.00644100282524|-0.000975147032003|-0.00721629172863|0.0120306662234|0.00587756219448|-0.00158900914646|-0.00860096204566|-0.000988425684696|0.00178399158137
AVID,"March 1, 2016",145,A1,-0.0031180656061|-0.0344942468719|0.0279501188652|0.0751371738855|0.0270581105744|-0.0201283806072|-0.0580795107512|0.0132210679848|-0.0284563978866|0.0160970527428|0.0538373057896|0.0034084082269|0.0126761620545|0.00130613166942|0.0248357300086|-0.031414974707|0.00796172569998|-0.0432288756961|0.0705295599822|0.0329399688544|-0.0897280293463|0.0504768892204|0.00291141840563|-0.00855996352019|0.000247677009095@0.0516843971414@0.00472159593525|-0.0377038814729|-0.0014914945305|-0.0215091547767|0.0364391661856|-0.0453275260267|-0.0198968660955|0.00605326336615|0.00108166225724|0.01761615651|0.0422278683249|-0.330310839846|0.0985452206044|-0.0299194793901|0.00816067552838|-0.00667792145845|-0.0491975865259|-0.0237400918727|-0.024803668798|0.0389329409375|-0.00895271286271|0.0512578821668|-0.0177400334258|0.00956359995701|0.0382636797149|-0.0131083914408|0.0202540873041|-0.00541541421848|0.0280303951771|0.0215643067468|-0.00741668874717|0.00717164847064|0.0208802400013|0.0166990984449|-0.0112802949829|-0.0128796090962|-0.0131005280796|0.0159868098439|0.00985310498079|-0.0207319705606|0.00546993890023|-0.0203551430392|0.018943868425|-0.0169099860385|0.00321650955284|-0.00957846620264|0.00533976866153|-0.018930701544|-0.0105123912701|0.00866231549721|0.0363555187859|0.0159054690222|0.00418676954533|0.0196085778818|-0.00657261671417|0.0149997874826|0.0229304920343|0.00985439308593|-0.0162824072306|-0.00836548116508|0.0105493715818|-0.033524807106|0.0117875026648|0.0312602605765|-0.0408035899401|-0.0224824873053|0.00842056042486|-0.0390559370104|0.0708964030149|0.0475600728388|0.0144866612516|-0.00597144766522|0.0100856900962|-0.2947906938|-0.0358945410675|-0.0158383952238|-0.01073180493|0.072901115266|-0.0258493479779|0.0158581390721|-0.0355772146889|-0.0116502159418|0.0237396462055|0.0488129329299|0.00615177034732|-0.00668608649396|0.0618550666212|0.0112869349106|0.0924615298957|-0.0518094650598|0.00421375667698|-0.00382021186985|-0.0656137716445|0.00440719973642|-0.0164107885788|0.0272448207635|0.0253879681733|-0.00489089403472|-0.0316037621214|-0.022817381783|-0.00260885820402|-0.0185286762593|0.020872937396|-0.00349256802742|0.0216889686433|0.152115637581|0.0252986487164|-0.0173380590056|-0.0138055629758|0.00980717023111|0.0164825209575|0.0281206562986|0.045913747792|0.00552953800637|0.00354103405529|0.00245927072944|-0.0357952934099|0.00783633651198|0.0393432769737|0.0389492512633
V,"February 9, 2016",6,A1,0.0119840052242|0.00174046590838|0.00282799746787|-0.00866026944242|-0.00549638470609|-0.00868601000106|0.0023534309785|0.00537753397319|-0.00659666785835|0.00149823959602|-0.0133812529073|-0.00328406369902|-0.0291206423388|0.0454320335074|-0.00224910382193|0.00462030782763|0.00585848169863|-0.0122452707009|-0.0104950069277|-0.0411036147512|0.00702360898982|0.0280916790442|-0.0116869269908|0.00557523995743|-0.00905582074321@0.010103806363@-0.0128614986777|0.00109260069093|0.00174288570209|0.00598165182385|0.00331229752957|0.0026291735968|-0.00194397663668|-0.00168947306958|0.00234674454196|0.0236621078501|-0.00640385532328|3.61802796215e-05|0.00169729770833|0.0513920443937|-0.00769014431679|-0.00208191318822|0.00852559963609|0.00345827528445|-0.0132694367395|0.00807757023628|-0.00572299612939|-0.00845276822455|-0.0113937188643|0.00938741483461|-0.0119644904307|-0.005471894493|0.00168517705598|0.00544298242866|-0.00103928290231|-0.00442314284655|0.00269227002782|0.00621627568923|0.0148680181773|-0.0071993378233|0.003307346887|-0.00930434839571|0.0134816469443|-0.00281839252803|-0.000373681438718|-0.0087985016597|-0.00280675857862|-0.0113024834358|0.009242602665|-0.00295782886219|-0.00750952645735|-0.000334625520519|0.00218190208145|0.00162381168386|-0.0079149695327|-0.00703277232647|-0.00339594555599|0.000782978793633|-0.000531762994232|0.00754217365919|0.0050068327465|0.0104402204285|-0.00741621650646|0.00550795520993|-0.0251800659796|0.0178370096715|-0.00414173768324|0.000849523211097|-0.00699781800656|0.00222561529811|0.000363548718153|0.00600573889202|-0.00130960542519|-0.000691516905902|0.01142328389|0.00560024610149|-0.0068443074934|-0.00184967344429|0.00282550931812|0.0112780622546|-0.00907554138686|-0.00544501580696|-0.00603979536408|-0.0040893777644|0.0157254383047|-0.00760300610336|0.00427862820206|-0.00512315842998|-0.00854564618896|-0.0443508158098|0.0308293288546|0.00778977367993|0.0114435725424|-0.00705695071069|-0.000394690703157|0.0165186304677|-0.000808492900286|0.00251440991451|0.00811065451707|-0.00688097720366|-0.00127338373992|0.00284293001731|-0.00410678562404|-0.00445729467602|-0.000947336836063|-0.00655252224555|-0.00388626980641|0.00116466085516|-0.00724606999478|0.000245213460654|-0.00136190026623|0.00407440703614|0.00523054519788|-0.00541797587486|-0.000145537489959|-0.00814051876412|-0.000770115692113|-0.00673407995933|0.00351274976477|0.0104316279749|-0.000702524234175|0.000161625994522|-0.0129185163371|0.00132892219084|-0.00788600650747|0.00110507990013
CNXN,"June 30, 2015",110,A1,-0.0121006230867|0.0131675471696|-0.018149910851|0.0105440280586|-0.0116034135732|-0.0105665913812|0.000494359749683|0.0020459306369|-0.00486860204257|-0.0128942078936|0.0326534396457|-0.0153520974359|0.0178692411358|0.0533730477108|-0.0464818458085|-0.00371739994423|-0.00723314648887|-0.000146724724625|-0.023643779617|0.0275712337103|-0.00723707217339|-0.00357902409115|-0.0229692244082|0.000473708797664|-0.0138093351194@0.0154802297555@-0.0122680951937|0.00101595647428|0.000582521693306|0.0113947294357|-0.0178477400989|0.0207886445511|0.0109181458244|-0.018095055034|0.00306124906766|0.00578512594779|-0.00628842684335|0.0131781791808|0.0138506884543|0.00739483251725|0.0185800740239|0.0140139539471|0.00937480585307|0.0065275034904|0.00749300971704|-0.0265378506286|-0.00997971797833|0.0204116141024|0.0263308570542|0.00296845034285|-0.0457449848209|0.00278735321656|-0.000273248123294|-0.0193483658717|-0.00183355536416|-0.0297777584824|0.0267669324191|-0.0135736422986|0.00181478320056|0.00505028596543|-0.00210920014707|0.0024252505338|-0.0153808322395|0.0146599473192|-0.0294044739603|-0.0054698070128|0.0197617051658|-0.00305360227137|-0.021396160296|-0.00349416075422|-0.0181992249338|0.0306039841364|0.0346540018252|-0.0138393965119|-0.0039972688269|-0.0106431732433|0.0130846813844|0.00331496831972|-0.000802718596839|0.011839738291|-0.0252062941303|-0.021875269775|-0.00179196816294|0.00975499288398|-0.00132296264096|0.00802318880224|0.0156051963271|0.00574483210782|0.0134407871245|-0.00816276352238|0.0210205865736|0.00484629865449|-0.00359307208845|0.00613111222898|0.00581320651804|0.0106463120193|-0.0138120689706|0.0162037007147|-0.00326910168967|0.01059699551|-0.0352488019465|0.0174969386684|-0.0296400756274|0.013232542963|-0.00820691121243|0.0103903039454|-0.00391743233035|0.0156169567009|-0.00658722331108|-0.00219690084099|0.010656962294|0.0101254028836|0.0101129971183|-0.0188746562513|0.0117327627473|-0.010757456057|-0.00318261831546|-0.0219915654032|0.0167293108515|-0.0145148893002|0.0111926177846|0.00445725204393|-0.0346617039353|0.00284762358289|-0.00295892058571|-0.00751050560403|0.0181738340922|0.014242669484|0.0184532006725|-0.0120582972833|-0.0245887002925|-0.00503690703104|-0.0140950881346|-0.0190852578787|-0.023708620478|0.00662137052972|-0.0037724191028|-0.00857630464619|0.0210439071074|-0.00381298725368|-0.00779162700751|0.00435850413861|-0.00262960573355|0.00828479861281|-0.0106015643338|0.0303678612682
FB,"July 16, 2014",7,A1,-0.00388884422113|0.00108272698256|-0.0228200385561|-0.00298710992896|0.0131876721596|0.0180545336265|0.0147725366241|-0.00389454752487|0.00169870449915|-0.00434582907864|-0.00455504908926|-0.0271265351839|-0.0143667516668|-0.00824241877284|-0.0258861615472|0.02362481211|0.00649286632474|0.018410378|0.0110241550653|-0.00748659592853|-0.00195752738535|0.00621010782199|0.00600554503417|0.0175423542456|-0.0125747164403@0.0231564806683@0.0119776769066|0.035648499807|0.00708523414136|0.0549731663927|0.0276950951034|-0.00575254482483|0.0256022269188|-0.0261871333129|-0.00769682744796|-0.0126997817905|0.0340493479146|-0.00255009581819|-0.0163036449549|-0.0412540850123|-0.0322351986178|0.00580956265117|0.0218960016413|-0.00327684639787|0.052891699577|-0.00218951171851|0.00394627502878|-0.0198709784234|0.00547624491445|-0.00638247880342|0.00688230446072|-0.0154420534069|-0.00511334202695|-0.0070346622825|0.030985798341|-0.0196075392924|0.0022176737612|0.00844102134266|-0.00645566101785|0.0149801945076|-0.0087854645553|0.107280968911|0.0364400938782|0.0328173106676|0.00381692863026|-0.00703737530652|-0.0309041854702|0.00549763497966|-0.0170793704621|-0.00517741240202|-0.00820253285113|0.0312119521336|-0.0168734772496|-0.000467611167402|0.0252989577335|0.00864713530839|-0.0133778011515|0.0180647682111|-0.0132741103121|-0.00950525670085|-0.0173256708657|-0.0135801206363|-0.000454838033794|-0.0119421471726|0.0365296364205|-0.0163077463644|-0.0166482370096|0.0317448399903|-0.0168956604373|0.00956309876727|-0.00483931657699|-0.0108227647189|-0.00623825646693|-0.0104026846229|-0.00268602533638|-0.0328076317421|0.0118797199743|-0.039387234144|0.000679739601255|-0.0565053392021|0.013413978385|-0.0278537448528|-0.0154652071707|0.0229552090403|-0.00683360059705|-0.0507884991715|-0.0212548878827|0.0276587536715|0.0113675306047|0.04501478485|-0.00654245122957|0.00878406699001|-0.0124521571408|-0.0129774810998|-0.0137823131011|-0.0171933589906|0.0295354240733|0.0176921607314|-0.0224707110745|-0.0134817594619|-0.03565953337|-0.0356084923188|0.0238109944924|0.0200331486031|0.0215186463441|-0.00901597935893|0.00728187386915|-0.0261365198329|-0.033801952936|-0.00953891301719|0.0041608772316|0.0215210441104|-0.00291864329371|-0.000278247220142|-0.00339420770847|-0.0069781403382|0.0111488579749|0.0023134512389|0.0126213022845|-0.00587820931947|0.00370502041498|0.019420541217|0.00121930692972|-0.0075012568445|-0.0128671925387|-0.00695366569625
JNJ,"January 14, 2014",5,A1,0.00182969342572|-0.0050451374304|-0.00561840183759|0.00785092155466|-0.00657513391015|-0.00374202460226|-0.00521492125749|-0.0017500370329|0.000841310690686|-0.00235383759363|-0.000753597255345|-0.0118049637453|0.00115574323753|0.00875579367393|0.00717013728484|0.015813324217|-0.00189375385166|0.00517567507103|-0.00239049130658|0.00773469144153|-0.00660372110765|-0.00375674957852|-0.00100008348372|0.00744457590571|-0.0135622942272@0.00629786189687@0.00257477409602|-0.00503720348382|0.00157449520348|0.00464406168014|0.00200739479292|0.00190848155178|-0.00683952005257|-0.00721364072974|0.00411447126724|0.0265389060293|0.000785872218011|0.0108851460476|-0.00820305399383|-0.00693920491974|0.00395719772413|-0.000297273511814|0.00173745751764|0.0036384485153|0.00331192914922|-0.00275536015834|0.00341281571594|-0.0062535904976|0.00288956628711|0.00118287767188|0.00263252791128|-0.00536387359635|-0.00422577348889|0.0208408092018|-0.00134368634422|0.0028588864881|0.00191855706516|4.58512393123e-06|0.00161945307316|0.00618359205509|-0.000771044414094|0.00263038831191|-0.00656295206054|0.00490357441579|-0.0054522934812|0.00427999921919|0.000629733465174|-0.00666226299681|-0.00860662702405|-0.00331025102469|0.00823755456573|-0.0214165824382|-0.00194228567132|0.00026969632048|0.0167512042267|-0.0122188742871|-0.00586415262958|-0.0136303692761|0.00619531311212|-0.00739135967786|-0.00315395306484|0.00101899868623|-0.00113517293584|0.000322244616458|-0.00380050522389|-0.00133041001938|0.000265111445803|0.000654348820118|-0.00331391024688|0.00483659185099|0.00505148381052|-0.000702589324927|-0.00707683870488|0.000266093473465|-0.00353236583219|3.97610338919e-05|0.00276512277056|0.00087796202323|-0.00326743110073|-0.00828740603402|-0.0110544287597|-0.00349753141841|-0.000603307626123|0.0034296186534|0.00236840338862|-0.00165243667802|-0.00116873737215|0.00207406509205|-0.00174308518382|-0.0024421548694|0.00316442382236|0.00371118482744|0.0134157341086|0.000405337343925|0.00687353240662|0.00170620095411|0.00377537446662|-0.00937866621973|-0.00509079399523|0.00772225024077|0.00064277654926|-0.000258914378307|-0.00677131852034|0.00165128082716|0.0035283386391|-0.000161128604193|-3.31335283187e-05|0.00594082959932|-0.00677270562272|-0.000195857628083|-0.00190136359845|0.00597074802888|0.00360665136185|0.00207295141818|-0.00650361022618|-0.00902809177711|0.00190992266831|0.00121014100882|0.00148202712047|0.0073033228801|0.0051932026501|-0.00618338334807|0.00318703941018|0.00442920427961|-0.00653924539417|-0.00311033730601
