Stock_Ticker,Decision_Date,Affirmed_1__NotAff_0,"SM_[-20,0)_2LS"
LLNW,"November 16, 2015",0,-0.056887374402051334
PRSS,"November 10, 2016",1,0.00985229644301154
SYMC,"September 15, 2014",1,0.013996050187986005
FTR,"July 31, 2015",0,-0.06683076424507595
AAPL,"July 14, 2014",1,0.031254233528403126
SUPN,"December 12, 2016",1,0.11506932978478684
TEX,"May 14, 2013",0,0.10344182149539648
SYK,"June 27, 2014",0,0.0121196703656149
SBUX,"November 29, 2016",0,0.0777282536946094
IBM,"June 16, 2015",0,-0.04124057389112703
MSFT,"January 19, 2016",1,-0.09604085359012338
IPXL,"September 7, 2012",1,0.05694611953588567
MON,"June 10, 2013",1,-0.05558301108454787
TWX,"February 1, 2016",1,0.08902655849545156
FUN,"April 17, 2015",1,-0.006530659518829559
BKS,"April 25, 2016",1,0.02876541860014723
AMD,"January 18, 2017",1,-0.1006651921394149
HPQ,"July 9, 2015",1,-0.06761260395102026
SYMC,"November 13, 2013",1,-0.07960877950231222
TESO,"October 30, 2015",0,0.1634060439862198
CSCO,"September 16, 2014",0,0.025461091073785597
NTAP,"August 9, 2016",1,ERROR
MSFT,"December 4, 2014",0,0.016951449271351175
HPQ,"November 14, 2014",1,0.0671086469442348
NVS,"May 21, 2015",1,0.00048326725563092757
CAMT,"February 3, 2016",1,-0.09763846956391592
IBM,"August 13, 2015",0,-0.06796565968626893
ITW,"January 13, 2016",1,-0.08170288487822831
JBLU,"June 24, 2014",1,0.1381857473649098
AMZN,"February 26, 2014",1,-0.07513603107526617
LLY,"January 12, 2017",1,0.10719288607390003
MON,"May 9, 2014",1,0.00640956004943338
ZNGA,"May 10, 2013",1,-0.06044135415350092
AMZN,"July 22, 2013",1,0.10998340013565804
TIME,"December 16, 2015",1,-0.019004555053725315
RHT,"June 23, 2015",1,0.008339737547384951
PINC,"December 19, 2014",0,-0.03334643545476054
FB,"February 7, 2017",0,0.06774417174441824
BSX,"April 4, 2017",1,0.006441246102857163
EBAY,"July 9, 2015",1,0.009555193903606436
CAT,"July 8, 2015",1,-0.025392331173559157
PFE,"July 1, 2014",1,-0.0010103130334942947
AAPL,"October 11, 2012",0,-0.044075232102120845
AMZN,"June 11, 2015",1,-0.0005801877798417947
AAPL,"May 11, 2017",1,0.07891773577985754
MSI,"April 13, 2015",1,-0.038125353387547654
PFE,"February 6, 2014",1,0.005371794427494716
SYMC,"August 30, 2016",0,0.1638724992162747
F,"February 8, 2016",1,-0.07044177921869255
AMZN,"November 10, 2014",1,-0.037730544974060636
MMM,"February 10, 2016",1,0.0968234906621858
JKHY,"May 12, 2016",0,0.012519542624390631
ORCL,"August 18, 2016",0,-0.0009701693114646771
TRIP,"May 17, 2016",1,-0.008286068330153636
FB,"December 16, 2015",0,0.004890004376908508
AAPL,"July 30, 2015",0,-0.019644809549527888
RF,"September 25, 2014",1,-0.002815412153752231
HON,"September 11, 2015",0,-0.0535441999488208
FIS,"October 13, 2016",1,0.014747550760952858
AAPL,"July 7, 2014",1,0.016637051434834734
MDRX,"April 12, 2017",1,0.0553631660388479
FDX,"July 10, 2014",0,0.052478352783124835
AMZN,"February 9, 2015",0,0.21968957405570896
JBLU,"April 26, 2013",1,-0.007272759329079958
CSCO,"April 7, 2017",1,-0.020814691684825994
SNPS,"April 24, 2017",0,0.01919120239190917
TWTR,"May 17, 2016",1,-0.19172431947626473
DD,"August 19, 2016",1,0.02882352209975779
NUVA,"May 31, 2017",0,ERROR
DGLY,"February 10, 2015",1,-0.24336875134971298
WILN,"August 1, 2014",0,0.012500125586542727
WILN,"August 1, 2014",1,0.012500125586542727
WMT,"September 11, 2013",0,-0.04131948045455108
OSTK,"May 15, 2013",1,0.8436826099922278
BBBY,"January 25, 2013",0,0.058106119006275755
MSFT,"August 4, 2015",0,0.053082851294035935
MSFT,"April 20, 2017",0,0.012843525365403698
ZNGA,"March 17, 2015",1,0.13743003304017964
RTEC,"February 3, 2016",1,-0.05161923963163584
BCR,"January 13, 2015",1,0.028671817663132513
ATVI,"September 13, 2016",0,0.0548600865743555
AMGN,"July 9, 2015",1,-0.0162161368629754
CSCO,"March 6, 2015",1,0.09329843914579827
LLNW,"October 9, 2015",1,-0.10398971352404783
MSFT,"November 17, 2016",0,0.04292051670967677
CNXN,"June 30, 2015",1,-0.010802268457676893
INFN,"June 29, 2015",1,0.02865530420998984
CBS,"February 10, 2015",0,0.03953086611389687
HPQ,"February 7, 2017",0,0.017184817213562985
CSCO,"June 6, 2017",1,ERROR
CL,"May 29, 2013",1,0.03206814778085077
FB,"March 28, 2016",1,0.04505105994583454
TG,"August 6, 2013",0,-0.025156282540420502
