Stock_Ticker,Decision_Date,Last_Filing_Days,Category,"MM_[-60,-30)_[-20,5)_NBS"
AAPL,"May 11, 2017",66,A1,0.00131152464549|0.000627621665717|-0.00893022081957|-0.00359875151045|-0.00387509927224|-0.000248128484514|-0.00081313846098|-0.00902590093522|-0.00466567743115|-0.00821096665784|-0.00303792650579|-0.00260536723868|0.0149323711118|0.000842449640608|-0.00637951233421|-0.00734843410103|0.00703777230485|0.0222224844259|0.00590365185126|-0.0104797903194|0.00716681738209|0.0121083052447|-0.012328032214|-0.00411824667503|-0.0152818679946@0.00444584275076
AMZN,"February 10, 2017",2,A1,0.0170841548912|-0.00107157297303|-0.00532673875747|-0.00585291231211|0.00748748382842|-0.00646232603735|0.0148329029368|-0.00483317718477|0.00282397024263|0.00563084265393|-0.00588496092102|0.00209161875091|-0.0104003337675|0.00941073446331|0.00694488354525|-0.0475263721592|-0.000689948758505|0.00233292438556|0.00384029887326|-0.010604040054|0.00121118580102|0.00252536989061|-0.00789076269368|-0.00538984285237|0.00374541009379@0.0102208910268
AAPL,"May 17, 2016",1|265,A1,-0.00482943662044|0.00112460565546|-0.00874987937761|0.00124877131834|-0.00788669685296|-0.00444904352791|-0.0644735536278|-0.0214707238358|-0.00568312272219|-0.0140742929456|0.0208068237176|-0.00539101013479|-0.00745337271035|-0.0107842494184|-0.00683568700441|-0.00993012792274|0.000310463307677|-0.0271154258149|0.00830622882076|0.0229652121025|0.00355486587018|0.0125156965487|-0.00502081723958|0.00320079370649|0.0125889603925@0.00820513595329
BBY,"January 15, 2014",6,A1,0.0155786989295|-0.00964318908517|0.0118288425962|-5.53170597668e-05|-0.0683295051003|0.0121853291218|-0.0109417609323|0.0219965621315|-0.0146785741973|-0.00266264460218|-0.00154713193108|0.034141358196|0.00225539889081|-0.0134247560983|-0.0396350873317|-0.0117113911815|-0.00977676761997|-0.00566410016811|-0.00506256343808|-0.0095328502943|0.00946791819247|-0.341438328923|-0.0859221704408|-0.00557999543556|0.0598562516178@0.0262372213414
WDC,"January 9, 2015",2,A1,0.0106648815748|0.00129924093789|-0.00348747445872|0.000424117189872|-0.0110011911898|0.00752626921984|0.0150757778312|0.00366932866527|-0.00327805277933|-0.0261144676448|-0.00408218856397|-0.00418057976875|-0.011756754795|-0.00528925576244|-0.00412004476167|-0.00529176063611|0.0095774665004|-0.0115649125792|0.00653842636115|0.00162796362918|0.0277460811949|-0.00836331465567|-0.010626972235|0.00282803903693|-0.0370061350994@0.0130212878068
ADBE,"December 4, 2014",28,A1,0.0103729956528|0.000757778955818|-0.000104796631794|-0.00597614346837|-0.00199476755798|-0.00467871818368|0.00202581891971|-0.000663403152191|-0.0152169295278|0.00406976483387|0.00323301260443|-0.00577058146002|0.00735255406959|-0.00952954972548|0.0141707198927|0.00701849874812|0.00306462224822|0.0213427203578|-0.00802088529217|-0.00278488212798|0.00357303623614|-0.00540493675359|0.010897855806|-0.00697185445171|-0.00166068351896@0.0143946190469
ACTG,"December 3, 2013",18,A1,0.0106794439001|-0.0173155032054|0.0340226486389|0.0085534007552|0.0174553669471|0.00889563898615|-0.0178259048996|0.00648528989238|0.00931921832666|0.0543383611622|0.039325854042|0.0128087257329|-0.0254272755078|0.0284403917609|0.0132983183992|0.000679324564382|0.0168775116078|0.0118726577117|0.00734434375621|0.00427274074687|-0.0499375431257|-0.0334614317847|0.0196734851574|0.0372166730648|-0.0405517964306@0.0490411601388
FIS,"October 13, 2016",8|349,A1,-0.000554900843612|-0.0205402757664|0.00691627223095|0.011520087252|-0.000965361897209|-0.00591480005749|-0.000989278691696|0.00478357913519|0.00883776533391|-0.0129452967003|0.00386463758327|-0.00613663394239|0.00022823311134|-0.00295010336363|-0.00142408530199|0.0204778071363|-0.00174695838159|-0.0107413115458|0.000569677049291|0.0105879246212|-0.00178852007183|0.004697490903|-0.0070151665203|-0.000318760614348|0.0024075349652@0.00806373220633
MSFT,"December 4, 2014",28,A1,0.00303747906681|0.0115395927103|0.0011598178262|0.000481233197227|-0.00158968789666|9.05264407987e-05|0.0133439557967|-0.000332215923964|-0.00362108107824|-0.0141070612903|-0.011320121058|0.0106417798106|-0.0209262568629|-0.0101985007751|-0.00069851790538|0.00223036410151|-0.00140063914042|0.0260366520949|-0.00751223358553|-0.00901250202722|0.017578976999|-0.0073605820827|-0.00646345247777|0.00241506802978|0.00197344902383@0.00794722055037
AAPL,"December 11, 2014",6,A1,0.0141997852082|0.009375285089|0.00828700373686|-0.00748654205794|0.00695840370579|-0.0106137038686|0.0121346693239|-0.00633874359146|0.016839733113|-0.0101188226234|0.00805260227593|-0.00110907895121|-0.0320850618457|-0.0105491420172|0.00587102732922|-0.00599690483047|-0.0073510016587|-0.0206883283802|0.0180419327457|-0.00862992256267|-0.00946165436199|-0.00329341504598|-0.0114018827292|-0.0082882791915|0.0066928690687@0.0114691563517
AAPL,"August 1, 2016",271,A1,-0.000797321769208|-0.00154736467968|-0.00131183834801|0.00291915258385|-0.00949973458542|-0.00242076140321|-0.00388038739828|-0.00507274718449|0.0146429625665|-0.000672203080716|0.00743391444209|0.00262196963835|-0.00531146352418|-0.00224470159701|-0.0134455442122|-0.0115890245059|-0.00939042956502|0.0627063774698|0.0113396509765|-0.00356411582886|0.0178704911581|-0.00802173853008|0.0070830421952|0.00478929083291|0.00516235803783@0.0100524068485
MSFT,"April 7, 2017",2,A1,0.00329789094992|-0.0033876961149|-0.00228755911241|0.00248219284727|-0.00137149503685|0.00578051689264|0.00543676878175|-0.000509706307847|0.0137742017087|-0.00299427936672|0.00343542529902|0.00484101132904|-0.00356840129099|0.00268276501622|-0.00108647237458|0.00519408456345|-0.00502033684724|-0.000351949285093|-0.000994039170961|-0.00210681188768|-0.000820568171597|-0.00460089965581|-0.002270250648|-0.00103761437146|0.00134101230856@0.0074064727663
MSFT,"November 8, 2013",2,A1,0.00386344040504|0.00381271760749|0.011661639445|-0.0144593117565|-0.000440371613557|-0.00780621437422|0.00201254942377|-0.0183372801382|-0.017562942304|-0.00722226057755|0.0538904873382|-0.0050241030186|-0.00944963231192|0.0109637581378|-0.000984105988272|0.000717406624408|0.00764545671702|0.0217395800223|0.0381359348206|0.00389120497271|-0.00802866212587|-0.00677845850712|-0.00606670455659|0.00864690500533|-0.00874879188431@0.0192223902167
AMZN,"September 23, 2016",79,A1,0.00694322595798|0.0120177228524|0.000973603985384|-0.00173059986332|0.00371168210872|-0.00380599810622|0.00086728372656|0.0129161847232|-0.00624894583573|0.00522777048239|-0.00925815434724|-0.00211934356146|-0.00712001733841|-0.00771219021819|-0.00110476863387|0.0095011539548|-0.00355096983659|0.000621237402881|0.00544353100016|0.0127829281191|0.00348285657583|-0.00540990744894|0.0100516237434|0.0204884955074|0.0117552011925@0.00629591672979
INTC,"January 14, 2014",4,A1,-0.00775492387089|0.00349443252409|0.00904937425173|0.013786411437|0.000716905076542|-0.00692326383919|0.00779522382481|0.00344990535427|0.00770321777849|-0.00271331544432|0.00861853883769|0.0027399410571|-0.00255796576493|-0.000254544885509|-0.0101264241796|0.000901782246256|-0.00679353247535|-0.00614137214313|0.00463709590617|0.00444134383308|0.0329296256963|0.00481274754911|-0.00718376622935|-0.0245999562546|-0.0112660642668@0.014041360593
ALG,"May 26, 2016",217|231,A1,-0.00769814548894|-0.00188445414614|0.00290550610102|-0.0176381948267|-0.00333903948136|0.0178452848381|0.00268902525695|-0.00800318889097|0.0188759813265|-0.0159597480434|-0.00264301098906|-0.0183321885652|0.0190799667372|-0.0268595172285|-0.000321022430126|0.0677940152985|-0.00744092983531|0.00362769525871|0.0328542145373|-0.000634320920513|-0.00275776627964|0.00464683246508|0.00639883102174|-0.00995103601542|0.000447751358199@0.0208612029782
HON,"March 14, 2016",6,A1,-0.00144280295353|-0.00798814866172|-0.0118890292854|0.00597333446128|0.00248104118425|-0.0370486603532|-0.000457571354835|-0.0115602668017|-0.00563174142494|-0.0119168360746|-0.0105008965915|0.0166206030306|0.000529668787968|0.00849138406142|-0.00379639075462|-0.00773163249599|0.0074053897435|0.00561938484797|-0.00646592905106|-0.0130388200064|-0.00962560608715|0.00195195858861|-0.00440508890272|0.00918120866679|0.00115557426436@0.00938146303122
HPQ,"December 2, 2015",47,A1,0.0245543098892|-0.00469297065971|-0.0101660726008|-0.0112447119011|0.00444701264798|0.0135429541645|-0.00394001388084|-0.0178385799084|-0.00612288539661|-0.00289042280028|0.00436180005847|0.00628470049847|0.0152052824862|0.0177595991659|0.0136110937303|0.0198126501465|-0.145221051027|-0.000973040334626|-0.00713308078237|0.00308491824093|-0.043553988006|0.0330180021051|-0.000900696898087|0.018813132704|0.0230575950848@0.016448326874
AMGN,"December 5, 2014",86,A1,0.000133224877547|-0.00334750788307|0.0154050431984|-0.00790730700155|-0.00145589286145|-0.0151102400976|-0.0235971445692|0.00163296964471|0.010262024404|-0.00327090870975|-0.00025398737176|-0.0103549242814|0.00635831110293|-0.0126539989715|0.00906202877699|-0.00163531170585|0.010729190475|0.00934185010085|-0.0118443593824|-0.0109933046782|0.0147152574459|0.0191519659683|-0.00626406944004|-0.00789803655885|-0.00514972673309@0.00769116131867
CAR,"February 26, 2014",50,A1,-0.00855529401558|-0.00458017502794|-0.00462275658679|-0.0060521481714|-0.00517714867885|0.0349922986019|-0.00259906185483|0.00717578276463|-0.0257505513994|0.00152681933985|-0.0195909999916|-0.0197538342919|-0.0142380757622|-0.00659637729816|-0.00133033018255|0.0371326524087|0.0723130688776|0.0291766941668|0.0134726242607|0.0107051084499|-0.000626689405923|0.0127360855844|-0.0214972857892|0.00873409970534|0.00178948968353@0.0101053238002
TESO,"October 30, 2015",115,A1,0.0293886838096|0.00115799386611|0.0629649399893|-0.0239538466267|0.0214399572104|0.00573730535716|-0.0811873479984|0.0342881683734|0.0138483616254|-0.00604202766155|-0.0158874873156|-0.00504503484648|0.0285823213713|0.0133623919166|0.00842575197354|-0.00568979189759|-0.00513484248533|0.0185545757491|-0.00607342347108|0.00275993852894|0.0189066539125|0.0121305180174|0.00078000984949|0.00749056307546|-0.0850158872607@0.0199161378868
FB,"January 7, 2016",2|231,A1,0.0096105093919|-0.00928756278414|0.000955923360901|-0.00923298828649|0.00780195714561|-0.0122705508555|-0.00506680608237|0.0130087714043|0.0035728784557|-0.00711247573455|-0.00391620125361|-0.0228379598296|0.00527960874908|0.00348905859901|-0.00517230628495|-0.00453800591844|-0.00536567613356|-0.00838901758929|-0.000787397315285|0.0169291138573|-0.0217397548322|0.00197892346133|-0.00298613690311|-0.00185957363937|-0.00766974711687@0.014084412241
AMZN,"June 11, 2015",101,A1,-0.0138724806734|-0.0123669798033|-0.0285271468671|0.00238868814541|-0.00897186107944|0.00275451363351|0.00472706243589|-0.0167861443207|0.000428786188319|-0.000989688726554|-0.00954173140231|0.0101207702369|-0.00790399414222|0.0088452974616|0.0164205419177|-0.0111333536881|0.00314868333903|-0.00459569550169|0.00136642909902|0.00135390464891|-0.00562943628501|0.00444429630874|-0.01418001968|0.000109960796899|-0.0239260721019@0.0248633223935
CSCO,"August 8, 2014",4,A1,0.000753621192226|-0.00441796765489|0.0134463625628|0.0147893444213|-0.0180493648974|0.00836169232693|-0.00440007116157|0.000945284428509|-0.0156141475844|0.00497833422378|0.00327340559619|-0.00143198841611|-0.0177752316325|-0.00838270405757|-0.023233625027|-0.0122458590076|0.00612294295093|-0.01819627271|-0.00527709643837|-0.00762169602536|0.0088793198505|0.00286967895138|-0.00270984239999|0.00161208783256|-0.0260936372949@0.0128059548265
EVBG,"August 30, 2013",51,A1,ERROR
CSCO,"June 6, 2017",91|260,A1,ERROR
ILMN,"July 17, 2015",9|11,A1,-2.82576300811e-05|-0.00763176230564|0.00059216715875|0.00128938236673|0.00387861408906|-0.00989438770925|0.000308213732359|0.00136054043206|0.00696413235375|0.00901463247415|-5.19817676639e-05|-0.00334201392055|0.000346130079407|-0.0234955197707|0.00940020760067|-0.00854356234248|-0.00549953669926|0.0289970940726|0.00406056544538|-0.00542551281106|0.0337031451187|-0.00130689894976|-0.00595281134367|-0.0881362019896|0.0134834980179@0.0144858828172
KMB,"July 10, 2014",2,A1,-0.0013926594758|-0.00309282216614|0.00404509561726|0.006817162072|0.00415288298676|0.00337040177469|0.00930493297505|-0.00250843499888|-0.0071038877985|0.00038917510788|-0.000974680097586|-0.00374864897214|0.00815498894229|0.00114359666796|0.00360925182404|-0.00218367444831|0.00334861457535|-0.00216614924316|0.00371329651387|0.00123694035857|-0.00231323264051|-0.00222901354312|0.00247261398968|0.00234158379153|-0.00107515706122@0.00791953332634
AMZN,"December 7, 2016",2,A1,-0.00398972172244|-0.0422913462913|-0.0442370218176|-0.0175026193305|-0.0307114564383|0.0236397441738|0.000264560335686|0.00338505235365|0.00290009450057|0.0154468475974|0.000304832716926|-0.0125033199317|-0.00738780175221|-0.0110788474858|-0.00880738925412|-0.00897608097957|-0.000894174339613|-0.00853877600333|0.011493737086|-0.00237020729156|-0.00552872540673|-0.0128382655433|-0.00502075916946|-0.00841804780818|0.0100069223706@0.00699984266614
YHOO,"January 13, 2017",3|267,A1,-0.0127845461079|-0.0642061615767|-5.98167950393e-05|-0.00704832097629|0.0225991453787|0.00214000156152|-0.0142882536192|-0.00435304666784|0.00487954445111|0.000322298180305|-0.00699664826927|0.00496238651275|-0.00251181417548|0.020708168527|0.0192771483035|-0.0123813167928|-0.00997026084755|0.0274074146398|0.0079050502427|-0.0231555938673|-0.00128565012289|-0.0137822890521|-2.89659311047e-05|0.00045078601702|-0.00390947565733@0.0101455042316
OSTK,"May 15, 2013",5,A1,0.00798482028782|0.322151343166|0.170359099227|0.000108897957878|0.00245569048384|0.0553774322275|0.0434298242058|0.00378907299236|-0.00322160408624|-0.0022114350757|0.0537972091332|0.0505059016858|-0.0237448775849|0.103724494933|-0.02799845749|0.0440192603541|0.00199376341018|-0.00554466138129|0.0317070510578|0.0096321096635|-0.054070328503|-0.000858879904346|-0.0122026410291|0.0596956203041|-0.0282836853214@0.0213142889848
AAPL,"December 16, 2015",14,A1,-0.00264706374309|0.0192559968373|0.0142758254617|-0.00074438131856|-0.0170535386604|0.00269403855897|-0.0126998397857|-0.00422308210066|0.00454994876687|-0.0124929947496|-0.0032398262275|0.000688404241876|0.0256644150255|0.00470445281119|0.00202325212707|-0.0162449887854|0.00148289907912|-0.0115595500811|-0.00279458059051|-0.0279042969071|-0.00245047913507|-0.0138493375164|-0.0202320800856|0.00724460949935|-0.00862664010552@0.0142576785233
AAPL,"February 17, 2017",11|249,A1,-0.0024474742458|-0.000230497908863|-0.0056729203582|0.00782067287478|-0.000999836793389|-0.00335279726696|-0.00234829541816|-0.00418895605644|0.0565388984915|-0.00537127725095|-0.00144219489868|0.00732274769273|0.00475123470634|-0.00138496323972|0.000670009116821|-0.00629203710229|0.00272515175758|0.0071823275376|-0.00450577802881|-0.00257226881336|-0.00336054878747|0.000223907460333|0.00146498446753|-0.00664027332954|-0.00586238658076@0.00560319582282
MSFT,"May 22, 2015",74,A1,0.0976053822309|0.0118355069034|0.0296162728022|0.00626627329492|0.00495553001952|-0.00971354767749|-0.00771966197574|0.000731487823083|-0.0236951200957|0.00553237926931|0.0131629414339|-0.00212697855654|0.00402030030701|0.00787063044843|0.0144034684119|-0.00869513885674|-0.00681077003142|0.00142012028698|0.00184992418416|-0.0038024059824|-0.00843010574004|0.00297705645906|0.0148425399594|0.000507597995698|-0.00560028262291@0.0109446249211
MON,"June 10, 2013",102,A1,0.00349262197627|-0.0127707726219|-0.00532334150258|0.00701153087485|-0.00586784587279|-0.00674055866469|0.00177292964898|-0.018041834019|-0.0171884989116|0.0151941575786|0.000667203730585|0.00165298210108|0.0034704157695|-0.00913977408053|-0.0213817094759|0.0101924293887|0.00581035761521|-0.0133817684739|-0.0120735407838|0.0102155981547|0.0479045114238|-0.00174441694807|0.000441920625196|0.00121681191385|0.00934837939568@0.0115544806541
CL,"May 29, 2013",13,A1,-0.000669459469104|-0.000866806405947|0.00732783151286|-0.00255921014347|0.000624157103315|-0.00205031834558|-0.00254695986377|-0.00152665053726|-0.00046812170335|0.000584693465034|0.0125197460557|0.00696538905515|0.00555218255595|-0.0120966733873|0.000731053204785|-0.00208811597419|0.00196365813889|-0.00262238054255|0.00587840541335|0.00582203069148|-0.021523448349|0.00322709683627|-0.0155236117469|0.00843972017569|0.00748453854028@0.00583491539402
QTM,"June 6, 2017",91|260,A1,ERROR
PHG,"July 28, 2016",294,A1,ERROR
AMZN,"February 26, 2014",50,A1,0.0113207530438|-0.0135425787144|0.0333873510456|-0.107361352615|-0.00498600305192|-0.00411055968791|-0.00122859534445|0.00850210378524|0.0042452131002|-0.00168392954338|-0.0114315227128|-0.0372195427769|0.0121779658518|-0.00545737101901|-0.015434897013|-0.0073018151614|-0.00262316700977|-0.00863942782241|0.0048504221799|0.0210198929354|0.00111598846392|-0.00630698617899|0.00207218879635|0.000998207290313|-0.0112718689448@0.00895898984308
AAPL,"July 14, 2014",97,A1,-0.0213228617476|-0.00227205130313|0.00169745220942|-0.0124155514546|-0.0109552300785|-0.0148566922913|-0.00618389352025|-0.0113017834601|-0.00435194516413|0.00210594861512|0.00489378746753|0.00935670433234|-0.00587373422508|-0.0112416944067|-0.000607533675337|0.0169216354547|0.000488945080744|-0.0122079995546|-0.0088295672324|-0.0108992638219|0.00261618806462|-0.00627341856927|-0.0124638130336|-0.0141656027217|-0.00224654279517@0.0165943524856
BMRN,"June 14, 2016",68|368,A1,0.0151657941362|0.00137129664961|0.0428301966491|-0.0255945205902|-0.0059993571791|-0.0138227650036|-0.0132532780646|-0.000938890544316|-0.025654631394|0.00337569900401|-0.002064649682|-0.0368819647529|0.0269343799693|-0.0111636603628|-0.0188060685233|-0.0501551316691|-0.029909989338|-0.0116578932201|-0.00211029098014|0.00678094849644|0.00375193949087|0.0345388505074|-0.0513286063095|0.0545947776158|-0.0180560810968@0.0276276829196
