Stock_Ticker,Decision_Date,Affirmed_1__NotAff_0
ZNGA,"March 17, 2015",1
RTEC,"February 3, 2016",1
BCR,"January 13, 2015",1
ATVI,"September 13, 2016",0
AMGN,"July 9, 2015",1
CSCO,"March 6, 2015",1
LLNW,"October 9, 2015",1
MSFT,"November 17, 2016",0
CNXN,"June 30, 2015",1
INFN,"June 29, 2015",1
CBS,"February 10, 2015",0
HPQ,"February 7, 2017",0
CSCO,"June 6, 2017",1
CL,"May 29, 2013",1
FB,"March 28, 2016",1
TG,"August 6, 2013",0
BWA,"June 10, 2014",1
EA,"April 6, 2017",1
HPQ,"February 2, 2015",0
NOK,"September 11, 2015",0
CELG,"July 14, 2016",1
FB,"September 9, 2016",0
DD,"May 9, 2014",1
HON,"March 14, 2016",1
NVDA,"February 24, 2015",0
DE,"February 20, 2013",1
FB,"November 13, 2015",1
BBBY,"April 7, 2016",1
IMMR,"June 21, 2016",0
AAPL,"August 12, 2015",0
DGLY,"January 13, 2017",1
PHG,"December 11, 2014",1
WILN,"January 17, 2017",0
COST,"March 19, 2013",1
UEIC,"October 17, 2016",1
ABT,"April 4, 2013",0
CSCO,"December 3, 2015",0
RAD,"July 31, 2015",0
MSTR,"December 19, 2014",0
NUVA,"May 10, 2017",1
RTEC,"October 21, 2015",0
MSFT,"April 7, 2017",1
AMZN,"November 9, 2015",1
HPQ,"April 5, 2016",1
MU,"November 16, 2015",0
AAPL,"November 29, 2016",0
ADBE,"October 2, 2013",0
TXN,"February 12, 2016",0
ALGN,"November 10, 2015",0
LH,"July 26, 2016",1
GE,"May 8, 2014",1
NVS,"June 12, 2015",1
FNSR,"January 11, 2017",1
HPQ,"July 7, 2014",1
TGT,"March 19, 2013",1
TWTR,"September 9, 2016",0
ADBE,"April 7, 2017",1
CAT,"July 9, 2015",1
ABBV,"July 21, 2015",0
FISV,"May 12, 2016",0
EBAY,"March 19, 2013",1
OSTK,"May 10, 2013",1
GILD,"April 22, 2014",0
NVDA,"January 14, 2014",1
XLNX,"April 27, 2015",0
NVS,"April 12, 2017",1
USB,"September 25, 2014",1
AMZN,"May 23, 2017",1
BWA,"December 12, 2016",0
YHOO,"June 20, 2014",1
TDA,"May 6, 2015",1
AAPL,"July 22, 2016",0
HPQ,"July 18, 2013",1
ATHX,"May 7, 2015",1
HSNI,"July 31, 2015",0
AMZN,"March 19, 2013",1
FB,"November 17, 2016",0
BDSI,"August 10, 2016",1
WMT,"August 5, 2016",0
INTC,"July 9, 2015",1
INTC,"December 28, 2016",1
JKHY,"October 13, 2015",1
JNPR,"October 6, 2016",1
MSFT,"July 11, 2016",1
AAPL,"August 16, 2016",1
NK,"May 3, 2017",1
WDC,"January 9, 2015",1
LMT,"August 6, 2014",1
ORCL,"November 29, 2016",0
SYMC,"February 2, 2016",0
NOK,"November 10, 2015",0
LLNW,"May 1, 2013",0
